"dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"TEMAZEPAM",2014,"TEMAZEPAM","TEMAZEPAM","Y","TEMAZEPAM","temazepam",FALSE,"temazepam"
"PRAMOXINE HYDROCHLORIDE",6343,"PRAMOXINE HYDROCHLORIDE","PRAMOXINE HYDROCHLORIDE","","","pramoxine hydrochloride",FALSE,"pramoxine hydrochloride"
"STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN",22652,"STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN","","","standardized kentucky blue/june grass pollen",FALSE,"standardized kentucky blue/june grass pollen"
"INOSITOL",4959,"INOSITOL","INOSITOL","","","inositol",FALSE,"inositol"
"APROTININ (BOVINE)",11567,"APROTININ","BOVINE","","","aprotinin (bovine)",FALSE,"aprotinin (bovine)"
"TETRACOSACTIDE",7516,"TETRACOSACTIDE","TETRACOSACTIDE","","","tetracosactide",FALSE,"tetracosactide"
"MERCAPTOPURINE",11804,"MERCAPTOPURINE","MERCAPTOPURINE","","","mercaptopurine",FALSE,"mercaptopurine"
"TAURINE",1366,"TAURINE","TAURINE","","","taurine",FALSE,"taurine"
"YELLOW JACKET VENOM PROTEIN",2030,"YELLOW JACKET VENOM PROTEIN","YELLOW JACKET VENOM PROTEIN","","","yellow jacket venom protein",FALSE,"yellow jacket venom protein"
"Efinaconazole",22151,"Efinaconazole","Efinaconazole","","","efinaconazole",FALSE,"efinaconazole"
"RIOCIGUAT",22148,"RIOCIGUAT","RIOCIGUAT","","","riociguat",FALSE,"riociguat"
"AMMONIUM CHLORIDE",318,"AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","","","ammonium chloride",FALSE,"ammonium chloride"
"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y",7668,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","","","meningococcal polysaccharide antigen group y",FALSE,"meningococcal polysaccharide antigen group y"
"AMINOPHYLLINE",9963,"AMINOPHYLLINE","AMINOPHYLLINE","","","aminophylline",FALSE,"aminophylline"
"PANTOPRAZOLE (Pantoprazole magnesium hemipentahydrate)",11086,"PANTOPRAZOLE","Pantoprazole magnesium hemipentahydrate","Y","PANTOPRAZOLE","pantoprazole",TRUE,"pantoprazole (pantoprazole magnesium)"
"Mirabegron",22029,"Mirabegron","Mirabegron","","","mirabegron",FALSE,"mirabegron"
"COAGULATION FACTOR IX (HUMAN)",90,"COAGULATION FACTOR IX","HUMAN","","","coagulation factor ix (human)",FALSE,"coagulation factor ix (human)"
"ENTECAVIR (ENTECAVIR MONOHYDRATE)",13030,"ENTECAVIR","ENTECAVIR MONOHYDRATE","","","entecavir (entecavir monohydrate)",TRUE,"entecavir (entecavir monohydrate)"
"ALFACALCIDOL",4892,"ALFACALCIDOL","ALFACALCIDOL","","","alfacalcidol",FALSE,"alfacalcidol"
"BOSENTAN (BOSENTAN MONOHYDRATE)",12538,"BOSENTAN","BOSENTAN MONOHYDRATE","","","bosentan (bosentan monohydrate)",TRUE,"bosentan (bosentan monohydrate)"
"NINTEDANIB (NINTEDANIB ESILATE)",22614,"NINTEDANIB","NINTEDANIB ESILATE","","","nintedanib (nintedanib esilate)",FALSE,"nintedanib (nintedanib esilate)"
"ERYTHROMYCIN (ERYTHROMYCIN STEARATE)",8618,"ERYTHROMYCIN","ERYTHROMYCIN STEARATE","Y","ERYTHROMYCIN","erythromycin",FALSE,"erythromycin (erythromycin stearate)"
"FOSPHENYTOIN SODIUM",11411,"FOSPHENYTOIN SODIUM","FOSPHENYTOIN SODIUM","","","fosphenytoin sodium",FALSE,"fosphenytoin sodium"
"DIPHTHERIA TOXOID",7941,"DIPHTHERIA TOXOID","DIPHTHERIA TOXOID","","","diphtheria toxoid",FALSE,"diphtheria toxoid"
"HALOBETASOL PROPIONATE",7555,"HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE","","","halobetasol propionate",FALSE,"halobetasol propionate"
"CLADRIBINE",1739,"CLADRIBINE","CLADRIBINE","","","cladribine",FALSE,"cladribine"
"IDARUCIZUMAB",22710,"IDARUCIZUMAB","IDARUCIZUMAB","","","idarucizumab",FALSE,"idarucizumab"
"ETHACRYNIC ACID (ETHACRYNATE SODIUM)",10170,"ETHACRYNIC ACID","ETHACRYNATE SODIUM","","","ethacrynic acid (ethacrynate sodium)",FALSE,"ethacrynic acid (ethacrynate sodium)"
"Elosulfase Alfa",22450,"Elosulfase Alfa","Elosulfase Alfa","","","elosulfase alfa",FALSE,"elosulfase alfa"
"OXYBENZONE",33,"OXYBENZONE","OXYBENZONE","","","oxybenzone",FALSE,"oxybenzone"
"PROPIVERINE HYDROCHLORIDE",22838,"PROPIVERINE HYDROCHLORIDE","PROPIVERINE HYDROCHLORIDE","","","propiverine hydrochloride",FALSE,"propiverine hydrochloride"
"MEBENDAZOLE",2434,"MEBENDAZOLE","MEBENDAZOLE","","","mebendazole",FALSE,"mebendazole"
"STORAX",6944,"STORAX","STORAX","","","storax",FALSE,"storax"
"Vemurafenib",21189,"Vemurafenib","Vemurafenib","","","vemurafenib",FALSE,"vemurafenib"
"RIVASTIGMINE",11987,"RIVASTIGMINE","RIVASTIGMINE","Y","RIVASTIGMINE","rivastigmine",FALSE,"rivastigmine"
"SODIUM HYPOCHLORITE",539,"SODIUM HYPOCHLORITE","SODIUM HYPOCHLORITE","","","sodium hypochlorite",FALSE,"sodium hypochlorite"
"DOXYCYCLINE (DOXYCYCLINE HYCLATE)",8642,"DOXYCYCLINE","DOXYCYCLINE HYCLATE","Y","DOXYCYCLINE","doxycycline",FALSE,"doxycycline (doxycycline hyclate)"
"GLUTAMIC ACID",8872,"GLUTAMIC ACID","GLUTAMIC ACID","","","glutamic acid",FALSE,"glutamic acid"
"SODIUM GLYCEROPHOSPHATE",4771,"SODIUM GLYCEROPHOSPHATE","SODIUM GLYCEROPHOSPHATE","","","sodium glycerophosphate",FALSE,"sodium glycerophosphate"
"MEPIVACAINE HYDROCHLORIDE",10271,"MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE","","","mepivacaine hydrochloride",FALSE,"mepivacaine hydrochloride"
"ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)",20167,"ROTAVIRUS VACCINE","RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN","","","rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)",FALSE,"rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)"
"VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)",22527,"VORTIOXETINE","VORTIOXETINE HYDROBROMIDE","","","vortioxetine (vortioxetine hydrobromide)",FALSE,"vortioxetine (vortioxetine hydrobromide)"
"BUTANEDIOL",12774,"BUTANEDIOL","BUTANEDIOL","","","butanediol",FALSE,"butanediol"
"L-TYROSINE",897,"L-TYROSINE","L-TYROSINE","","","l-tyrosine",FALSE,"l-tyrosine"
"FLUPENTIXOL DECANOATE",1997,"FLUPENTIXOL DECANOATE","FLUPENTIXOL DECANOATE","","","flupentixol decanoate",FALSE,"flupentixol decanoate"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5",20541,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5","","","pneumococcal polysaccharide serotype 5",FALSE,"pneumococcal polysaccharide serotype 5"
"ENALAPRIL SODIUM",20170,"ENALAPRIL SODIUM","ENALAPRIL SODIUM","Y","ENALAPRIL","enalapril",FALSE,"enalapril sodium"
"SULISOBENZONE",5184,"SULISOBENZONE","SULISOBENZONE","","","sulisobenzone",FALSE,"sulisobenzone"
"GENTIAN VIOLET",6820,"GENTIAN VIOLET","GENTIAN VIOLET","","","gentian violet",FALSE,"gentian violet"
"MICONAZOLE NITRATE",2373,"MICONAZOLE NITRATE","MICONAZOLE NITRATE","","","miconazole nitrate",FALSE,"miconazole nitrate"
"NALOXONE HYDROCHLORIDE",2474,"NALOXONE HYDROCHLORIDE","NALOXONE HYDROCHLORIDE","Y","NALOXONE","naloxone",FALSE,"naloxone hydrochloride"
"LINAGLIPTIN",20882,"LINAGLIPTIN","LINAGLIPTIN","","","linagliptin",FALSE,"linagliptin"
"L-PHENYLALANINE",942,"L-PHENYLALANINE","L-PHENYLALANINE","","","l-phenylalanine",FALSE,"l-phenylalanine"
"ALUMINUM HYDROXIDE",721,"ALUMINUM HYDROXIDE","ALUMINUM HYDROXIDE","","","aluminum hydroxide",FALSE,"aluminum hydroxide"
"RECOMBINANT CHOLERA TOXIN B SUBUNIT",12361,"RECOMBINANT CHOLERA TOXIN B SUBUNIT","RECOMBINANT CHOLERA TOXIN B SUBUNIT","","","recombinant cholera toxin b subunit",FALSE,"recombinant cholera toxin b subunit"
"IMIQUIMOD",11834,"IMIQUIMOD","IMIQUIMOD","","","imiquimod",FALSE,"imiquimod"
"ZINC SULFATE",8746,"ZINC SULFATE","ZINC SULFATE","","","zinc sulfate",FALSE,"zinc sulfate"
"PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)",11086,"PANTOPRAZOLE","PANTOPRAZOLE SODIUM SESQUIHYDRATE","Y","PANTOPRAZOLE","pantoprazole",TRUE,"pantoprazole (pantoprazole sodium)"
"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN",19707,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","","","recombinant human papillomavirus type 6 l1 protein",FALSE,"recombinant human papillomavirus type 6 l1 protein"
"GUAIACOL CARBONATE",6896,"GUAIACOL CARBONATE","GUAIACOL CARBONATE","","","guaiacol carbonate",FALSE,"guaiacol carbonate"
"RISPERIDONE",723,"RISPERIDONE","RISPERIDONE","Y","RISPERIDONE","risperidone",FALSE,"risperidone"
"STANDARDIZED REDTOP GRASS POLLEN",5789,"STANDARDIZED REDTOP GRASS POLLEN","STANDARDIZED REDTOP GRASS POLLEN","","","standardized redtop grass pollen",FALSE,"standardized redtop grass pollen"
"TOBRAMYCIN",8565,"TOBRAMYCIN","TOBRAMYCIN","Y","TOBRAMYCIN","tobramycin",FALSE,"tobramycin"
"PEGINTERFERON ALFA-2B",12036,"PEGINTERFERON ALFA-2B","PEGINTERFERON ALFA-2B","","","peginterferon alfa-2b",FALSE,"peginterferon alfa-2b"
"RALOXIFENE HYDROCHLORIDE",11811,"RALOXIFENE HYDROCHLORIDE","RALOXIFENE HYDROCHLORIDE","","","raloxifene hydrochloride",FALSE,"raloxifene hydrochloride"
"IOPROMIDE",521,"IOPROMIDE","IOPROMIDE","","","iopromide",FALSE,"iopromide"
"REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE)",11311,"REMIFENTANIL","REMIFENTANIL HYDROCHLORIDE","","","remifentanil (remifentanil hydrochloride)",FALSE,"remifentanil (remifentanil hydrochloride)"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F",20657,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F","","","pneumococcal polysaccharide serotype 33f",FALSE,"pneumococcal polysaccharide serotype 33f"
"TETRACAINE",2958,"TETRACAINE","TETRACAINE","","","tetracaine",FALSE,"tetracaine"
"CETYLPYRIDINIUM CHLORIDE",7152,"CETYLPYRIDINIUM CHLORIDE","CETYLPYRIDINIUM CHLORIDE","","","cetylpyridinium chloride",FALSE,"cetylpyridinium chloride"
"OMEPRAZOLE (OMEPRAZOLE MAGNESIUM)",1250,"OMEPRAZOLE","OMEPRAZOLE MAGNESIUM","Y","OMEPRAZOLE","omeprazole",FALSE,"omeprazole (omeprazole magnesium)"
"FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)",11861,"FOSFOMYCIN","FOSFOMYCIN TROMETHAMINE","","","fosfomycin (fosfomycin tromethamine)",FALSE,"fosfomycin (fosfomycin tromethamine)"
"LIDOCAINE (LIDOCAINE HYDROCHLORIDE)",9471,"LIDOCAINE","LIDOCAINE HYDROCHLORIDE","","","lidocaine (lidocaine hydrochloride)",FALSE,"lidocaine (lidocaine hydrochloride)"
"Tesamorelin (Tesamorelin acetate)",22270,"Tesamorelin","Tesamorelin acetate","","","tesamorelin (tesamorelin acetate)",FALSE,"tesamorelin (tesamorelin acetate)"
"ALLERGENIC EXTRACTS",3876,"ALLERGENIC EXTRACTS","ALLERGENIC EXTRACTS","","","allergenic extracts",FALSE,"allergenic extracts"
"HYOSCINE BUTYLBROMIDE",9008,"HYOSCINE BUTYLBROMIDE","HYOSCINE BUTYLBROMIDE","","","hyoscine butylbromide",FALSE,"hyoscine butylbromide"
"SOMATROPIN",7364,"SOMATROPIN","SOMATROPIN","","","somatropin",FALSE,"somatropin"
"SELEGILINE HYDROCHLORIDE",1294,"SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE","","","selegiline hydrochloride",FALSE,"selegiline hydrochloride"
"FLUPHENAZINE DECANOATE",8007,"FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE","","","fluphenazine decanoate",FALSE,"fluphenazine decanoate"
"CALCIUM POLYCARBOPHIL",9921,"CALCIUM POLYCARBOPHIL","CALCIUM POLYCARBOPHIL",NA,NA,NA,NA,NA
"CODEINE PHOSPHATE",9131,"CODEINE PHOSPHATE","CODEINE PHOSPHATE","Y","CODEINE","codeine",FALSE,"codeine phosphate"
"SODIUM PICOSULFATE",13334,"SODIUM PICOSULFATE","SODIUM PICOSULFATE","","","sodium picosulfate",FALSE,"sodium picosulfate"
"PERINDOPRIL ARGININE",16100,"PERINDOPRIL ARGININE","PERINDOPRIL ARGININE","Y","PERINDOPRIL","perindopril",FALSE,"perindopril arginine"
"SILICON DIOXIDE",443,"SILICON DIOXIDE","SILICON DIOXIDE","","","silicon dioxide",FALSE,"silicon dioxide"
"VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE)",11114,"VALACYCLOVIR","VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE","Y","VALACYCLOVIR","valacyclovir",TRUE,"valacyclovir (valacyclovir hydrochloride)"
"TRASTUZUMAB",11905,"TRASTUZUMAB","TRASTUZUMAB","","","trastuzumab",FALSE,"trastuzumab"
"ALBUMIN (HUMAN)",7867,"ALBUMIN","HUMAN","","","albumin (human)",FALSE,"albumin (human)"
"DOCUSATE SODIUM",9152,"DOCUSATE SODIUM","DOCUSATE SODIUM","","","docusate sodium",FALSE,"docusate sodium"
"DEXTROSE (DEXTROSE MONOHYDRATE)",42,"DEXTROSE","DEXTROSE MONOHYDRATE","","","dextrose (dextrose monohydrate)",TRUE,"dextrose (dextrose monohydrate)"
"PACLITAXEL",732,"PACLITAXEL","PACLITAXEL","","","paclitaxel",FALSE,"paclitaxel"
"BETAMETHASONE DIPROPIONATE",7603,"BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE","Y","BETAMETHASONE","betamethasone (base)",FALSE,"betamethasone dipropionate"
"MENTHOL",265,"MENTHOL","MENTHOL","","","menthol",FALSE,"menthol"
"ZINC SULFATE HEPTAHYDRATE",20479,"ZINC SULFATE HEPTAHYDRATE","ZINC SULFATE HEPTAHYDRATE","","","zinc sulfate heptahydrate",TRUE,"zinc sulfate heptahydrate"
"DESOXIMETASONE",7592,"DESOXIMETASONE","DESOXIMETASONE","","","desoximetasone",FALSE,"desoximetasone"
"Ofatumumab",21236,"Ofatumumab","Ofatumumab",NA,NA,NA,NA,NA
"LEVONORGESTREL",7490,"LEVONORGESTREL","LEVONORGESTREL","Y","LEVONORGESTREL","levonorgestrel",FALSE,"levonorgestrel"
"IPRATROPIUM BROMIDE (IPRATROPIUM BROMIDE MONOHYDRATE)",1945,"IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE MONOHYDRATE","Y","IPRATROPIUM","ipratropium",TRUE,"ipratropium bromide"
"OIL OF TURPENTINE",3510,"OIL OF TURPENTINE","OIL OF TURPENTINE","","","oil of turpentine",FALSE,"oil of turpentine"
"GATIFLOXACIN",12056,"GATIFLOXACIN","GATIFLOXACIN","","","gatifloxacin",FALSE,"gatifloxacin"
"VITAMIN B12 (CYANOCOBALAMIN)",781,"VITAMIN B12","CYANOCOBALAMIN","","","vitamin B12 (cyanocobalamin)",FALSE,"vitamin B12 (cyanocobalamin)"
"VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM)",11171,"VITAMIN B2","RIBOFLAVIN 5'-PHOSPHATE SODIUM","","","vitamin B2 (riboflavin 5'-phosphate sodium)",FALSE,"vitamin B2 (riboflavin 5'-phosphate sodium)"
"DL-METHIONINE",7216,"DL-METHIONINE","DL-METHIONINE","","","dl-methionine",FALSE,"dl-methionine"
"CAMPHOR",9125,"CAMPHOR","CAMPHOR","","","camphor",FALSE,"camphor"
"VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE)",8541,"VANCOMYCIN","VANCOMYCIN HYDROCHLORIDE","","","vancomycin (vancomycin hydrochloride)",FALSE,"vancomycin (vancomycin hydrochloride)"
"AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)",424,"AZITHROMYCIN","AZITHROMYCIN MONOHYDRATE","Y","AZITHROMYCIN","azithromycin",TRUE,"azithromycin"
"VITAMIN D3",4922,"VITAMIN D3","VITAMIN D3","Y","VITAMIN D3","vitamin D3 (cholecalciferol)",FALSE,"vitamin D3 (cholecalciferol)"
"DEXRAZOXANE",215,"DEXRAZOXANE","DEXRAZOXANE","","","dexrazoxane",FALSE,"dexrazoxane"
"DOCOSANOL",12720,"DOCOSANOL","DOCOSANOL","","","docosanol",FALSE,"docosanol"
"PIROXICAM",1996,"PIROXICAM","PIROXICAM","","","piroxicam",FALSE,"piroxicam"
"FUSIDATE SODIUM",8505,"FUSIDATE SODIUM","FUSIDATE SODIUM","Y","FUSIDIC ACID","fusidate sodium",FALSE,"fusidate sodium"
"CEPHALEXIN",8376,"CEPHALEXIN","CEPHALEXIN","Y","CEPHALEXIN","cephalexin",FALSE,"cephalexin"
"COAGULATION FACTOR II (HUMAN)",2931,"COAGULATION FACTOR II","HUMAN","","","coagulation factor ii (human)",FALSE,"coagulation factor ii (human)"
"LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)",10225,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE MONOHYDRATE","","","lidocaine hydrochloride (lidocaine hydrochloride monohydrate)",TRUE,"lidocaine hydrochloride (lidocaine hydrochloride monohydrate)"
"TACROLIMUS (Tacrolimus Monohydrate)",167,"TACROLIMUS","Tacrolimus Monohydrate","Y","TACROLIMUS","tacrolimus",TRUE,"tacrolimus"
"ALEMTUZUMAB",12491,"ALEMTUZUMAB","ALEMTUZUMAB","","","alemtuzumab",FALSE,"alemtuzumab"
"TACROLIMUS",167,"TACROLIMUS","TACROLIMUS","Y","TACROLIMUS","tacrolimus",FALSE,"tacrolimus"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B",20652,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B","","","pneumococcal polysaccharide serotype 15b",FALSE,"pneumococcal polysaccharide serotype 15b"
"TERAZOSIN (TERAZOSIN HYDROCHLORIDE)",11368,"TERAZOSIN","TERAZOSIN HYDROCHLORIDE","Y","TERAZOSIN","terazosin",FALSE,"terazosin (terazosin hydrochloride)"
"DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)",10247,"DEXTROMETHORPHAN HYDROBROMIDE","DEXTROMETHORPHAN POLISTIREX","","","dextromethorphan hydrobromide (dextromethorphan polistirex)",FALSE,"dextromethorphan hydrobromide (dextromethorphan polistirex)"
"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C",7669,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","","","meningococcal polysaccharide antigen group c",FALSE,"meningococcal polysaccharide antigen group c"
"ADENOSINE",4732,"ADENOSINE","ADENOSINE","","","adenosine",FALSE,"adenosine"
"Triptorelin Acetate",21395,"Triptorelin Acetate","Triptorelin Acetate","","","triptorelin acetate",FALSE,"triptorelin acetate"
"HISTAMINE PHOSPHATE",6216,"HISTAMINE PHOSPHATE","HISTAMINE PHOSPHATE","","","histamine phosphate",FALSE,"histamine phosphate"
"VARDENAFIL (VARDENAFIL HYDROCHLORIDE)",13311,"VARDENAFIL","VARDENAFIL HYDROCHLORIDE","","","vardenafil (vardenafil hydrochloride)",FALSE,"vardenafil (vardenafil hydrochloride)"
"PIPERONYL BUTOXIDE",6438,"PIPERONYL BUTOXIDE","PIPERONYL BUTOXIDE","","","piperonyl butoxide",FALSE,"piperonyl butoxide"
"DOCUSATE CALCIUM",9150,"DOCUSATE CALCIUM","DOCUSATE CALCIUM","","","docusate calcium",FALSE,"docusate calcium"
"DONEPEZIL HYDROCHLORIDE",11485,"DONEPEZIL HYDROCHLORIDE","DONEPEZIL HYDROCHLORIDE","Y","DONEPEZIL","donepezil",FALSE,"donepezil hydrochloride"
"ORCIPRENALINE SULFATE",9867,"ORCIPRENALINE SULFATE","ORCIPRENALINE SULFATE","","","orciprenaline sulfate",FALSE,"orciprenaline sulfate"
"ARTICAINE HYDROCHLORIDE",308,"ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE","","","articaine hydrochloride",FALSE,"articaine hydrochloride"
"FULVESTRANT",13276,"FULVESTRANT","FULVESTRANT","","","fulvestrant",FALSE,"fulvestrant"
"STANDARDIZED ORCHARD GRASS POLLEN",5784,"STANDARDIZED ORCHARD GRASS POLLEN","STANDARDIZED ORCHARD GRASS POLLEN","","","standardized orchard grass pollen",FALSE,"standardized orchard grass pollen"
"PYRIDOXINE HYDROCHLORIDE",5008,"PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","","","pyridoxine hydrochloride",FALSE,"pyridoxine hydrochloride"
"NAFARELIN (NAFARELIN ACETATE)",11439,"NAFARELIN","NAFARELIN ACETATE","","","nafarelin (nafarelin acetate)",FALSE,"nafarelin (nafarelin acetate)"
"CETIRIZINE HYDROCHLORIDE",7942,"CETIRIZINE HYDROCHLORIDE","CETIRIZINE HYDROCHLORIDE","Y","CETIRIZINE","cetirizine",FALSE,"cetirizine hydrochloride"
"D-PENICILLAMINE",10302,"D-PENICILLAMINE","D-PENICILLAMINE","","","d-penicillamine",FALSE,"d-penicillamine"
"CORBADRINE (CORBADRINE HYDROCHLORIDE)",5645,"CORBADRINE","CORBADRINE HYDROCHLORIDE","","","corbadrine (corbadrine hydrochloride)",FALSE,"corbadrine (corbadrine hydrochloride)"
"DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)",20430,"DESVENLAFAXINE","DESVENLAFAXINE SUCCINATE","Y","DESVENLAFAXINE","desvenlafaxine",FALSE,"desvenlafaxine (desvenlafaxine succinate)"
"VITAMIN D3 (CHOLECALCIFEROL)",4922,"VITAMIN D3","CHOLECALCIFEROL","Y","VITAMIN D3","vitamin D3 (cholecalciferol)",FALSE,"vitamin D3 (cholecalciferol)"
"BENDAMUSTINE HYDROCHLORIDE",13270,"BENDAMUSTINE HYDROCHLORIDE","BENDAMUSTINE HYDROCHLORIDE","","","bendamustine hydrochloride",FALSE,"bendamustine hydrochloride"
"MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE)",11182,"MINOCYCLINE","MINOCYCLINE HYDROCHLORIDE","Y","MINOCYCLINE","minocycline",FALSE,"minocycline (minocycline hydrochloride)"
"FLURBIPROFEN",1914,"FLURBIPROFEN","FLURBIPROFEN","","","flurbiprofen",FALSE,"flurbiprofen"
"LENALIDOMIDE",20185,"LENALIDOMIDE","LENALIDOMIDE","","","lenalidomide",FALSE,"lenalidomide"
"Lurasidone Hydrochloride",21372,"Lurasidone Hydrochloride","Lurasidone Hydrochloride","","","lurasidone hydrochloride",FALSE,"lurasidone hydrochloride"
"QUININE SULFATE",7234,"QUININE SULFATE","QUININE SULFATE","Y","QUININE","quinine sulfate",FALSE,"quinine sulfate"
"PERFLUTREN",12053,"PERFLUTREN","PERFLUTREN","","","perflutren",FALSE,"perflutren"
"APREMILAST",22541,"APREMILAST","APREMILAST","","","apremilast",FALSE,"apremilast"
"ETHINYL ESTRADIOL",7426,"ETHINYL ESTRADIOL","ETHINYL ESTRADIOL","Y","ETHINYL ESTRADIOL","ethinyl estradiol",FALSE,"ethinyl estradiol"
"CISPLATIN",13121,"CISPLATIN","CISPLATIN","","","cisplatin",FALSE,"cisplatin"
"PROPOFOL",8209,"PROPOFOL","PROPOFOL","","","propofol",FALSE,"propofol"
"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)",11213,"DORZOLAMIDE","DORZOLAMIDE HYDROCHLORIDE","Y","DORZOLAMIDE","dorzolamide",FALSE,"dorzolamide (dorzolamide hydrochloride)"
"MILRINONE (MILRINONE LACTATE)",1216,"MILRINONE","MILRINONE LACTATE","","","milrinone (milrinone lactate)",FALSE,"milrinone (milrinone lactate)"
"ZUCLOPENTHIXOL DECANOATE",190,"ZUCLOPENTHIXOL DECANOATE","ZUCLOPENTHIXOL DECANOATE","","","zuclopenthixol decanoate",FALSE,"zuclopenthixol decanoate"
"MYCOPHENOLATE MOFETIL",118,"MYCOPHENOLATE MOFETIL","MYCOPHENOLATE MOFETIL","","","mycophenolate mofetil",FALSE,"mycophenolate mofetil"
"CALCIUM LEVULINATE",4809,"CALCIUM LEVULINATE","CALCIUM LEVULINATE","","","calcium levulinate",FALSE,"calcium levulinate"
"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135",7667,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","","","meningococcal polysaccharide antigen group w-135",FALSE,"meningococcal polysaccharide antigen group w-135"
"IMIPENEM",1390,"IMIPENEM","IMIPENEM","","","imipenem",FALSE,"imipenem"
"CHROMIUM (CHROMIC CHLORIDE)",2001,"CHROMIUM","CHROMIC CHLORIDE","","","chromium (chromic chloride)",FALSE,"chromium (chromic chloride)"
"OXTRIPHYLLINE",10278,"OXTRIPHYLLINE","OXTRIPHYLLINE","","","oxtriphylline",FALSE,"oxtriphylline"
"CHLORZOXAZONE",5883,"CHLORZOXAZONE","CHLORZOXAZONE","","","chlorzoxazone",FALSE,"chlorzoxazone"
"TELMISARTAN",11907,"TELMISARTAN","TELMISARTAN","Y","TELMISARTAN","telmisartan",FALSE,"telmisartan"
"DEXTRAN 40",3054,"DEXTRAN 40","DEXTRAN 40","","","dextran 40",FALSE,"dextran 40"
"DILTIAZEM HYDROCHLORIDE",1926,"DILTIAZEM HYDROCHLORIDE","DILTIAZEM HYDROCHLORIDE","Y","DILTIAZEM","diltiazem",FALSE,"diltiazem hydrochloride"
"ACARBOSE",917,"ACARBOSE","ACARBOSE","","","acarbose",FALSE,"acarbose"
"EPROSARTAN (EPROSARTAN MESYLATE)",11894,"EPROSARTAN","EPROSARTAN MESYLATE","","","eprosartan (eprosartan mesylate)",FALSE,"eprosartan (eprosartan mesylate)"
