CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
,,MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE),MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE),
,,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,
,,MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL HYDROCHLORIDE),MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL HYDROCHLORIDE),
,,MYCOPHENOLIC ACID (MYCOPHENOLATE SODIUM),MYCOPHENOLIC ACID (MYCOPHENOLATE SODIUM),
,,MYROXYLON BALSAMUM,MYROXYLON BALSAMUM,
,,Mirabegron,Mirabegron,
,,Modified Vaccinia Virus (Ankara-Bavarian Nordic),Modified Vaccinia Virus (Ankara-Bavarian Nordic),
,,N-ACETYL-L-TYROSINE,N-ACETYL-L-TYROSINE,
,,NABILONE,NABILONE,
,,NABUMETONE,NABUMETONE,
,,NADOLOL,NADOLOL,
,,NAFARELIN (NAFARELIN ACETATE),NAFARELIN (NAFARELIN ACETATE),
,,NALBUPHINE HYDROCHLORIDE,NALBUPHINE,
Y,NALOXONE ,NALOXONE (NALOXONE HYDROCHLORIDE DIHYDRATE),NALOXONE,
Y,NALOXONE ,NALOXONE HYDROCHLORIDE,NALOXONE,
Y,NALOXONE ,NALOXONE HYDROCHLORIDE (NALOXONE HYDROCHLORIDE DIHYDRATE),NALOXONE ,
,,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,
,,NAPHAZOLINE HYDROCHLORIDE,NAPHAZOLINE HYDROCHLORIDE,
,,NAPHAZOLINE NITRATE,NAPHAZOLINE NITRATE,
Y,NAPROXEN,NAPROXEN,NAPROXEN,
Y,NAPROXEN,NAPROXEN SODIUM,NAPROXEN,
,,NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),NARATRIPTAN (NARATRIPTAN HYDROCHLORIDE),
,,NATALIZUMAB,NATALIZUMAB,
,,NEDOCROMIL SODIUM,NEDOCROMIL SODIUM,
,,NELARABINE,NELARABINE,
,,NELFINAVIR (NELFINAVIR MESYLATE),NELFINAVIR (NELFINAVIR MESYLATE),
,,NEOMYCIN (NEOMYCIN SULFATE),NEOMYCIN (NEOMYCIN SULFATE),
,,NEOMYCIN SULFATE,NEOMYCIN SULFATE,
,,NEON,NEON,
,,NEOSTIGMINE BROMIDE,NEOSTIGMINE BROMIDE,
,,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,
,,NEVIRAPINE,NEVIRAPINE,
,,NICOTINAMIDE,NICOTINAMIDE,
,,NICOTINIC ACID,NICOTINIC ACID,
Y,NIFEDIPINE,NIFEDIPINE,NIFEDIPINE,
,,NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE),NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE),
,,NILUTAMIDE,NILUTAMIDE,
,,NIMODIPINE,NIMODIPINE,
,,NINTEDANIB (NINTEDANIB ESILATE),NINTEDANIB (NINTEDANIB ESILATE),
,,NITISINONE,NITISINONE,
,,NITRAZEPAM,NITRAZEPAM,
,,NITRIC OXIDE,NITRIC OXIDE,
Y,NITROFURANTOIN,NITROFURANTOIN,NITROFURANTOIN,
,,NITROGEN,NITROGEN,
Y,NITROGLYCERIN,NITROGLYCERIN,NITROGLYCERIN,
,,NITROUS OXIDE,NITROUS OXIDE,
,,NIVOLUMAB,NIVOLUMAB,
,,NIZATIDINE,NIZATIDINE,
,,NON POLLEN,NON POLLEN,
Y,NORELGESTROMIN,NORELGESTROMIN,NORELGESTROMIN,
,,NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE),NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE),
Y,NORETHINDRONE,NORETHINDRONE,NORETHINDRONE,
Y,NORETHINDRONE,NORETHINDRONE ACETATE,NORETHINDRONE,
,,NORFLOXACIN,NORFLOXACIN,
Y,NORGESTIMATE,NORGESTIMATE,NORGESTIMATE,
,,NORMETHADONE HYDROCHLORIDE,NORMETHADONE HYDROCHLORIDE,
Y,NORTRIPTYLINE,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),NORTRIPTYLINE,
,,NYLIDRIN HYDROCHLORIDE,NYLIDRIN HYDROCHLORIDE,
Y,NYSTATIN,NYSTATIN,NYSTATIN,
,,Naloxegol (Naloxegol oxalate),Naloxegol (Naloxegol oxalate),
,,Nebivolol (Nebivolol Hydrochloride),Nebivolol (Nebivolol Hydrochloride),
,,Nonacog Gamma,Nonacog Gamma,
,,OBETICHOLIC ACID,OBETICHOLIC ACID,
,,OCRIPLASMIN,OCRIPLASMIN,
,,OCTINOXATE,OCTINOXATE,
,,OCTISALATE,OCTISALATE,
,,OCTOCRYLENE,OCTOCRYLENE,
,,OCTREOTIDE (OCTREOTIDE ACETATE),OCTREOTIDE (OCTREOTIDE ACETATE),
,,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,
,,OFLOXACIN,OFLOXACIN,
,,OIL OF TURPENTINE,OIL OF TURPENTINE,
Y,OLANZAPINE,OLANZAPINE,OLANZAPINE,
Y,OLANZAPINE,OLANZAPINE (OLANZAPINE TARTRATE),OLANZAPINE,
,,OLAPARIB,OLAPARIB,
,,OLIVE OIL,OLIVE OIL,
Y,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,OLMESARTAN,
Y,OLOPATADINE,OLOPATADINE (OLOPATADINE HYDROCHLORIDE),OLOPATADINE,
,,OLSALAZINE SODIUM,OLSALAZINE SODIUM,
,,OMALIZUMAB,OMALIZUMAB,
Y,OMEPRAZOLE,OMEPRAZOLE,OMEPRAZOLE,
Y,OMEPRAZOLE,OMEPRAZOLE (OMEPRAZOLE MAGNESIUM),OMEPRAZOLE,
,,ONDANSETRON,ONDANSETRON,
,,ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE),ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE),
,,ONDANSETRON (ONDANSETRON HYDROCHLORIDE),ONDANSETRON (ONDANSETRON HYDROCHLORIDE),
,,OPIUM,OPIUM,
,,ORCIPRENALINE SULFATE,ORCIPRENALINE SULFATE,
,,ORLISTAT,ORLISTAT,
,,ORPHENADRINE CITRATE,ORPHENADRINE CITRATE,
,,OSELTAMIVIR (OSELTAMIVIR PHOSPHATE),OSELTAMIVIR (OSELTAMIVIR PHOSPHATE),
,,OSIMERTINIB (OSIMERTINIB MESYLATE),OSIMERTINIB (OSIMERTINIB MESYLATE),
,,OXALIPLATIN,OXALIPLATIN,
,,OXAPROZIN,OXAPROZIN,
Y,OXAZEPAM,OXAZEPAM,OXAZEPAM,
,,OXCARBAZEPINE,OXCARBAZEPINE,
,,OXETACAINE,OXETACAINE,
,,OXTRIPHYLLINE,OXTRIPHYLLINE,
,,OXYBENZONE,OXYBENZONE,
Y,OXYBUTYNIN,OXYBUTYNIN CHLORIDE,OXYBUTYNIN,
Y,OXYCODONE,OXYCODONE HYDROCHLORIDE,OXYCODONE,
,,OXYGEN,OXYGEN,
,,OXYMETAZOLINE HYDROCHLORIDE,OXYMETAZOLINE HYDROCHLORIDE,
,,OXYQUINOLINE SULFATE,OXYQUINOLINE SULFATE,
,,OXYTOCIN,OXYTOCIN,
,,Obinutuzumab,Obinutuzumab,
,,Olodaterol (OLODATEROL HYDROCHLORIDE),Olodaterol (OLODATEROL HYDROCHLORIDE),
,,Ombitasvir,Ombitasvir,
,,OnabotulinumtoxinA,OnabotulinumtoxinA,
,,Outer membrane vesicles (Neisseria meningitidis group B NZ98/254 strain),Outer membrane vesicles (Neisseria meningitidis group B NZ98/254 strain),
,,P-HYDROXYEPHEDRINE HYDROCHLORIDE,P-HYDROXYEPHEDRINE HYDROCHLORIDE,
,,PACLITAXEL,PACLITAXEL,
,,PACLITAXEL (TAXUS CANADENSIS),PACLITAXEL (TAXUS CANADENSIS),
,,PADIMATE O,PADIMATE O,
,,PALBOCICLIB,PALBOCICLIB,
,,PALIPERIDONE,PALIPERIDONE,
,,PALIPERIDONE (Paliperidone Palmitate),PALIPERIDONE (Paliperidone Palmitate),
,,PALIVIZUMAB,PALIVIZUMAB,
,,PALONOSETRON (PALONOSETRON HYDROCHLORIDE),PALONOSETRON (PALONOSETRON HYDROCHLORIDE),
,,PAMABROM,PAMABROM,
,,PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,
,,PANCURONIUM BROMIDE,PANCURONIUM BROMIDE,
,,PANITUMUMAB,PANITUMUMAB,
Y,PANTOPRAZOLE,PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM),PANTOPRAZOLE ,
Y,PANTOPRAZOLE,PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE),PANTOPRAZOLE,
Y,PANTOPRAZOLE,PANTOPRAZOLE (PANTOPRAZOLE SODIUM),PANTOPRAZOLE,
Y,PANTOPRAZOLE,PANTOPRAZOLE (Pantoprazole magnesium hemipentahydrate),PANTOPRAZOLE,
,,PAPAVERINE HYDROCHLORIDE,PAPAVERINE HYDROCHLORIDE,
,,PARACHLOROPHENOL,PARACHLOROPHENOL,
,,PAROMOMYCIN (PAROMOMYCIN SULFATE),PAROMOMYCIN (PAROMOMYCIN SULFATE),
Y,PAROXETINE,PAROXETINE (PAROXETINE HYDROCHLORIDE ACETONE SOLVATE),PAROXETINE,
Y,PAROXETINE,PAROXETINE (PAROXETINE HYDROCHLORIDE HEMIHYDRATE),PAROXETINE,
Y,PAROXETINE,PAROXETINE (PAROXETINE HYDROCHLORIDE),PAROXETINE,
Y,PAROXETINE,"PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)",PAROXETINE,
,,PASIREOTIDE (Pasireotide Pamoate),PASIREOTIDE (Pasireotide Pamoate),
,,PASIREOTIDE (Pasireotide diaspartate),PASIREOTIDE (Pasireotide diaspartate),
,,PATENT BLUE SODIUM,PATENT BLUE SODIUM,
,,PEANUT OIL,PEANUT OIL,
,,PECTIN,PECTIN,
,,PEGASPARGASE,PEGASPARGASE,
,,PEGFILGRASTIM,PEGFILGRASTIM,
,,PEGINTERFERON ALFA-2A,PEGINTERFERON ALFA-2A,
,,PEGINTERFERON ALFA-2B,PEGINTERFERON ALFA-2B,
,,PEGINTERFERON BETA-1A,PEGINTERFERON BETA-1A,
,,PEGVISOMANT,PEGVISOMANT,
,,PEMETREXED (PEMETREXED DISODIUM),PEMETREXED (PEMETREXED DISODIUM),
,,PENICILLIN G (PENICILLIN G SODIUM),PENICILLIN G (PENICILLIN G SODIUM),
,,PENICILLIN G BENZATHINE,PENICILLIN G BENZATHINE,
,,PENICILLIN G SODIUM,PENICILLIN G SODIUM,
Y,PENICILLIN V,PENICILLIN V POTASSIUM,PENICILLIN V,
,,PENTAZOCINE (PENTAZOCINE HYDROCHLORIDE),PENTAZOCINE (PENTAZOCINE HYDROCHLORIDE),
,,PENTAZOCINE (PENTAZOCINE LACTATE),PENTAZOCINE (PENTAZOCINE LACTATE),
,,PENTOSAN POLYSULFATE SODIUM,PENTOSAN POLYSULFATE SODIUM,
,,PENTOXIFYLLINE,PENTOXIFYLLINE,
,,PERFLUTREN,PERFLUTREN,
,,PERICIAZINE,PERICIAZINE,
Y,PERINDOPRIL,PERINDOPRIL ARGININE,PERINDOPRIL ARGININE,
Y,PERINDOPRIL,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,
,,PERMETHRIN,PERMETHRIN,
,,PERPHENAZINE,PERPHENAZINE,
,,PERTACTIN,PERTACTIN,
,,PERTACTIN ADSORBED,PERTACTIN ADSORBED,
,,PERTUSSIS TOXOID,PERTUSSIS TOXOID,
,,PERTUSSIS TOXOID ADSORBED,PERTUSSIS TOXOID ADSORBED,
,,PETROLATUM,PETROLATUM,
,,PHENAZOPYRIDINE HYDROCHLORIDE,PHENAZOPYRIDINE HYDROCHLORIDE,
,,PHENELZINE (PHENELZINE SULFATE),PHENELZINE (PHENELZINE SULFATE),
,,PHENIRAMINE MALEATE,PHENIRAMINE MALEATE,
,,PHENOBARBITAL,PHENOBARBITAL,
,,PHENOBARBITAL SODIUM,PHENOBARBITAL SODIUM,
,,PHENOL,PHENOL,
,,PHENTOLAMINE MESYLATE,PHENTOLAMINE MESYLATE,
,,PHENYLALANINE,PHENYLALANINE,
,,PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE),PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE),
,,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,
,,PHENYLTOLOXAMINE,PHENYLTOLOXAMINE,
Y,PHENYTOIN,PHENYTOIN,PHENYTOIN,
Y,PHENYTOIN,PHENYTOIN SODIUM,PHENYTOIN SODIUM,
,,PHOSPHOLIPID,PHOSPHOLIPID,
,,PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,
,,PILOCARPINE NITRATE,PILOCARPINE NITRATE,
,,PIMECROLIMUS,PIMECROLIMUS,
,,PIMOZIDE,PIMOZIDE,
,,PINAVERIUM BROMIDE,PINAVERIUM BROMIDE,
,,PINDOLOL,PINDOLOL,
Y,PIOGLITAZONE,PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE),PIOGLITAZONE,
,,PIPERACILLIN (PIPERACILLIN SODIUM),PIPERACILLIN (PIPERACILLIN SODIUM),
,,PIPERAZINE,PIPERAZINE,
,,PIPERONYL BUTOXIDE,PIPERONYL BUTOXIDE,
,,PIPRADROL HYDROCHLORIDE,PIPRADROL HYDROCHLORIDE,
,,PIRFENIDONE,PIRFENIDONE,
,,PIROXICAM,PIROXICAM,
,,PITCHER PLANT,PITCHER PLANT,
,,PIZOTIFEN (PIZOTIFEN MALATE),PIZOTIFEN (PIZOTIFEN MALATE),
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 14,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 14,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 17F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 17F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 20,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 20,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 8,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 8,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N,
,,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V,
,,PODOPHYLLIN,PODOPHYLLIN,
,,PODOPHYLLOTOXIN,PODOPHYLLOTOXIN,
,,POLISTES SPP VENOM PROTEIN EXTRACT,POLISTES SPP VENOM PROTEIN EXTRACT,
,,POLLEN,POLLEN,
,,POLLEN AND NON POLLEN,POLLEN AND NON POLLEN,
,,POLYCARBOPHIL (CALCIUM POLYCARBOPHIL),POLYCARBOPHIL (CALCIUM POLYCARBOPHIL),
,,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,
,,POLYETHYLENE GLYCOL 400,POLYETHYLENE GLYCOL 400,
,,POLYMYXIN B (POLYMYXIN B SULFATE),POLYMYXIN B (POLYMYXIN B SULFATE),
,,POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,
,,POLYSORBATE 80,POLYSORBATE 80,
,,POLYVINYL ALCOHOL,POLYVINYL ALCOHOL,
,,PORACTANT ALFA,PORACTANT ALFA,
,,POSACONAZOLE,POSACONAZOLE,
,,"POTASSIUM (POTASSIUM CHLORIDE, POTASSIUM CITRATE)","POTASSIUM (POTASSIUM CHLORIDE, POTASSIUM CITRATE)",
,,POTASSIUM ACETATE,POTASSIUM ACETATE,
,,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,
,,POTASSIUM CITRATE,POTASSIUM CITRATE,
,,POTASSIUM PHOSPHATE DIBASIC,POTASSIUM PHOSPHATE DIBASIC,
,,POTASSIUM PHOSPHATE MONOBASIC,POTASSIUM PHOSPHATE MONOBASIC,
,,POVIDONE,POVIDONE,
Y,PRAMIPEXOLE,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE,PRAMIPEXOLE,
,,PRAMOXINE HYDROCHLORIDE,PRAMOXINE HYDROCHLORIDE,
Y,PRAVASTATIN,PRAVASTATIN SODIUM,PRAVASTATIN,
,,PRAZIQUANTEL,PRAZIQUANTEL,
,,PRAZOSIN (PRAZOSIN HYDROCHLORIDE),PRAZOSIN (PRAZOSIN HYDROCHLORIDE),
,,PREDNICARBATE,PREDNICARBATE,
Y,PREDNISOLONE,PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE),PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE),
Y,PREDNISOLONE,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,
Y,PREDNISOLONE,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,
Y,PREDNISONE,PREDNISONE,PREDNISONE,
Y,PREGABALIN,PREGABALIN,PREGABALIN,
,,PRILOCAINE,PRILOCAINE,
,,PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE,
,,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,
,,PRIMIDONE,PRIMIDONE,
,,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,
,,PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE),PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE),
,,PROCHLORPERAZINE,PROCHLORPERAZINE,
,,PROCHLORPERAZINE (PROCHLORPERAZINE MALEATE),PROCHLORPERAZINE (PROCHLORPERAZINE MALEATE),
,,PROCHLORPERAZINE (PROCHLORPERAZINE MESYLATE),PROCHLORPERAZINE (PROCHLORPERAZINE MESYLATE),
Y,PROCYCLIDINE,PROCYCLIDINE HYDROCHLORIDE,PROCYCLIDINE,
Y,PROGESTERONE,PROGESTERONE,PROGESTERONE,
,,PROGUANIL HYDROCHLORIDE,PROGUANIL HYDROCHLORIDE,
,,PROLINE,PROLINE,
,,PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE),PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE),
,,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,
,,PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,
,,PROPIVERINE HYDROCHLORIDE,PROPIVERINE HYDROCHLORIDE,
,,PROPOFOL,PROPOFOL,
Y,PROPRANOLOL,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL,
,,PROPYL ALCOHOL,PROPYL ALCOHOL,
,,PROPYLENE GLYCOL,PROPYLENE GLYCOL,
,,PROPYLTHIOURACIL,PROPYLTHIOURACIL,
,,PROTAMINE SULFATE,PROTAMINE SULFATE,
,,PROTEASE,PROTEASE,
,,PROTEIN C,PROTEIN C,
,,PROTEIN S,PROTEIN S,
,,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,
,,PSEUDOEPHEDRINE SULFATE,PSEUDOEPHEDRINE SULFATE,
,,PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN,PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN,
,,PYRANTEL (PYRANTEL PAMOATE),PYRANTEL (PYRANTEL PAMOATE),
,,PYRAZINAMIDE,PYRAZINAMIDE,
,,PYRETHRINS,PYRETHRINS,
,,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,
,,PYRIDOXINE HYDROCHLORIDE,PYRIDOXINE HYDROCHLORIDE,
,,PYRILAMINE MALEATE,PYRILAMINE MALEATE,
,,PYRITHIONE ZINC,PYRITHIONE ZINC,
,,Paritaprevir,Paritaprevir,
,,Pazopanib (Pazopanib Hydrochloride),Pazopanib (Pazopanib Hydrochloride),
,,Pembrolizumab,Pembrolizumab,
,,Perampanel,Perampanel,
,,Pertuzumab,Pertuzumab,
,,Plerixafor,Plerixafor,
,,Pomalidomide,Pomalidomide,
,,Ponatinib (Ponatinib Hydrochloride),Ponatinib (Ponatinib Hydrochloride),
,,Prasugrel (Prasugrel Hydrochloride),Prasugrel (Prasugrel Hydrochloride),
,,Prucalopride (Prucalopride Succinate),Prucalopride (Prucalopride Succinate),
Y,QUETIAPINE,QUETIAPINE (QUETIAPINE FUMARATE),QUETIAPINE,
,,QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE),QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE),
Y,QUINAPRIL,QUINAPRIL (QUINAPRIL HYDROCHLORIDE),QUINAPRIL,
,,QUINIDINE SULFATE,QUINIDINE SULFATE,
Y,QUININE,QUININE SULFATE,QUININE,
Y,RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,RABEPRAZOLE,
,,RABIES IMMUNE GLOBULIN HUMAN,RABIES IMMUNE GLOBULIN HUMAN,
,,RABIES VACCINE INACTIVATED (HUMAN DIPLOID-CELL CULTURE),RABIES VACCINE INACTIVATED (HUMAN DIPLOID-CELL CULTURE),
,,RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE),RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE),
,,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,
,,RALTEGRAVIR (RALTEGRAVIR POTASSIUM),RALTEGRAVIR (RALTEGRAVIR POTASSIUM),
,,RALTITREXED (RALTITREXED DISODIUM),RALTITREXED (RALTITREXED DISODIUM),
Y,RAMIPRIL,RAMIPRIL,RAMIPRIL,
,,RAMUCIRUMAB,RAMUCIRUMAB,
,,RANIBIZUMAB,RANIBIZUMAB,
Y,RANITIDINE,RANITIDINE (RANITIDINE HYDROCHLORIDE),RANITIDINE,
,,RASAGILINE (RASAGILINE MESYLATE),RASAGILINE (RASAGILINE MESYLATE),
,,RASBURICASE,RASBURICASE,
,,RECOMBINANT CHOLERA TOXIN B SUBUNIT,RECOMBINANT CHOLERA TOXIN B SUBUNIT,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN,
,,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN,RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN,
,,REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE),REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE),
Y,REPAGLINIDE,REPAGLINIDE,REPAGLINIDE,
,,RESLIZUMAB,RESLIZUMAB,
,,RHO D IMMUNE GLOBULIN HUMAN,RHO D IMMUNE GLOBULIN HUMAN,
,,RIBAVIRIN,RIBAVIRIN,
,,RIFABUTIN,RIFABUTIN,
,,RIFAMPIN,RIFAMPIN,
,,RIFAXIMIN,RIFAXIMIN,
,,RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE),RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE),
,,RILUZOLE,RILUZOLE,
,,RIOCIGUAT,RIOCIGUAT,
Y,RISEDRONATE,RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMI-PENTAHYDRATE),RISEDRONATE,
Y,RISEDRONATE,RISEDRONATE SODIUM (RISEDRONATE SODIUM MONOHYDRATE),RISEDRONATE,
Y,RISPERIDONE,RISPERIDONE,RISPERIDONE,
Y,RISPERIDONE,RISPERIDONE (RISPERIDONE TARTRATE),RISPERIDONE (RISPERIDONE TARTRATE),
,,RITONAVIR,RITONAVIR,
,,RITUXIMAB,RITUXIMAB,
Y,RIVAROXABAN,RIVAROXABAN,RIVAROXABAN,
