"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","ntp_dosage_form_fr"
"40001","solution for injection","97","INTRAVASCULAR","Intravasculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","97-64","INTRAVASCULAR, SUBARACHNOIDAL","Intravasculaire,Sous-arachnoÏdienne","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","49","INTRAVENOUS","Intraveineuse","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","49","INTRAVENOUS","Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","49-96","INTRAVENOUS, INTRAVESICAL","Intraveineuse,Intravésicale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","49-36","INTRAVENOUS, IRRIGATION","Intraveineuse,Irrigation","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","49-56","INTRAVENOUS, ORAL","Intraveineuse,Orale","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","49-56","INTRAVENOUS, ORAL","Intraveineuse,Orale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","50","INTRAVENTRICULAR","Intraventriculaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","80","INTRAVITREAL","Intravitreuse","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","59","PARENTERAL (UNSPECIFIED)","Parentérale (non spécifiée)","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","59","PARENTERAL (UNSPECIFIED)","Parentérale (non spécifiée)","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","85","PERCUTANEOUS","Percutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","85","PERCUTANEOUS","Percutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","85-65","PERCUTANEOUS, SUBCUTANEOUS","Percutanée,Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","85-65","PERCUTANEOUS, SUBCUTANEOUS","Percutanée,Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","60","RETROBULBAR","Rétrobulbaire","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","63","SOFT TISSUE INJECTION","Injection dans les tissus mous","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","64","SUBARACHNOIDAL","Sous-arachnoÏdienne","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","65","SUBCUTANEOUS","Sous-cutanée","34","LIQUID","Liquide","solution injectable"
"40001","solution for injection","65","SUBCUTANEOUS","Sous-cutanée","134","SOLUTION","Solution","solution injectable"
"40148","prolonged-release solution for injection","65","SUBCUTANEOUS","Sous-cutanée","155","SOLUTION (EXTENDED RELEASE)","Solution (à libération prolongée)","solution injectable à libération prolongée"
"40001","solution for injection","109","SUBMUCOSAL","Sous-muqueuse","134","SOLUTION","Solution","solution injectable"
"40036","solution for peritoneal dialysis","33","INTRAPERITONEAL","Intrapéritonéale","134","SOLUTION","Solution","solution pour dialyse péritonéale"
"40104","sublingual spray","66","SUBLINGUAL","Sublinguale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","vaporisation sublinguale"
"40104","sublingual spray","66","SUBLINGUAL","Sublinguale","117","METERED-DOSE PUMP","Pompe à dose mesurée","vaporisation sublinguale"
"40105","sublingual tablet","66","SUBLINGUAL","Sublinguale","85","TABLET","Comprimé","comprimé sublingual"
"40097","suppository","62","RECTAL","Rectale","78","SUPPOSITORY","Suppositoire","suppositoire"
"40019","suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10","INTRA-ARTICULAR","Intra-articulaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire,Intrabursique","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire,Intrabursique,Intradermique,Intrasynoviale","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","13","INTRABURSAL","Intrabursique","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","19","INTRADERMAL","Intradermique","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique,Percutanée,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","21","INTRALESIONAL","Intralésionnelle","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22","INTRAMUSCULAR","Intramusculaire","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","42","INTRASYNOVIAL","Intrasynoviale","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","31","INTRATHECAL","Intrathécale","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","49","INTRAVENOUS","Intraveineuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","80","INTRAVITREAL","Intravitreuse","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","63","SOFT TISSUE INJECTION","Injection dans les tissus mous","79","SUSPENSION","Suspension","suspension injectable"
"40019","suspension for injection","65","SUBCUTANEOUS","Sous-cutanée","79","SUSPENSION","Suspension","suspension injectable"
"40128","swab","70","TOPICAL","Topique","129","SWAB","Coton-tige","écouvillon"
"40128","swab","107","TOPICAL (HOSPITAL/HC FACILITIES)","Topique (Hôpitaux, établissements de soins de santé)","129","SWAB","Coton-tige","écouvillon"
"40077","syrup","56","ORAL","Orale","82","SYRUP","Sirop","sirop"
"40077","syrup","56","ORAL","Orale","70","SYRUP (EXTENDED-RELEASE)","Sirop (à libération prolongée)","sirop"
"40012","toothpaste","5","DENTAL","Dentaire","94","TOOTHPASTE","Pâte dentifrice","pâte dentifrice"
"40132","transdermal gel","71","TRANSDERMAL","Transdermique","114","GEL","Gel","gel transdermique"
"40133","transdermal patch","71","TRANSDERMAL","Transdermique","145","PATCH","Timbre","timbre transdermique"
"40133","transdermal patch","71","TRANSDERMAL","Transdermique","160","PATCH (EXTENDED RELEASE)","Timbre (à libération prolongée)","timbre transdermique"
"40135","urethral gel","72","URETHRAL","Urétrale","114","GEL","Gel","gel urétral"
"40135","urethral gel","72","URETHRAL","Urétrale","26","JELLY","","gel urétral"
"40134","urethral stick","72","URETHRAL","Urétrale","78","SUPPOSITORY","Suppositoire","bâton pour usage urétral"
"40131","vaginal cream","70-74","TOPICAL, VAGINAL","Topique,Vaginale","9","CREAM","Crème","crème vaginale"
"40131","vaginal cream","74","VAGINAL","Vaginale","9","CREAM","Crème","crème vaginale"
"40137","vaginal delivery system","74","VAGINAL","Vaginale","116","INSERT","Insert","système de diffusion vaginal"
"40136","vaginal gel","74","VAGINAL","Vaginale","114","GEL","Gel","gel vaginal"
"40138","vaginal ointment","74","VAGINAL","Vaginale","43","OINTMENT","Pommade","pommade vaginale"
"40141","vaginal tablet","74","VAGINAL","Vaginale","154","VAGINAL TABLET","Comprimé vaginal","comprimé vaginal"
"40129","wipe","70","TOPICAL","Topique","105","WIPE","Serviette","lingette"
"40129","wipe","107","TOPICAL (HOSPITAL/HC FACILITIES)","Topique (Hôpitaux, établissements de soins de santé)","105","WIPE","Serviette","lingette"
"40129","wipe","104","TOPICAL (HOUSEHOLD)","Topique (Maison)","105","WIPE","Serviette","lingette"
"40055","prolonged-release eye drops","55","OPHTHALMIC","Ophtalmique","155","SOLUTION (EXTENDED RELEASE)","Solution (à libération prolongée)","gouttes ophtalmiques à libération prolongée"
"40144","buccal film","3","BUCCAL","Buccale","167","FILM, SOLUBLE","Pellicule, soluble","film buccogingival"
"40006","kit","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","32-56","KIT, POWDER FOR SOLUTION","Trousse,Poudre pour solution","kit"
"40001","solution for injection","1-49","BLOCK/INFILTRATION, INTRAVENOUS","Bloc/Infiltration,Intraveineuse","134","SOLUTION","Solution","solution injectable"
"40006","kit","22","INTRAMUSCULAR","Intramusculaire","32-118","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Trousse,Poudre pour suspension, à libération prolongée","kit"
"40006","kit","5","DENTAL","Dentaire","32-134","KIT, SOLUTION","Trousse,Solution","kit"
"40029","nasal spray","53","NASAL","Nasale","134-98","SOLUTION, SPRAY","Solution,Pulvérisation","vaporisation nasale"
"40063","oral drops","56","ORAL","Orale","12-34","DROPS, LIQUID","Gouttes,Liquide","gouttes orales"
"40145","oral drops suspension","56","ORAL","Orale","12-79","DROPS, SUSPENSION","Gouttes,Suspension","suspension orale en gouttes"
"40006","kit","56","ORAL","Orale","32-85","KIT, TABLET","Trousse,Comprimé","kit"
"40006","kit","56","ORAL","Orale","5-137-32-85","CAPSULE, CAPSULE (DELAYED RELEASE), KIT, TABLET","Capsule,Capsule (à libération retardée),Trousse,Comprimé","kit"
"40001","solution for injection","65","SUBCUTANEOUS","Sous-cutanée","32-134","KIT, SOLUTION","Trousse,Solution","solution injectable"
"40006","kit","70-74","TOPICAL, VAGINAL","Topique,Vaginale","9-15","CREAM, OVULE","Crème,NA","kit"
"40006","kit","70-74","TOPICAL, VAGINAL","Topique,Vaginale","9-78","CREAM, SUPPOSITORY","Crème,Suppositoire","kit"
"40112","cutaneous gel","70","TOPICAL","Topique","114-32","GEL, KIT","Gel,Trousse","gel cutané"
"40006","kit","70","TOPICAL","Topique","114-32-36","GEL, KIT, LOTION","Gel,Trousse,Lotion","kit"
"40006","kit","70","TOPICAL","Topique","114-32-52","GEL, KIT, PASTE","Gel,Trousse,Pâte","kit"
"40112","cutaneous gel","70","TOPICAL","Topique","114-36","GEL, LOTION","Gel,Lotion","gel cutané"
"40006","kit","70","TOPICAL","Topique","32-36","KIT, LOTION","Trousse,Lotion","kit"
"40006","kit","70","TOPICAL","Topique","9-114-32-36","CREAM, GEL, KIT, LOTION","Crème,Gel,Trousse,Lotion","kit"
"40146","transdermal solution","71","TRANSDERMAL","Transdermique","134","SOLUTION","Solution","solution transdermique"
"40004","gargle/mouthwash","3-56","BUCCAL, ORAL","Buccale,Orale","42","MOUTHWASH/GARGLE","Rince-bouche/Gargarisme","solution pour gargarisme/bain de bouche"
"40006","kit","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","32-56","KIT, POWDER FOR SOLUTION","Trousse,Poudre pour solution","kit"
"40061","modified-release oral capsule","56","ORAL","Orale","141-161","CAPSULE (EXTENDED RELEASE), CAPSULE (IMMEDIATE RELEASE)","Capsule (à libération prolongée),Capsule (à libération immédiate)","capsule orale à libération modifiée"
"40006","kit","22","INTRAMUSCULAR","Intramusculaire","32-56","KIT, POWDER FOR SOLUTION","Trousse,Poudre pour solution","kit"
"40006","kit","56","ORAL","Orale","5-32","CAPSULE, KIT","Capsule,Trousse","kit"
"40006","kit","56-70","ORAL, TOPICAL","Orale,Topique","5-9-32","CAPSULE, CREAM, KIT","Capsule,Crème,Trousse","kit"
"40147","anticoagulant and preservative solution for blood","92","0-UNASSIGNED","0-Non attribuée","134","SOLUTION","Solution","solution anticoagulante et de conservation du sang humain"
"40091","rectal foam","62","RECTAL","Rectale","175","FOAM","MOUSSE","mousse rectale"
"40001","solution for injection","29-49-56","INHALATION, INTRAVENOUS, ORAL","Inhalation,Intraveineuse,Orale","134","SOLUTION","Solution","solution injectable"
"40001","solution for injection","29-49-56","INHALATION, INTRAVENOUS, ORAL","Inhalation,Intraveineuse,Orale","34","LIQUID","Liquide","solution injectable"
"40017","powder for solution for injection","12-17-22-49-65","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40026","powder for nebulizer solution","29","INHALATION","Inhalation","2-56","AEROSOL, POWDER FOR SOLUTION","Aérosol,Poudre pour solution","poudre pour solution pour inhalation par nébuliseur"
"40001","solution for injection","90","EXTRACORPOREAL","Extracorporelle","134","SOLUTION","Solution","solution injectable"
"40106","cutaneous spray","70","TOPICAL","Topique","164","SPRAY, BAG-ON-VALVE","Pulvérisation, sac-sur-valve","vaporisation cutanée"
"40149","cutaneous spray powder","70","TOPICAL","Topique","2-55","AEROSOL, POWDER","Aérosol,Poudre","poudre pour vaporisation cutanée"
"40085","powder for oral/rectal suspension","56-62","ORAL, RECTAL","Orale,Rectale","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension orale/rectale"
"40019","suspension for injection","10-42-112","INTRA-ARTICULAR, INTRASYNOVIAL, PERIARTICULAR","Intra-articulaire,Intrasynoviale,Périarticulaire","79","SUSPENSION","Suspension","suspension injectable"
"40001","solution for injection","7-111","EPIDURAL, INFILTRATION","Épidurale,INFILTRATION","134","SOLUTION","Solution","solution injectable"
"40124","cutaneous solution","70","TOPICAL","Topique","88","TINCTURE","Teinture","solution pour application cutanée"
"40075","oral paste","56-70","ORAL, TOPICAL","Orale,Topique","52","PASTE","Pâte","pâte orale"
"40029","nasal spray","53","NASAL","Nasale","98-79","SPRAY, SUSPENSION","Pulvérisation,Suspension","vaporisation nasale"
"40150","oral/rectal suspension","56-62","ORAL, RECTAL","Orale,Rectale","79","SUSPENSION","Suspension","solution orale/rectale"
"40035","irrigation solution","33-36-70","INTRAPERITONEAL, IRRIGATION, TOPICAL","Intrapéritonéale,Irrigation,Topique","34","LIQUID","Liquide","solution pour irrigation"
"40003","mouthwash","3","BUCCAL","Buccale","182","MOUTHWASH","Rince-bouche","solution pour bain de bouche"
"40094","rectal solution","62","RECTAL","Rectale","20-34","ENEMA, LIQUID","Lavement,Liquide","solution rectale"
"40001","solution for injection","12-22-31-49-114","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRACEREBROVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intracérébroventriculaire","134","SOLUTION","Solution","solution injectable"
"40005","oromucosal spray","3","BUCCAL","Buccale","158","SPRAY, METERED DOSE","Pulvérisation, à dose mesurée","vaporisation buccale"
"40001","solution for injection","114","INTRACEREBROVENTRICULAR","INTRACÉRÉBROVENTRICULAR","134","SOLUTION","Solution","solution injectable"
