"drug_code","ccdd","n_ing","ai_code_set","tm_formal_name","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name","mp_ing_formal_name"
93789,TRUE,17,"11079, 4803, 582, 5000, 4991, 7218, 309, 6487, 5015, 781, 11170, 11171, 11169, 646, 4922, 701, 331","beta-carotene and calcium (calcium carbonate) and copper (cupric oxide) and d-pantothenic acid (calcium d-pantothenate) and folic acid and iodine (potassium iodide) and iron (ferrous fumarate) and magnesium (magnesium oxide) and nicotinamide and vitamin B12 (cyanocobalamin) and vitamin B1 (thiamine mononitrate) and vitamin B2 (riboflavin) and vitamin B6 (pyridoxine hydrochloride) and vitamin C (ascorbic acid) and vitamin D3 (cholecalciferol) and vitamin E (dl-alpha tocopheryl acetate) and zinc (zinc oxide)","1.6 MG, 300 MG, 2 MG, 5 MG, 5 MG, 0.15 MG, 35 MG, 50 MG, 20 MG, 12 MCG, 3 MG, 3.4 MG, 10 MG, 120 MG, 600 UNIT, 13.8 MG, 15 MG","BETA-CAROTENE, CALCIUM CARBONATE, CUPRIC OXIDE, CALCIUM D-PANTOTHENATE, FOLIC ACID, POTASSIUM IODIDE, FERROUS FUMARATE, MAGNESIUM OXIDE, NICOTINAMIDE, CYANOCOBALAMIN, THIAMINE MONONITRATE, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, ASCORBIC ACID, CHOLECALCIFEROL, DL-ALPHA TOCOPHERYL ACETATE, ZINC OXIDE","beta-carotene, calcium (calcium carbonate), copper (cupric oxide), d-pantothenic acid (calcium d-pantothenate), folic acid, iodine (potassium iodide), iron (ferrous fumarate), magnesium (magnesium oxide), nicotinamide, vitamin B12 (cyanocobalamin), vitamin B1 (thiamine mononitrate), vitamin B2 (riboflavin), vitamin B6 (pyridoxine hydrochloride), vitamin C (ascorbic acid), vitamin D3 (cholecalciferol), vitamin E (dl-alpha tocopheryl acetate), zinc (zinc oxide)","beta-carotene 1.6 mg and calcium (calcium carbonate) 300 mg and copper (cupric oxide) 2 mg and d-pantothenic acid (calcium d-pantothenate) 5 mg and folic acid 5 mg and iodine (potassium iodide) 0.15 mg and iron (ferrous fumarate) 35 mg and magnesium (magnesium oxide) 50 mg and nicotinamide 20 mg and vitamin b12 (cyanocobalamin) 12 mcg and vitamin b1 (thiamine mononitrate) 3 mg and vitamin b2 (riboflavin) 3.4 mg and vitamin b6 (pyridoxine hydrochloride) 10 mg and vitamin c (ascorbic acid) 120 mg and vitamin d3 (cholecalciferol) 600 unit and vitamin e (dl-alpha tocopheryl acetate) 13.8 mg and zinc (zinc oxide) 15 mg","beta-carotene 1.6 mg and calcium (calcium carbonate) 300 mg and copper (cupric oxide) 2 mg and d-pantothenic acid (calcium d-pantothenate) 5 mg and folic acid 5 mg and iodine (potassium iodide) 0.15 mg and iron (ferrous fumarate) 35 mg and magnesium (magnesium oxide) 50 mg and nicotinamide 20 mg and vitamin b12 (cyanocobalamin) 12 mcg and vitamin b1 (thiamine mononitrate) 3 mg and vitamin b2 (riboflavin) 3.4 mg and vitamin b6 (pyridoxine hydrochloride) 10 mg and vitamin c (ascorbic acid) 120 mg and vitamin d3 (cholecalciferol) 600 unit and vitamin e (dl-alpha tocopheryl acetate) 13.8 mg and zinc (zinc oxide) 15 mg"
93791,TRUE,1,"12346","tadalafil","5 MG","TADALAFIL","tadalafil","tadalafil 5 mg","tadalafil 5 mg"
93793,TRUE,1,"12346","tadalafil","20 MG","TADALAFIL","tadalafil","tadalafil 20 mg","tadalafil 20 mg"
93800,FALSE,1,"12253","fondaparinux sodium","5 MG per 0.4 ML","FONDAPARINUX SODIUM","fondaparinux sodium","fondaparinux sodium 5 mg per 0.4 mL","fondaparinux sodium 5 mg per 0.4 mL"
93801,FALSE,1,"12253","fondaparinux sodium","10 MG per 0.8 ML","FONDAPARINUX SODIUM","fondaparinux sodium","fondaparinux sodium 10 mg per 0.8 mL","fondaparinux sodium 10 mg per 0.8 mL"
93803,FALSE,2,"2375, 1204","clotrimazole and fluconazole","1 %, 150 MG","CLOTRIMAZOLE, FLUCONAZOLE","clotrimazole, fluconazole","clotrimazole 1 % and fluconazole 150 mg","clotrimazole 1 % and fluconazole 150 mg"
93811,TRUE,1,"7942","cetirizine","5 MG","CETIRIZINE HYDROCHLORIDE","cetirizine hydrochloride","cetirizine hydrochloride 5 mg","cetirizine hydrochloride 5 mg"
93812,TRUE,1,"7942","cetirizine","10 MG","CETIRIZINE HYDROCHLORIDE","cetirizine hydrochloride","cetirizine hydrochloride 10 mg","cetirizine hydrochloride 10 mg"
93813,TRUE,1,"10187","amitriptyline","10 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 10 mg","amitriptyline hydrochloride 10 mg"
93814,TRUE,1,"10187","amitriptyline","25 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 25 mg","amitriptyline hydrochloride 25 mg"
93815,TRUE,1,"10187","amitriptyline","50 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 50 mg","amitriptyline hydrochloride 50 mg"
93817,FALSE,1,"22686","sugammadex (sugammadex sodium)","100 MG per ML","SUGAMMADEX SODIUM","sugammadex (sugammadex sodium)","sugammadex (sugammadex sodium) 100 mg per mL","sugammadex (sugammadex sodium) 100 mg per mL"
93818,TRUE,1,"12346","tadalafil","2.5 MG","TADALAFIL","tadalafil","tadalafil 2.5 mg","tadalafil 2.5 mg"
93819,TRUE,1,"12346","tadalafil","5 MG","TADALAFIL","tadalafil","tadalafil 5 mg","tadalafil 5 mg"
93820,TRUE,1,"12346","tadalafil","10 MG","TADALAFIL","tadalafil","tadalafil 10 mg","tadalafil 10 mg"
93821,TRUE,1,"12346","tadalafil","20 MG","TADALAFIL","tadalafil","tadalafil 20 mg","tadalafil 20 mg"
93829,FALSE,1,"20300","naltrexone hydrochloride","50 MG","NALTREXONE HYDROCHLORIDE","naltrexone hydrochloride","naltrexone hydrochloride 50 mg","naltrexone hydrochloride 50 mg"
93830,FALSE,1,"11180","cefazolin (cefazolin sodium)","10 G per VIAL","CEFAZOLIN SODIUM","cefazolin (cefazolin sodium)","cefazolin (cefazolin sodium) 10 g per vial","cefazolin (cefazolin sodium) 10 g per vial"
93831,TRUE,1,"20171","duloxetine","30 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 30 mg","duloxetine (duloxetine hydrochloride) 30 mg"
93832,TRUE,1,"20171","duloxetine","60 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 60 mg","duloxetine (duloxetine hydrochloride) 60 mg"
93847,TRUE,1,"12346","tadalafil","2.5 MG","TADALAFIL","tadalafil","tadalafil 2.5 mg","tadalafil 2.5 mg"
93848,TRUE,1,"12346","tadalafil","5 MG","TADALAFIL","tadalafil","tadalafil 5 mg","tadalafil 5 mg"
93849,TRUE,1,"12346","tadalafil","10 MG","TADALAFIL","tadalafil","tadalafil 10 mg","tadalafil 10 mg"
93850,TRUE,1,"12346","tadalafil","20 MG","TADALAFIL","tadalafil","tadalafil 20 mg","tadalafil 20 mg"
93851,TRUE,1,"12346","tadalafil","5 MG","TADALAFIL","tadalafil","tadalafil 5 mg","tadalafil 5 mg"
93852,TRUE,1,"12346","tadalafil","2.5 MG","TADALAFIL","tadalafil","tadalafil 2.5 mg","tadalafil 2.5 mg"
93853,TRUE,1,"12346","tadalafil","10 MG","TADALAFIL","tadalafil","tadalafil 10 mg","tadalafil 10 mg"
93854,TRUE,1,"12346","tadalafil","20 MG","TADALAFIL","tadalafil","tadalafil 20 mg","tadalafil 20 mg"
93862,FALSE,4,"755, 1970, 12048, 2280","avobenzone and homosalate and octisalate and octocrylene","3 %, 10 %, 4.5 %, 8 %","AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","avobenzone, homosalate, octisalate, octocrylene","avobenzone 3 % and homosalate 10 % and octisalate 4.5 % and octocrylene 8 %","avobenzone 3 % and homosalate 10 % and octisalate 4.5 % and octocrylene 8 %"
93863,FALSE,2,"12049, 33","octinoxate and oxybenzone","6.6 %, 3 %","OCTINOXATE, OXYBENZONE","octinoxate, oxybenzone","octinoxate 6.6 % and oxybenzone 3 %","octinoxate 6.6 % and oxybenzone 3 %"
93864,FALSE,1,"20022","deferasirox","90 MG","DEFERASIROX","deferasirox","deferasirox 90 mg","deferasirox 90 mg"
93865,FALSE,1,"20022","deferasirox","180 MG","DEFERASIROX","deferasirox","deferasirox 180 mg","deferasirox 180 mg"
93866,FALSE,1,"20022","deferasirox","360 MG","DEFERASIROX","deferasirox","deferasirox 360 mg","deferasirox 360 mg"
93867,FALSE,1,"22694","asunaprevir","100 MG","ASUNAPREVIR","asunaprevir","asunaprevir 100 mg","asunaprevir 100 mg"
93868,TRUE,1,"424","azithromycin","250 MG","AZITHROMYCIN DIHYDRATE","azithromycin","azithromycin 250 mg","azithromycin (azithromycin dihydrate) 250 mg"
93870,TRUE,1,"424","azithromycin","250 MG","AZITHROMYCIN DIHYDRATE","azithromycin","azithromycin 250 mg","azithromycin (azithromycin dihydrate) 250 mg"
93872,FALSE,1,"22695","cobimetinib (cobimetinib fumarate)","20 MG","COBIMETINIB FUMARATE","cobimetinib (cobimetinib fumarate)","cobimetinib (cobimetinib fumarate) 20 mg","cobimetinib (cobimetinib fumarate) 20 mg"
93873,FALSE,1,"11382","granisetron (granisetron hydrochloride)","1 MG","GRANISETRON HYDROCHLORIDE","granisetron (granisetron hydrochloride)","granisetron (granisetron hydrochloride) 1 mg","granisetron (granisetron hydrochloride) 1 mg"
93875,TRUE,1,"1249","felodipine","2.5 MG","FELODIPINE","felodipine","felodipine 2.5 mg","felodipine 2.5 mg"
93876,TRUE,1,"1249","felodipine","5 MG","FELODIPINE","felodipine","felodipine 5 mg","felodipine 5 mg"
93877,TRUE,1,"1249","felodipine","10 MG","FELODIPINE","felodipine","felodipine 10 mg","felodipine 10 mg"
93880,TRUE,1,"11854","sildenafil","100 MG","SILDENAFIL CITRATE","sildenafil (sildenafil citrate)","sildenafil (sildenafil citrate) 100 mg","sildenafil (sildenafil citrate) 100 mg"
93883,FALSE,1,"13053","bortezomib (bortezomib mannitol boronic ester)","3.5 MG per VIAL","BORTEZOMIB MANNITOL BORONIC ESTER","bortezomib (bortezomib mannitol boronic ester)","bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial","bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial"
93884,TRUE,1,"11096","ranitidine","75 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 75 mg","ranitidine (ranitidine hydrochloride) 75 mg"
93885,TRUE,1,"12346","tadalafil","2.5 MG","TADALAFIL","tadalafil","tadalafil 2.5 mg","tadalafil 2.5 mg"
93886,TRUE,1,"12346","tadalafil","5 MG","TADALAFIL","tadalafil","tadalafil 5 mg","tadalafil 5 mg"
93887,TRUE,1,"12346","tadalafil","10 MG","TADALAFIL","tadalafil","tadalafil 10 mg","tadalafil 10 mg"
93888,TRUE,1,"12346","tadalafil","20 MG","TADALAFIL","tadalafil","tadalafil 20 mg","tadalafil 20 mg"
93897,FALSE,2,"12049, 727","octinoxate and titanium dioxide","2.9 %, 1.6 %","OCTINOXATE, TITANIUM DIOXIDE","octinoxate, titanium dioxide","octinoxate 2.9 % and titanium dioxide 1.6 %","octinoxate 2.9 % and titanium dioxide 1.6 %"
93901,FALSE,3,"755, 1970, 12049","avobenzone and homosalate and octinoxate","2.5 %, 3 %, 7.5 %","AVOBENZONE, HOMOSALATE, OCTINOXATE","avobenzone, homosalate, octinoxate","avobenzone 2.5 % and homosalate 3 % and octinoxate 7.5 %","avobenzone 2.5 % and homosalate 3 % and octinoxate 7.5 %"
93902,TRUE,1,"20171","duloxetine","30 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 30 mg","duloxetine (duloxetine hydrochloride) 30 mg"
93903,TRUE,1,"20171","duloxetine","60 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 60 mg","duloxetine (duloxetine hydrochloride) 60 mg"
93909,FALSE,2,"12049, 727","octinoxate and titanium dioxide","6 %, 6 %","OCTINOXATE, TITANIUM DIOXIDE","octinoxate, titanium dioxide","octinoxate 6 % and titanium dioxide 6 %","octinoxate 6 % and titanium dioxide 6 %"
93910,FALSE,1,"13352","cinacalcet (cinacalcet hydrochloride)","30 MG","CINACALCET HYDROCHLORIDE","cinacalcet (cinacalcet hydrochloride)","cinacalcet (cinacalcet hydrochloride) 30 mg","cinacalcet (cinacalcet hydrochloride) 30 mg"
93911,FALSE,1,"13352","cinacalcet (cinacalcet hydrochloride)","60 MG","CINACALCET HYDROCHLORIDE","cinacalcet (cinacalcet hydrochloride)","cinacalcet (cinacalcet hydrochloride) 60 mg","cinacalcet (cinacalcet hydrochloride) 60 mg"
93912,FALSE,1,"13352","cinacalcet (cinacalcet hydrochloride)","90 MG","CINACALCET HYDROCHLORIDE","cinacalcet (cinacalcet hydrochloride)","cinacalcet (cinacalcet hydrochloride) 90 mg","cinacalcet (cinacalcet hydrochloride) 90 mg"
93914,TRUE,1,"6186","methylphenidate","18 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 18 mg","methylphenidate hydrochloride 18 mg"
93915,TRUE,1,"6186","methylphenidate","27 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 27 mg","methylphenidate hydrochloride 27 mg"
93916,TRUE,1,"6186","methylphenidate","36 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 36 mg","methylphenidate hydrochloride 36 mg"
93919,TRUE,1,"6850, 6850","benzoyl peroxide","2.5 %, 5 %","BENZOYL PEROXIDE, BENZOYL PEROXIDE","benzoyl peroxide, benzoyl peroxide","benzoyl peroxide 2.5 % and benzoyl peroxide 5 %","benzoyl peroxide 2.5 % and benzoyl peroxide 5 %"
93921,FALSE,4,"755, 1970, 12048, 2280","avobenzone and homosalate and octisalate and octocrylene","3 %, 8 %, 4.5 %, 6 %","AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","avobenzone, homosalate, octisalate, octocrylene","avobenzone 3 % and homosalate 8 % and octisalate 4.5 % and octocrylene 6 %","avobenzone 3 % and homosalate 8 % and octisalate 4.5 % and octocrylene 6 %"
93924,TRUE,1,"11336","venlafaxine","37.5 MG","VENLAFAXINE HYDROCHLORIDE","venlafaxine (venlafaxine hydrochloride)","venlafaxine (venlafaxine hydrochloride) 37.5 mg","venlafaxine (venlafaxine hydrochloride) 37.5 mg"
93925,TRUE,1,"11336","venlafaxine","75 MG","VENLAFAXINE HYDROCHLORIDE","venlafaxine (venlafaxine hydrochloride)","venlafaxine (venlafaxine hydrochloride) 75 mg","venlafaxine (venlafaxine hydrochloride) 75 mg"
93926,TRUE,1,"11336","venlafaxine","150 MG","VENLAFAXINE HYDROCHLORIDE","venlafaxine (venlafaxine hydrochloride)","venlafaxine (venlafaxine hydrochloride) 150 mg","venlafaxine (venlafaxine hydrochloride) 150 mg"
93933,FALSE,1,"22702","brivaracetam","10 MG","BRIVARACETAM","brivaracetam","brivaracetam 10 mg","brivaracetam 10 mg"
93934,FALSE,1,"22702","brivaracetam","25 MG","BRIVARACETAM","brivaracetam","brivaracetam 25 mg","brivaracetam 25 mg"
93935,FALSE,1,"22702","brivaracetam","50 MG","BRIVARACETAM","brivaracetam","brivaracetam 50 mg","brivaracetam 50 mg"
93936,FALSE,1,"22702","brivaracetam","75 MG","BRIVARACETAM","brivaracetam","brivaracetam 75 mg","brivaracetam 75 mg"
93937,FALSE,1,"22702","brivaracetam","100 MG","BRIVARACETAM","brivaracetam","brivaracetam 100 mg","brivaracetam 100 mg"
93969,FALSE,1,"22703","palbociclib","75 MG","PALBOCICLIB","palbociclib","palbociclib 75 mg","palbociclib 75 mg"
93970,FALSE,1,"22703","palbociclib","100 MG","PALBOCICLIB","palbociclib","palbociclib 100 mg","palbociclib 100 mg"
93971,FALSE,1,"22703","palbociclib","125 MG","PALBOCICLIB","palbociclib","palbociclib 125 mg","palbociclib 125 mg"
93973,FALSE,1,"698","polyethylene glycol 3350","1 G per G","POLYETHYLENE GLYCOL 3350","polyethylene glycol 3350","polyethylene glycol 3350 1 g per g","polyethylene glycol 3350 1 g per g"
93977,FALSE,5,"755, 1970, 12049, 12048, 2280","avobenzone and homosalate and octinoxate and octisalate and octocrylene","3 %, 10 %, 5 %, 5 %, 10 %","AVOBENZONE, HOMOSALATE, OCTINOXATE, OCTISALATE, OCTOCRYLENE","avobenzone, homosalate, octinoxate, octisalate, octocrylene","avobenzone 3 % and homosalate 10 % and octinoxate 5 % and octisalate 5 % and octocrylene 10 %","avobenzone 3 % and homosalate 10 % and octinoxate 5 % and octisalate 5 % and octocrylene 10 %"
93978,TRUE,1,"2474","naloxone","0.4 MG per ML","NALOXONE HYDROCHLORIDE","naloxone hydrochloride","naloxone hydrochloride 0.4 mg per mL","naloxone hydrochloride 0.4 mg per mL"
93980,FALSE,3,"755, 12048, 2280","avobenzone and octisalate and octocrylene","2 %, 4.5 %, 7 %","AVOBENZONE, OCTISALATE, OCTOCRYLENE","avobenzone, octisalate, octocrylene","avobenzone 2 % and octisalate 4.5 % and octocrylene 7 %","avobenzone 2 % and octisalate 4.5 % and octocrylene 7 %"
93981,FALSE,4,"755, 12048, 2280, 33","avobenzone and octisalate and octocrylene and oxybenzone","3 %, 4.5 %, 7 %, 4 %","AVOBENZONE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","avobenzone, octisalate, octocrylene, oxybenzone","avobenzone 3 % and octisalate 4.5 % and octocrylene 7 % and oxybenzone 4 %","avobenzone 3 % and octisalate 4.5 % and octocrylene 7 % and oxybenzone 4 %"
93982,FALSE,4,"755, 12048, 2280, 33","avobenzone and octisalate and octocrylene and oxybenzone","3 %, 4.5 %, 9 %, 6 %","AVOBENZONE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","avobenzone, octisalate, octocrylene, oxybenzone","avobenzone 3 % and octisalate 4.5 % and octocrylene 9 % and oxybenzone 6 %","avobenzone 3 % and octisalate 4.5 % and octocrylene 9 % and oxybenzone 6 %"
93983,FALSE,1,"22705","glycerol phenylbutyrate","1.1 G per ML","GLYCEROL PHENYLBUTYRATE","glycerol phenylbutyrate","glycerol phenylbutyrate 1.1 g per mL","glycerol phenylbutyrate 1.1 g per mL"
93984,FALSE,1,"949","bezafibrate","400 MG","BEZAFIBRATE","bezafibrate","bezafibrate 400 mg","bezafibrate 400 mg"
93991,TRUE,1,"7942","cetirizine","20 MG","CETIRIZINE HYDROCHLORIDE","cetirizine hydrochloride","cetirizine hydrochloride 20 mg","cetirizine hydrochloride 20 mg"
94000,TRUE,1,"20396","olmesartan","20 MG","OLMESARTAN MEDOXOMIL","olmesartan medoxomil","olmesartan medoxomil 20 mg","olmesartan medoxomil 20 mg"
94001,TRUE,1,"20396","olmesartan","40 MG","OLMESARTAN MEDOXOMIL","olmesartan medoxomil","olmesartan medoxomil 40 mg","olmesartan medoxomil 40 mg"
94007,FALSE,1,"2251","loperamide hydrochloride","2 MG","LOPERAMIDE HYDROCHLORIDE","loperamide hydrochloride","loperamide hydrochloride 2 mg","loperamide hydrochloride 2 mg"
94010,FALSE,3,"755, 12048, 2280","avobenzone and octisalate and octocrylene","3 %, 5 %, 7.5 %","AVOBENZONE, OCTISALATE, OCTOCRYLENE","avobenzone, octisalate, octocrylene","avobenzone 3 % and octisalate 5 % and octocrylene 7.5 %","avobenzone 3 % and octisalate 5 % and octocrylene 7.5 %"
94012,TRUE,1,"11907","telmisartan","40 MG","TELMISARTAN","telmisartan","telmisartan 40 mg","telmisartan 40 mg"
94013,TRUE,1,"11907","telmisartan","80 MG","TELMISARTAN","telmisartan","telmisartan 80 mg","telmisartan 80 mg"
94014,FALSE,2,"704, 701","vitamin A (retinyl palmitate) and vitamin E (dl-alpha tocopheryl acetate)","100000 UNIT, 20 UNIT","RETINYL PALMITATE, DL-ALPHA TOCOPHERYL ACETATE","vitamin A (retinyl palmitate), vitamin E (dl-alpha tocopheryl acetate)","vitamin a (retinyl palmitate) 100000 unit and vitamin e (dl-alpha tocopheryl acetate) 20 unit","vitamin a (retinyl palmitate) 100000 unit and vitamin e (dl-alpha tocopheryl acetate) 20 unit"
94015,FALSE,2,"704, 701","vitamin A (retinyl palmitate) and vitamin E (dl-alpha tocopheryl acetate)","200000 UNIT, 40 UNIT","RETINYL PALMITATE, DL-ALPHA TOCOPHERYL ACETATE","vitamin A (retinyl palmitate), vitamin E (dl-alpha tocopheryl acetate)","vitamin a (retinyl palmitate) 200000 unit and vitamin e (dl-alpha tocopheryl acetate) 40 unit","vitamin a (retinyl palmitate) 200000 unit and vitamin e (dl-alpha tocopheryl acetate) 40 unit"
94016,TRUE,2,"10234, 20396","hydrochlorothiazide and olmesartan","12.5 MG, 20 MG","HYDROCHLOROTHIAZIDE, OLMESARTAN MEDOXOMIL","hydrochlorothiazide, olmesartan medoxomil","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg"
94017,TRUE,2,"10234, 20396","hydrochlorothiazide and olmesartan","12.5 MG, 40 MG","HYDROCHLOROTHIAZIDE, OLMESARTAN MEDOXOMIL","hydrochlorothiazide, olmesartan medoxomil","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg"
94018,TRUE,2,"10234, 20396","hydrochlorothiazide and olmesartan","25 MG, 40 MG","HYDROCHLOROTHIAZIDE, OLMESARTAN MEDOXOMIL","hydrochlorothiazide, olmesartan medoxomil","hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg","hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg"
94019,TRUE,1,"20171","duloxetine","30 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 30 mg","duloxetine (duloxetine hydrochloride) 30 mg"
94020,TRUE,1,"20171","duloxetine","60 MG","DULOXETINE HYDROCHLORIDE","duloxetine (duloxetine hydrochloride)","duloxetine (duloxetine hydrochloride) 60 mg","duloxetine (duloxetine hydrochloride) 60 mg"
94023,FALSE,2,"755, 12048","avobenzone and octisalate","3 %, 5 %","AVOBENZONE, OCTISALATE","avobenzone, octisalate","avobenzone 3 % and octisalate 5 %","avobenzone 3 % and octisalate 5 %"
94024,FALSE,2,"12049, 727","octinoxate and titanium dioxide","4.9 %, 15 %","OCTINOXATE, TITANIUM DIOXIDE","octinoxate, titanium dioxide","octinoxate 4.9 % and titanium dioxide 15 %","octinoxate 4.9 % and titanium dioxide 15 %"
94025,TRUE,3,"270, 9358, 9131","acetaminophen and caffeine and codeine","300 MG, 15 MG, 8 MG","ACETAMINOPHEN, CAFFEINE, CODEINE PHOSPHATE","acetaminophen, caffeine, codeine phosphate","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg"
94026,FALSE,1,"182","diphenhydramine hydrochloride","25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","diphenhydramine hydrochloride","diphenhydramine hydrochloride 25 mg","diphenhydramine hydrochloride 25 mg"
94028,FALSE,1,"12049","octinoxate","3.4 %","OCTINOXATE","octinoxate","octinoxate 3.4 %","octinoxate 3.4 %"
94029,FALSE,1,"22706","alirocumab","75 MG per ML","ALIROCUMAB","alirocumab","alirocumab 75 mg per mL","alirocumab 75 mg per mL"
94030,FALSE,1,"22706","alirocumab","150 MG per ML","ALIROCUMAB","alirocumab","alirocumab 150 mg per mL","alirocumab 150 mg per mL"
94035,FALSE,1,"22706","alirocumab","75 MG per ML","ALIROCUMAB","alirocumab","alirocumab 75 mg per mL","alirocumab 75 mg per mL"
94037,FALSE,1,"22706","alirocumab","150 MG per ML","ALIROCUMAB","alirocumab","alirocumab 150 mg per mL","alirocumab 150 mg per mL"
94041,FALSE,3,"12049, 12048, 727","octinoxate and octisalate and titanium dioxide","7 %, 4.5 %, 4.2 %","OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE","octinoxate, octisalate, titanium dioxide","octinoxate 7 % and octisalate 4.5 % and titanium dioxide 4.2 %","octinoxate 7 % and octisalate 4.5 % and titanium dioxide 4.2 %"
94049,FALSE,1,"662","pyrithione zinc","1 %","PYRITHIONE ZINC","pyrithione zinc","pyrithione zinc 1 %","pyrithione zinc 1 %"
94052,FALSE,1,"662","pyrithione zinc","1 %","PYRITHIONE ZINC","pyrithione zinc","pyrithione zinc 1 %","pyrithione zinc 1 %"
94054,TRUE,1,"11366","atorvastatin","10 MG","ATORVASTATIN CALCIUM","atorvastatin (atorvastatin calcium)","atorvastatin (atorvastatin calcium) 10 mg","atorvastatin (atorvastatin calcium) 10 mg"
94055,TRUE,1,"11366","atorvastatin","20 MG","ATORVASTATIN CALCIUM","atorvastatin (atorvastatin calcium)","atorvastatin (atorvastatin calcium) 20 mg","atorvastatin (atorvastatin calcium) 20 mg"
94066,FALSE,1,"22707","bilastine","20 MG","Bilastine","bilastine","bilastine 20 mg","bilastine 20 mg"
94075,FALSE,5,"755, 1970, 12048, 2280, 33","avobenzone and homosalate and octisalate and octocrylene and oxybenzone","3 %, 10.72 %, 3.21 %, 6 %, 3.86 %","AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","avobenzone, homosalate, octisalate, octocrylene, oxybenzone","avobenzone 3 % and homosalate 10.72 % and octisalate 3.21 % and octocrylene 6 % and oxybenzone 3.86 %","avobenzone 3 % and homosalate 10.72 % and octisalate 3.21 % and octocrylene 6 % and oxybenzone 3.86 %"
94078,FALSE,5,"755, 1970, 12049, 12048, 2280","avobenzone and homosalate and octinoxate and octisalate and octocrylene","3 %, 8 %, 7.5 %, 4.5 %, 5 %","AVOBENZONE, HOMOSALATE, OCTINOXATE, OCTISALATE, OCTOCRYLENE","avobenzone, homosalate, octinoxate, octisalate, octocrylene","avobenzone 3 % and homosalate 8 % and octinoxate 7.5 % and octisalate 4.5 % and octocrylene 5 %","avobenzone 3 % and homosalate 8 % and octinoxate 7.5 % and octisalate 4.5 % and octocrylene 5 %"
94079,FALSE,4,"755, 1970, 12048, 2280","avobenzone and homosalate and octisalate and octocrylene","3 %, 5 %, 5 %, 7 %","AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","avobenzone, homosalate, octisalate, octocrylene","avobenzone 3 % and homosalate 5 % and octisalate 5 % and octocrylene 7 %","avobenzone 3 % and homosalate 5 % and octisalate 5 % and octocrylene 7 %"
94080,FALSE,3,"755, 2280, 33","avobenzone and octocrylene and oxybenzone","2 %, 3 %, 2 %","AVOBENZONE, OCTOCRYLENE, OXYBENZONE","avobenzone, octocrylene, oxybenzone","avobenzone 2 % and octocrylene 3 % and oxybenzone 2 %","avobenzone 2 % and octocrylene 3 % and oxybenzone 2 %"
94081,TRUE,1,"13585","escitalopram","10 MG","ESCITALOPRAM","escitalopram","escitalopram 10 mg","escitalopram 10 mg"
94082,TRUE,1,"13585","escitalopram","20 MG","ESCITALOPRAM","escitalopram","escitalopram 20 mg","escitalopram 20 mg"
94091,FALSE,1,"22710","idarucizumab","50 MG per ML","IDARUCIZUMAB","idarucizumab","idarucizumab 50 mg per mL","idarucizumab 50 mg per mL"
