Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
ASCORBIC ACID!ROSA CANINA, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!ZINC, 33 ,0.00%,100.00%,,,,
ASENAPINE," 62,217 ",0.01%,98.49%,,,,
ASPARAGINASE, -   ,0.00%,100.00%,,,,
ATAZANAVIR," 40,862 ",0.01%,98.99%,,,,
ATENOLOL," 3,320,096 ",0.52%,50.27%,IN,,,
ATENOLOL!CHLORTHALIDONE," 88,765 ",0.01%,97.85%,,,,
ATOMOXETINE," 360,117 ",0.06%,91.45%,IN,,,
ATORVASTATIN," 17,592,283 ",2.75%,5.78%,IN,,,
ATOVAQUONE," 5,124 ",0.00%,99.88%,,,,
ATOVAQUONE!PROGUANIL," 127,218 ",0.02%,96.69%,,,,
ATROPINE," 74,507 ",0.01%,98.17%,,,,
ATROPINE!DIPHENOXYLATE," 81,459 ",0.01%,97.94%,,,,
ATROPINE!HYOSCYAMINE!KAOLIN!NEOMYCIN!PECTIN, 2 ,0.00%,100.00%,,,,
ATROPINE!HYOSCYAMINE!PHENOBARBITAL!SCOPOLAMINE, -   ,0.00%,100.00%,,,,
ATTAPULGITE," 1,806 ",0.00%,99.96%,,,,
AURANOFIN, 475 ,0.00%,99.99%,,,,
AVOBENZONE, 13 ,0.00%,100.00%,,,,
AVOBENZONE!GLYCOLIC ACID!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE, 139 ,0.00%,100.00%,,,,
AVOBENZONE!HYDROQUINONE!OCTOCRILENE!OXYBENZONE, 1 ,0.00%,100.00%,,,,
AVOBENZONE!HYDROQUINONE!OCTYLMETHOXYCINNAMIC ACID," 2,309 ",0.00%,99.95%,,,,
AVOBENZONE!OCTOCRILENE, 422 ,0.00%,99.99%,,,,
AVOBENZONE!OCTOCRILENE!TITANIUM, 116 ,0.00%,100.00%,,,,
AVOBENZONE!OCTYLMETHOXYCINNAMIC ACID, 9 ,0.00%,100.00%,,,,
AVOBENZONE!OCTYLMETHOXYCINNAMIC ACID!OXYBENZONE, 131 ,0.00%,100.00%,,,,
AVOBENZONE!TITANIUM, 3 ,0.00%,100.00%,,,,
AXITINIB," 1,367 ",0.00%,99.97%,,,,
AZACITIDINE, -   ,0.00%,100.00%,,,,
AZATADINE, -   ,0.00%,100.00%,,,,
AZATADINE!PSEUDOEPHEDRINE, -   ,0.00%,100.00%,,,,
AZATHIOPRINE," 349,529 ",0.05%,91.78%,IN,,,
AZELAIC ACID," 19,248 ",0.00%,99.56%,,,,
AZELASTINE!FLUTICASONE," 1,897 ",0.00%,99.96%,,,,
AZILSARTAN MEDOXOMIL," 2,265 ",0.00%,99.95%,,,,
AZILSARTAN MEDOXOMIL!CHLORTHALIDONE, 10 ,0.00%,100.00%,,,,
AZITHROMYCIN," 2,123,631 ",0.33%,64.50%,IN,,,
AZTREONAM," 1,340 ",0.00%,99.97%,,,,
B>-ALANINE!BIOTIN!CYSTEINE!PANICUM MILIACEUM, 34 ,0.00%,100.00%,,,,
BABY SOAPS, -   ,0.00%,100.00%,,,,
BACILLUS CALMETTE-GUERIN, 28 ,0.00%,100.00%,,,,
BACITRACIN," 19,025 ",0.00%,99.57%,,,,
BACITRACIN!CYSTEINE!GLYCINE!NEOMYCIN!THREONINE, 1 ,0.00%,100.00%,,,,
BACITRACIN!GRAMICIDIN!LIDOCAINE!POLYMYXIN B, 885 ,0.00%,99.98%,,,,
BACITRACIN!GRAMICIDIN!POLYMYXIN B," 3,745 ",0.00%,99.92%,,,,
BACITRACIN!HYDROCORTISONE!NEOMYCIN!POLYMYXIN B, 43 ,0.00%,100.00%,,,,
BACITRACIN!LIDOCAINE!POLYMYXIN B," 52,128 ",0.01%,98.74%,,,,
BACITRACIN!NEOMYCIN!POLYMYXIN B, 139 ,0.00%,100.00%,,,,
BACITRACIN!POLYMYXIN B," 25,873 ",0.00%,99.43%,,,,
BACLOFEN," 1,005,462 ",0.16%,80.35%,IN,,,
BANDAGE- NON MEDICATED, -   ,0.00%,100.00%,,,,
BECAPLERMIN, -   ,0.00%,100.00%,,,,
BECLOMETHASONE," 311,703 ",0.05%,92.60%,NEXT,,,
BEE VENOM, 25 ,0.00%,100.00%,,,,
BELIMUMAB," 3,027 ",0.00%,99.93%,,,,
BELLADONA!CAFFEINE!ERGOTAMINE!PENTOBARBITAL, -   ,0.00%,100.00%,,,,
BELLADONA!ERGOTAMINE!PHENOBARBITAL," 6,509 ",0.00%,99.85%,,,,
BELLADONA!OPIUM," 4,117 ",0.00%,99.91%,,,,
BELLADONA!PHENOBARBITAL, -   ,0.00%,100.00%,,,,
BENAZEPRIL," 31,123 ",0.00%,99.30%,IN,,,
BENDAMUSTINE, 61 ,0.00%,100.00%,,,,
BENDROFLUMETHIAZIDE, -   ,0.00%,100.00%,,,,
BENSERAZIDE!LEVODOPA," 61,721 ",0.01%,98.52%,,,,
BENZALKONIUM, 271 ,0.00%,99.99%,,,,
BENZALKONIUM!BENZOCAINE!ZINC, 487 ,0.00%,99.99%,,,,
BENZALKONIUM!DEXAMETHASONE!TOBRAMYCIN," 353,077 ",0.06%,91.62%,NEXT,,,
BENZALKONIUM!EDETIC ACID," 1,266 ",0.00%,99.97%,,,,
BENZALKONIUM!LIDOCAINE, 12 ,0.00%,100.00%,,,,
BENZALKONIUM!NAPHAZOLINE, 294 ,0.00%,99.99%,,,,
BENZALKONIUM!PRAMOXINE, 7 ,0.00%,100.00%,,,,
BENZALKONIUM!SODIUM," 13,413 ",0.00%,99.71%,,,,
BENZETHONIUM, 238 ,0.00%,100.00%,,,,
BENZETHONIUM!BENZOCAINE, 8 ,0.00%,100.00%,,,,
BENZETHONIUM!MENTHOL!THYMOL, -   ,0.00%,100.00%,,,,
BENZOCAINE," 1,487 ",0.00%,99.97%,,,,
BENZOCAINE!CAMPHOR!MENTHOL!PHENOL, 192 ,0.00%,100.00%,,,,
BENZOCAINE!CAMPHOR!MENTHONE!PHENOL, 4 ,0.00%,100.00%,,,,
BENZOCAINE!CETYLPYRIDINIUM, 31 ,0.00%,100.00%,,,,
BENZOCAINE!CETYLPYRIDINIUM!MENTHOL," 1,022 ",0.00%,99.98%,,,,
BENZOCAINE!HYDROCORTISONE!ZINC, 1 ,0.00%,100.00%,,,,
BENZOCAINE!MAGNESIUM, 72 ,0.00%,100.00%,,,,
BENZOCAINE!MENTHOL, 131 ,0.00%,100.00%,,,,
BENZOCAINE!RESORCINOL, 645 ,0.00%,99.99%,,,,
BENZOCAINE!TRICLOSAN, 31 ,0.00%,100.00%,,,,
BENZOCAINE!ZINC, 150 ,0.00%,100.00%,,,,
BENZOIN, 71 ,0.00%,100.00%,,,,
BENZOIN!CAMPHOR!MENTHOL, -   ,0.00%,100.00%,,,,
BENZOPHENONE!GLYCOLIC ACID!OCTYLMETHOXYCINNAMIC ACID, 1 ,0.00%,100.00%,,,,
BENZOPHENONE!OCTYL SALICYLATE!OCTYLMETHOXYCINNAMIC ACID, 10 ,0.00%,100.00%,,,,
BENZOYL PEROXIDE," 41,383 ",0.01%,98.99%,,,,
BENZOYL PEROXIDE!CLINDAMYCIN," 480,149 ",0.08%,89.25%,QA ISSUES,Fixed,,"not published, waiting for clindamycin to be sorted out"
BENZOYL PEROXIDE!ERYTHROMYCIN," 17,662 ",0.00%,99.61%,,,,
BENZTROPINE," 620,625 ",0.10%,86.69%,IN,,,
BENZYDAMINE," 278,317 ",0.04%,93.34%,NEXT,,,
BENZYL ALCOHOL, 143 ,0.00%,100.00%,,,,
BENZYL ALCOHOL!DL-LACTIC ACID!GLYCEROL!ISOPROPYL PALMITATE!SORBITOL, 1 ,0.00%,100.00%,,,,
BESIFLOXACIN," 11,342 ",0.00%,99.75%,,,,
BETACAROTENE, 4 ,0.00%,100.00%,,,,
BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IRON  METAL!L-METHIONINE!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN E, 32 ,0.00%,100.00%,,,,
BETACAROTENE!CARROT!EUPHRASIA OFFICINALIS!FISH!FLAVONE!MYRTILLUS!QUERCETIN, 16 ,0.00%,100.00%,,,,
BETACAROTENE!IRON  METAL!ZINC, -   ,0.00%,100.00%,,,,
BETAHISTINE," 692,683 ",0.11%,85.25%,IN,,,
BETAINE, 578 ,0.00%,99.99%,,,,
BETAMETHASONE," 1,822,299 ",0.29%,68.15%,IN,,,
BETAMETHASONE!CALCIPOTRIENE," 227,046 ",0.04%,94.69%,NEXT,,,
BETAMETHASONE!CLOTRIMAZOLE," 230,476 ",0.04%,94.58%,NEXT,,,
BETAMETHASONE!DEXAMETHASONE, -   ,0.00%,100.00%,,,,
BETAMETHASONE!GENTAMICIN," 12,249 ",0.00%,99.74%,,,,
BETAMETHASONE!SALICYLIC ACID," 114,596 ",0.02%,96.97%,,,,
BETAXOLOL," 42,508 ",0.01%,98.97%,,,,
BETHANECHOL," 61,779 ",0.01%,98.52%,,,,
BETONICA OFFICINALIS!BROMELAINS!CRANBERRY!PAPAIN!PASSION FLOWER!QUERCETIN!VALERIAN, 162 ,0.00%,100.00%,,,,
BEVACIZUMAB," 14,231 ",0.00%,99.69%,,,,
BEZAFIBRATE," 74,928 ",0.01%,98.15%,,,,
BICALUTAMIDE," 112,655 ",0.02%,97.04%,,,,
BIFIDOBACTERIUM ANIMALIS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM ANIMALIS!LACTOBACILLUS ACIDOPHILUS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS BIFIDUS!LACTOBACILLUS BULGARIS!LACTOBACILLUS CASEI!LACTOBACILLUS RHAMNOSUS!STREPTOCOCCUS THERMOPHILUS," 9,658 ",0.00%,99.80%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS BIFIDUS!LACTOBACILLUS RHAMNOSUS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS CASEI!LACTOBACILLUS PLANTARUM!LACTOBACILLUS RHAMNOSUS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS CASEI!LACTOBACILLUS RHAMNOSUS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS PLANTARUM!LACTOBACILLUS REUTERI!LACTOBACILLUS RHAMNOSUS!LACTOBACILLUS SALIVARIUS, 9 ,0.00%,100.00%,,,,
BIFIDOBACTERIUM BREVE!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS ACIDOPHILUS!LACTOBACILLUS PLANTARUM!LACTOBACILLUS RHAMNOSUS!LACTOBACILLUS SALIVARIUS, 64 ,0.00%,100.00%,,,,
BIFIDOBACTERIUM INFANTIS!BIFIDOBACTERIUM LONGUM!LACTOBACILLUS BIFIDUS!LACTOBACILLUS CASEI!LACTOBACILLUS PLANTARUM!LACTOBACILLUS RHAMNOSUS, -   ,0.00%,100.00%,,,,
BIFIDOBACTERIUM LONGUM!CRANBERRY, -   ,0.00%,100.00%,,,,
BIMATOPROST," 617,749 ",0.10%,86.88%,IN,,,
BIOTIN," 3,662 ",0.00%,99.92%,,,,
BIOTIN!CALCIUM!CHOLECALCIFEROL!CYANOCOBALAMIN!IODINE!METHYLFOLATE!PANTOTHENIC ACID!PHYTONADIONE!PYRIDOXINE!VITAMIN A!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
BIOTIN!CALCIUM!CHROMIUM!FOLIC ACID!MAGNESIUM!MANGANESE!PANTOTHENIC ACID!PHOSPHORUS!RIBOFLAVIN!THIAMINE, 14 ,0.00%,100.00%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NIACINAMIDE!P-AMINOBENZOIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 29,701 ",0.00%,99.32%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXAL 5-PHOSPHATE!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 9 ,0.00%,100.00%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 5,165 ",0.00%,99.88%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXAL!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 40 ,0.00%,100.00%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 659 ,0.00%,99.99%,,,,
BIOTIN!CHOLINE!CYANOCOBALAMIN!INOSITOL!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 10,389 ",0.00%,99.77%,,,,
BIOTIN!CYANOCOBALAMIN!FOLIC ACID!HYDROXINDASATE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE," 5,655 ",0.00%,99.87%,,,,
BIOTIN!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!P-AMINOBENZOIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, -   ,0.00%,100.00%,,,,
BIOTIN!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE, 114 ,0.00%,100.00%,,,,
BISACODYL," 428,661 ",0.07%,90.16%,IN,,,
BISACODYL!DOCUSATE, -   ,0.00%,100.00%,,,,
BISACODYL!MAGNESIUM, 8 ,0.00%,100.00%,,,,
BISACODYL!POLYETHYLENE GLYCOL P.ISOOCTYLPH!POTASSIUM!SODIUM," 38,244 ",0.01%,99.07%,,,,
BISMUTH," 5,800 ",0.00%,99.86%,,,,
BISMUTH!CALCIUM," 4,211 ",0.00%,99.90%,,,,
BISMUTH!GUAIFENESIN, 1 ,0.00%,100.00%,,,,
BISOPROLOL," 6,787,807 ",1.06%,31.85%,IN,,,
BLEOMYCIN, 376 ,0.00%,99.99%,,,,
BOCEPREVIR, 216 ,0.00%,100.00%,,,,
BOCEPREVIR!PEGINTERFERON ALFA 2B!RIBAVIRIN, 178 ,0.00%,100.00%,,,,
BORIC ACID, 746 ,0.00%,99.98%,,,,
BORTEZOMIB, 414 ,0.00%,99.99%,,,,
BOSENTAN," 7,528 ",0.00%,99.83%,IN,,,
BOSUTINIB, 157 ,0.00%,100.00%,,,,
BOSWELLIA SERRATIA!DIPALMITOYLPHOSPHATIDYLCHOLINE!GINGER, 3 ,0.00%,100.00%,,,,
BOTULINUM A TOXIN," 147,967 ",0.02%,96.34%,,,,
BRAN," 1,782 ",0.00%,99.96%,,,,
BRENTUXIMAB VEDOTIN, 5 ,0.00%,100.00%,,,,
BRETYLIUM, 2 ,0.00%,100.00%,,,,
BRIMONIDINE," 316,674 ",0.05%,92.45%,NEXT,,,
BRIMONIDINE!BRINZOLAMIDE," 10,361 ",0.00%,99.78%,,,,
BRIMONIDINE!TIMOLOL," 242,931 ",0.04%,94.28%,NEXT,,,
BRINZOLAMIDE," 250,417 ",0.04%,94.13%,NEXT,,,
BRINZOLAMIDE!TIMOLOL," 236,823 ",0.04%,94.36%,NEXT,,,
BROMAZEPAM," 496,969 ",0.08%,89.02%,IN,,,
BROMELAINS!CALCIUM!PAPAIN!POLLEN!QUERCETIN, 192 ,0.00%,100.00%,,,,
BROMELAINS!TURMERIC, 40 ,0.00%,100.00%,,,,
BROMFENAC, 446 ,0.00%,99.99%,,,,
BROMOCRIPTINE," 45,779 ",0.01%,98.92%,,,,
BROMPHENIRAMINE, -   ,0.00%,100.00%,,,,
BROMPHENIRAMINE!CODEINE!GUAIFENESIN!PHENYLEPHRINE," 4,663 ",0.00%,99.89%,,,,
BROMPHENIRAMINE!CODEINE!PHENYLEPHRINE," 52,305 ",0.01%,98.73%,,,,
BROMPHENIRAMINE!DEXTROMETHORPHAN, -   ,0.00%,100.00%,,,,
BROMPHENIRAMINE!DEXTROMETHORPHAN!PHENYLEPHRINE, 593 ,0.00%,99.99%,,,,
BROMPHENIRAMINE!GUAIFENESIN!HYDROCODONE!PHENYLEPHRINE," 8,554 ",0.00%,99.81%,,,,
BROMPHENIRAMINE!PHENYLEPHRINE, 709 ,0.00%,99.98%,,,,
BROMPHENIRAMINE!PHENYLEPHRINE!PHENYLPROPANOLAMINE, -   ,0.00%,100.00%,,,,
BUDESONIDE," 727,922 ",0.11%,84.81%,IN,Rev Bur,low,
BUDESONIDE!FORMOTEROL," 1,853,675 ",0.29%,67.57%,IN,,,
BUFEXAMAC, -   ,0.00%,100.00%,,,,
BUMETANIDE," 3,113 ",0.00%,99.93%,IN,,,
BUPIVACAINE," 10,710 ",0.00%,99.76%,,,,
BUPIVACAINE!EPINEPHRINE, 317 ,0.00%,99.99%,,,,
BUPRENORPHINE," 117,081 ",0.02%,96.92%,,,,
BUPRENORPHINE!NALOXONE," 1,750,342 ",0.27%,69.54%,IN,,,
BUPROPION," 3,234,454 ",0.51%,51.29%,IN,,,
BUSERELIN," 10,809 ",0.00%,99.76%,,,,
BUSPIRONE," 184,353 ",0.03%,95.29%,,,,
BUSULFAN, 482 ,0.00%,99.99%,,,,
BUTABARBITAL, 29 ,0.00%,100.00%,,,,
BUTABARBITAL!BUTALBITAL!DIHYDROERGOTAMINE!PHENOBARBITAL!SCOPOLAMINE, -   ,0.00%,100.00%,,,,
BUTOCONAZOLE, -   ,0.00%,100.00%,,,,
BUTORPHANOL," 12,237 ",0.00%,99.74%,,,,
CABAZITAXEL, 260 ,0.00%,99.99%,,,,
CABERGOLINE," 48,812 ",0.01%,98.81%,,,,
CAFFEINE," 4,229 ",0.00%,99.90%,,,,
CAFFEINE!DIMENHYDRINATE!ERGOTAMINE, -   ,0.00%,100.00%,,,,
CAFFEINE!DIPHENHYDRAMINE!ERGOTAMINE, -   ,0.00%,100.00%,,,,
CAFFEINE!ERGOTAMINE, 128 ,0.00%,100.00%,,,,
CAFFEINE!GLUCOSE, -   ,0.00%,100.00%,,,,
CALAMINE!DIPHENHYDRAMINE, 94 ,0.00%,100.00%,,,,
CALAMINE!PRAMOXINE," 5,139 ",0.00%,99.88%,,,,
CALAMINE!ZINC," 3,714 ",0.00%,99.92%,,,,
CALCIPOTRIENE," 93,680 ",0.01%,97.79%,,,,
CALCITONIN (SALMON)," 1,011 ",0.00%,99.98%,,,,
CALCITRIOL," 367,215 ",0.06%,91.17%,IN,,,
CALCIUM," 5,118,047 ",0.80%,38.03%,IN,,,
CALCIUM!CHOLECALCIFEROL," 1,178,311 ",0.18%,77.48%,IN,,,
CALCIUM!CHOLECALCIFEROL!COPPER!MAGNESIUM!MANGANESE!ZINC," 1,895 ",0.00%,99.96%,,,,
CALCIUM!CHOLECALCIFEROL!MAGNESIUM," 19,251 ",0.00%,99.56%,,,,
CALCIUM!CHROMIUM!COPPER!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!POTASSIUM!SELENIUM!VANADIUM!ZINC, -   ,0.00%,100.00%,,,,
CALCIUM!CIMICIFUGA!PUERARIA!ZIZYPHUS, -   ,0.00%,100.00%,,,,
CALCIUM!COPPER!ERGOCALCIFEROL!MAGNESIUM!MANGANESE!ZINC," 7,220 ",0.00%,99.83%,,,,
CALCIUM!COPPER!MAGNESIUM!MANGANESE!VITAMIN K2!ZINC, 832 ,0.00%,99.98%,,,,
CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!MAGNESIUM!PYRIDOXAL 5-PHOSPHATE!SILICON DIOXIDE!VANADIUM, 1 ,0.00%,100.00%,,,,
CALCIUM!DORNASE ALFA!SODIUM," 8,335 ",0.00%,99.81%,,,,
CALCIUM!ERGOCALCIFEROL," 3,134,766 ",0.49%,52.28%,IN,,,
CALCIUM!ERGOCALCIFEROL!IRON  METAL, 31 ,0.00%,100.00%,,,,
CALCIUM!ERGOCALCIFEROL!MAGNESIUM," 2,545 ",0.00%,99.94%,,,,
CALCIUM!ERGOCALCIFEROL!MAGNESIUM!PHOSPHORUS, -   ,0.00%,100.00%,,,,
CALCIUM!ERGOCALCIFEROL!MAGNESIUM!ZINC, 590 ,0.00%,99.99%,,,,
CALCIUM!ERGOCALCIFEROL!PHOSPHORUS," 1,205 ",0.00%,99.97%,,,,
CALCIUM!ERGOCALCIFEROL!VITAMIN A, -   ,0.00%,100.00%,,,,
CALCIUM!ETIDRONIC ACID," 177,722 ",0.03%,95.48%,,,,
CALCIUM!FAMOTIDINE!MAGNESIUM, 410 ,0.00%,99.99%,,,,
CALCIUM!FISH!MAGNESIUM!ZINC, 64 ,0.00%,100.00%,,,,
CALCIUM!GLYCEROL!MAGNESIUM!POTASSIUM!SODIUM!SORBITOL," 5,167 ",0.00%,99.88%,,,,
CALCIUM!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!POTASSIUM!SODIUM!ZINC, 54 ,0.00%,100.00%,,,,
CALCIUM!KOLA!MAGNESIUM!NIACINAMIDE!PHOSPHORUS!RIBOFLAVIN!SODIUM!THIAMINE, 509 ,0.00%,99.99%,,,,
CALCIUM!MAGNESIUM," 37,714 ",0.01%,99.08%,,,,
CALCIUM!MAGNESIUM!POTASSIUM!SODIUM, 383 ,0.00%,99.99%,,,,
CALCIUM!MAGNESIUM!SIMETHICONE," 2,352 ",0.00%,99.95%,,,,
CALCIUM!MAGNESIUM!ZINC," 1,751 ",0.00%,99.96%,,,,
CALCIUM!POLYCARBOPHIL," 3,426 ",0.00%,99.93%,,,,
CALCIUM!POTASSIUM, 17 ,0.00%,100.00%,,,,
CALCIUM!RISEDRONATE, -   ,0.00%,100.00%,,,,
CALCIUM!SIMETHICONE, 2 ,0.00%,100.00%,,,,
CALCIUM!VITAMIN K, 803 ,0.00%,99.98%,,,,
CAMPHOR," 1,066 ",0.00%,99.98%,,,,
CAMPHOR!CAPSICUM!HEMLOCK!MENTHOL!SALICYLIC ACID!THYMOL!TURPENTINE OIL, -   ,0.00%,100.00%,,,,
CAMPHOR!CHLORBUTOL!EPHEDRINE!EUCALYPTOL!MENTHOL, 1 ,0.00%,100.00%,,,,
CAMPHOR!DIPHENYLPYRALINE!GUAIACOL, 398 ,0.00%,99.99%,,,,
CAMPHOR!EUCALYPTOL!GUAIACOL," 1,152 ",0.00%,99.97%,,,,
CAMPHOR!EUCALYPTOL!MENTHOL, 5 ,0.00%,100.00%,,,,
CAMPHOR!EUCALYPTOL!MENTHOL!SALICYLIC ACID, 9 ,0.00%,100.00%,,,,
CAMPHOR!EUCALYPTOL!MENTHOL!THYMOL, 26 ,0.00%,100.00%,,,,
CAMPHOR!EUCALYPTUS!MENTHOL, 885 ,0.00%,99.98%,,,,
CAMPHOR!EUCALYPTUS!MENTHOL!SALICYLIC ACID," 3,692 ",0.00%,99.92%,,,,
CAMPHOR!HYDROCORTISONE!MENTHOL, 140 ,0.00%,100.00%,,,,
CAMPHOR!LIDOCAINE, 3 ,0.00%,100.00%,,,,
CAMPHOR!MENTHOL, 116 ,0.00%,100.00%,,,,
CAMPHOR!MENTHOL!PHENOL, 314 ,0.00%,99.99%,,,,
CAMPHOR!MENTHOL!PRAMOXINE, 22 ,0.00%,100.00%,,,,
CAMPHOR!MENTHOL!SALICYLIC ACID, 541 ,0.00%,99.99%,,,,
CAMPHOR!OXYBENZONE!PADIMATE O!SIMETHICONE, 99 ,0.00%,100.00%,,,,
CANAGLIFLOZIN," 544,446 ",0.09%,88.45%,NEXT,,,
CANAKINUMAB, 190 ,0.00%,100.00%,,,,
CANDESARTAN CILEXETIL," 2,409,787 ",0.38%,61.32%,IN,,,
CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE," 678,010 ",0.11%,85.78%,IN,,,
CANNABIDIOL!TETRAHYDROCANNIBINOL," 6,557 ",0.00%,99.85%,,,,
CANTHARIDIN, 964 ,0.00%,99.98%,,,,
CANTHARIDIN!PODOPHYLLIN!SALICYLIC ACID," 4,822 ",0.00%,99.89%,,,,
CAPECITABINE," 36,389 ",0.01%,99.11%,,,,
CAPRIC ACID!CHOLESTEROL!DIMETHICONE!LINOLEIC ACID," 2,144 ",0.00%,99.95%,,,,
CAPSAICIN," 15,269 ",0.00%,99.67%,,,,
CAPSAICIN!MENTHOL, 188 ,0.00%,100.00%,,,,
CAPSICUM," 6,839 ",0.00%,99.84%,,,,
CAPTOPRIL," 34,038 ",0.01%,99.19%,IN,,,
CARBACHOL, 6 ,0.00%,100.00%,,,,
CARBAMAZEPINE," 1,183,885 ",0.19%,77.29%,IN,,,
CARBETAPENTANE!EPHEDRINE!GUAIFENESIN, 1 ,0.00%,100.00%,,,,
CARBIDOPA!ENTACAPONE!LEVODOPA," 63,234 ",0.01%,98.45%,,,,
CARBIDOPA!LEVODOPA," 1,216,902 ",0.19%,76.55%,IN,,,
CARBINOXAMINE!CITRIC ACID!DEXTROMETHORPHAN!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
CARBOMER!CETYL ALCOHOL!DIMETHICONE!GLYCEROL!METHYLCELLULOSE, 55 ,0.00%,100.00%,,,,
CARBOMER!COCONUT!ETHYLENE GLYCOL!GLYCEROL!HYDROXYETHYLCELLULOSE!LECITHIN!XANTHAN GUM, 493 ,0.00%,99.99%,,,,
CARBOPLATIN, 1 ,0.00%,100.00%,,,,
CARBOPROST, 6 ,0.00%,100.00%,,,,
CARBOXYMETHYLCELLULOSE," 172,116 ",0.03%,95.62%,,,,
CARBOXYMETHYLCELLULOSE NITROESTE!GLYCEROL," 5,583 ",0.00%,99.87%,,,,
CARBOXYMETHYLCELLULOSE NITROESTE!GLYCEROL!POLYSORBATE 80," 32,908 ",0.01%,99.23%,,,,
CARBOXYMETHYLCELLULOSE!GLYCEROL, 2 ,0.00%,100.00%,,,,
CARBOXYMETHYLCELLULOSE!PROPYLENE GLYCOL, -   ,0.00%,100.00%,,,,
CARFILZOMIB, -   ,0.00%,100.00%,,,,
CARISOPRODOL, -   ,0.00%,100.00%,,,,
CARMUSTINE, 2 ,0.00%,100.00%,,,,
CARNITINE," 13,596 ",0.00%,99.70%,,,,
CARVEDILOL," 639,079 ",0.10%,86.40%,IN,,,
CASANTHRANOL!DOCUSATE, -   ,0.00%,100.00%,,,,
CASCARA, 52 ,0.00%,100.00%,,,,
CASCARA!MAGNESIUM, 182 ,0.00%,100.00%,,,,
CASCARA!PHENOLPHTHALEIN, 10 ,0.00%,100.00%,,,,
