"","basis_of_strength_ing","n_codes","ai_codes","top250"
"1521","TETRACYCLINE HYDROCHLORIDE",1,"8683",NA
"1522","SODIUM TETRADECYL SULFATE",1,"6212",NA
"1523","TETRAHYDROZOLINE HYDROCHLORIDE",1,"6057",NA
"1524","THALIDOMIDE",1,"6036",NA
"1525","AMINOPHYLLINE",1,"9963",NA
"1526","OXTRIPHYLLINE",1,"10278",NA
"1527","THEOPHYLLINE",1,"231",NA
"1528","THIAMINE HYDROCHLORIDE",1,"5040",NA
"1529","THIOGUANINE",1,"9449",NA
"1530","THIOPENTAL SODIUM",1,"8249",NA
"1531","THIOPROPERAZINE",1,"7999",NA
"1532","SODIUM THIOSULFATE",1,"8910",NA
"1533","THIOTHIXENE",1,"10039",NA
"1534","THREONINE",2,"10243, 2385",NA
"1535","THROMBIN ALFA",1,"20562",NA
"1536","THYMOL",1,"10230",NA
"1537","THYROTROPIN ALFA",1,"12790",NA
"1538","TIAPROFENIC ACID",1,"1921",NA
"1539","TICAGRELOR",1,"20742",NA
"1540","TICLOPIDINE HYDROCHLORIDE",1,"945",NA
"1541","TIGECYCLINE",1,"19932",NA
"1542","TIMOLOL MALEATE",1,"2292",NA
"1543","TIMOLOL",1,"11163","TIMOLOL"
"1544","TINZAPARIN SODIUM",1,"619",NA
"1545","TIOTROPIUM",1,"13057","TIOTROPIUM BROMIDE"
"1546","TIPRANAVIR",1,"12684",NA
"1547","TIROFIBAN",1,"11752",NA
"1548","TITANIUM DIOXIDE",1,"727",NA
"1549","TIZANIDINE",1,"11821",NA
"1550","TOBRAMYCIN",1,"8565",NA
"1551","TOCILIZUMAB",1,"20590",NA
"1552","TOFACITINIB",1,"22274",NA
"1553","TOLBUTAMIDE",1,"9563",NA
"1554","TOLNAFTATE",1,"9887",NA
"1555","TOLTERODINE TARTRATE",1,"20821","TOLTERODINE"
"1556","TOLVAPTAN",1,"20872",NA
"1557","TOPIRAMATE",1,"11384","TOPIRAMATE"
"1558","TOPOTECAN",1,"11431",NA
"1559","TRABECTEDIN",1,"20593",NA
"1560","TRAMADOL HYDROCHLORIDE",1,"13904",NA
"1561","TRANDOLAPRIL",1,"11443","TRANDOLAPRIL"
"1562","TRANEXAMIC ACID",1,"1988",NA
"1563","TRANYLCYPROMINE",1,"5882",NA
"1564","TRASTUZUMAB",1,"11905",NA
"1565","TRASTUZUMAB EMTANSINE",1,"22146",NA
"1566","TRAVOPROST",1,"12477","TRAVOPROST"
"1567","TRAZODONE HYDROCHLORIDE",1,"1939",NA
"1568","TREPROSTINIL",1,"12594",NA
"1569","TRETINOIN",1,"5054",NA
"1570","TRIAMCINOLONE DIACETATE",1,"7587","TRIAMCINOLONE ACETONIDE"
"1571","TRIAMCINOLONE ACETONIDE",1,"7588","TRIAMCINOLONE ACETONIDE"
"1572","TRIAMCINOLONE HEXACETONIDE",1,"7582","TRIAMCINOLONE ACETONIDE"
"1573","TRIAMTERENE",1,"10190",NA
"1574","TRIAZOLAM",1,"2117",NA
"1575","TRICLOSAN",1,"2813",NA
"1576","TRIFLUOPERAZINE",1,"7996",NA
"1577","TRIFLURIDINE",1,"1923",NA
"1578","TRIHEXYPHENIDYL HYDROCHLORIDE",1,"9845",NA
"1579","TRIMEBUTINE MALEATE",1,"1925",NA
"1580","TRIMEPRAZINE",1,"7961",NA
"1581","TRIMETHOPRIM",1,"8452",NA
"1582","TRIMIPRAMINE",1,"9906",NA
"1583","TRIPELENNAMINE HYDROCHLORIDE",1,"20364",NA
"1584","TRIPROLIDINE HYDROCHLORIDE",1,"6494",NA
"1585","TRIPTORELIN ACETATE",1,"21395",NA
"1586","TRIPTORELIN",1,"11874",NA
"1587","TROPICAMIDE",1,"5843",NA
"1588","TROSPIUM CHLORIDE",1,"17368",NA
"1589","TRYPAN BLUE",1,"18848",NA
"1590","TRYPTOPHAN",1,"10238",NA
"1591","TYROSINE",1,"9750",NA
"1592","ULIPRISTAL ACETATE",1,"22109",NA
"1593","UREA",1,"8755",NA
"1594","URSODIOL",1,"952",NA
"1595","USTEKINUMAB",1,"20422",NA
"1596","VALINE",1,"9928",NA
"1597","VALRUBICIN",1,"12002",NA
"1598","VANCOMYCIN",1,"8541",NA
"1599","VANCOMYCIN HYDROCHLORIDE",1,"8540",NA
"1600","VANDETANIB",1,"21141",NA
"1601","VARENICLINE",1,"20097","VARENICLINE"
"1602","VASOPRESSIN",1,"7387",NA
"1603","VECURONIUM BROMIDE",1,"1777",NA
"1604","VEDOLIZUMAB",1,"22569",NA
"1605","VELAGLUCERASE ALFA",1,"20635",NA
"1606","VELPATASVIR",1,"22733",NA
"1607","VEMURAFENIB",1,"21189",NA
"1608","VENETOCLAX",1,"22812",NA
"1609","VENLAFAXINE",1,"11336","VENLAFAXINE"
"1610","VERAPAMIL HYDROCHLORIDE",1,"10110",NA
"1611","VERTEPORFIN",1,"11996",NA
"1612","VIGABATRIN",1,"570",NA
"1613","VILANTEROL",1,"22120",NA
"1614","VINBLASTINE SULFATE",1,"9407",NA
"1615","VINCRISTINE SULFATE",1,"5895",NA
"1616","VINORELBINE",1,"11350",NA
"1617","VISMODEGIB",1,"22125",NA
"1618","VORICONAZOLE",1,"13348",NA
"1619","VORINOSTAT",1,"20475",NA
"1620","WARFARIN SODIUM",1,"9054","WARFARIN"
"1621","WATER",1,"8826",NA
"1622","XYLOMETAZOLINE HYDROCHLORIDE",1,"5869",NA
"1623","YOHIMBINE HYDROCHLORIDE",1,"20371",NA
"1624","ZAFIRLUKAST",1,"11685",NA
"1625","ZANAMIVIR",1,"11911",NA
"1626","ZIDOVUDINE",1,"1185",NA
"1627","ZINC ACETATE",1,"6353",NA
"1628","ZINC CHLORIDE",1,"6321",NA
"1629","ZINC",1,"331",NA
"1630","ZINC OXIDE",1,"7289",NA
"1631","ZINC SULFATE",1,"8746",NA
"1632","ZINC SULFATE HEPTAHYDRATE",1,"20479",NA
"1633","ZINC SULFATE MONOHYDRATE",1,"21337",NA
"1634","ZOLMITRIPTAN",1,"11793",NA
"1635","ZOLPIDEM TARTRATE",1,"933",NA
"1636","ZOPICLONE",1,"1200","ZOPICLONE"
"1637","ZUCLOPENTHIXOL ACETATE",1,"191",NA
"1638","ZUCLOPENTHIXOL DECANOATE",1,"190",NA
"1639","ZUCLOPENTHIXOL",1,"11264",NA
"1640","FAMCICLOVIR",1,"156",NA
