"","dpd_ingredient","extract","drug_code","active_ingredient_code","ingredient_supplied_ind","strength","strength_unit","strength_type","dosage_value","base","dosage_unit","notes","hydrate","ccdd","top250name","ing_stem","strength_w_unit_w_dosage_if_exists","mp_ingredient_name"
"17232","MAGNESIUM CHLORIDE","active",90007,49,"I","20.3","G","","","N","L","MAGNESIUM CHLORIDE HEXAHYDRATE",FALSE,"","","MAGNESIUM CHLORIDE","20.3 G per L","magnesium chloride 20.3 g per l"
"17233","CALCIUM CHLORIDE","active",90007,51,"I","44.1","G","","","N","L","CALCIUM CHLORIDE DIHYDRATE",FALSE,"","","CALCIUM CHLORIDE","44.1 G per L","calcium chloride 44.1 g per l"
"17234","POTASSIUM CHLORIDE","active",90007,53,"I","29.8","G","","","N","L","",FALSE,"","","POTASSIUM CHLORIDE","29.8 G per L","potassium chloride 29.8 g per l"
"17235","DEXTROSE","active",90008,42,"I","220","G","","","N","L","",FALSE,"","","DEXTROSE","220 G per L","dextrose 220 g per l"
"17236","ACETIC ACID","active",90008,47,"I","36","G","","","N","L","",FALSE,"","","ACETIC ACID","36 G per L","acetic acid 36 g per l"
"17237","MAGNESIUM CHLORIDE","active",90008,49,"I","20.3","G","","","N","L","MAGNESIUM CHLORIDE HEXAHYDRATE",FALSE,"","","MAGNESIUM CHLORIDE","20.3 G per L","magnesium chloride 20.3 g per l"
"17238","CALCIUM CHLORIDE","active",90008,51,"I","44.1","G","","","N","L","CALCIUM CHLORIDE DIHYDRATE.  ",FALSE,"","","CALCIUM CHLORIDE","44.1 G per L","calcium chloride 44.1 g per l"
"17239","POTASSIUM CHLORIDE","active",90008,53,"I","59.6","G","","","N","L","",FALSE,"","","POTASSIUM CHLORIDE","59.6 G per L","potassium chloride 59.6 g per l"
"17240","DEXTROSE","active",90009,42,"I","220","G","","","N","L","",FALSE,"","","DEXTROSE","220 G per L","dextrose 220 g per l"
"17241","ACETIC ACID","active",90009,47,"I","36","G","","","N","L","",FALSE,"","","ACETIC ACID","36 G per L","acetic acid 36 g per l"
"17242","MAGNESIUM CHLORIDE","active",90009,49,"I","20.3","G","","","N","L","MAGNESIUM CHLORIDE HEXAHYDRATE",FALSE,"","","MAGNESIUM CHLORIDE","20.3 G per L","magnesium chloride 20.3 g per l"
"17243","CALCIUM CHLORIDE","active",90009,51,"I","36.8","G","","","N","L","CALCIUM CHLORIDE DIHYDRATE.  ",FALSE,"","","CALCIUM CHLORIDE","36.8 G per L","calcium chloride 36.8 g per l"
"17244","POTASSIUM CHLORIDE","active",90009,53,"I","37.3","G","","","N","L","",FALSE,"","","POTASSIUM CHLORIDE","37.3 G per L","potassium chloride 37.3 g per l"
"17245","DEXTROSE","active",90011,42,"I","220","G","","","N","L","",FALSE,"","","DEXTROSE","220 G per L","dextrose 220 g per l"
"17246","ACETIC ACID","active",90011,47,"I","36","G","","","N","L","",FALSE,"","","ACETIC ACID","36 G per L","acetic acid 36 g per l"
"17247","MAGNESIUM CHLORIDE","active",90011,49,"I","20.3","G","","","N","L","MAGNESIUM CHLORIDE HEXAHYDRATE",FALSE,"","","MAGNESIUM CHLORIDE","20.3 G per L","magnesium chloride 20.3 g per l"
"17248","CALCIUM CHLORIDE","active",90011,51,"I","44.1","G","","","N","L","CALCIUM CHLORIDE DIHYDRATE",FALSE,"","","CALCIUM CHLORIDE","44.1 G per L","calcium chloride 44.1 g per l"
"17249","POTASSIUM CHLORIDE","active",90011,53,"I","44.7","G","","","N","L","",FALSE,"","","POTASSIUM CHLORIDE","44.7 G per L","potassium chloride 44.7 g per l"
"17250","Difluprednate","active",90012,22159,"I","0.05","%","","","N","W/V","",FALSE,NA,NA,NA,"0.05 %",NA
"17251","AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)","active",90013,424,"I","250","MG","","","N","","HISTORIC FREEFORM TEXT: AZITHROMYCIN ((AZITHROMYCIN DIHYDRATE))",TRUE,"Y","AZITHROMYCIN","AZITHROMYCIN","250 MG","azithromycin (azithromycin dihydrate) 250 mg"
"17252","CLOPIDOGREL (CLOPIDOGREL BISULFATE)","active",90014,11795,"I","75","MG","","","N","","",FALSE,"Y","CLOPIDOGREL","CLOPIDOGREL","75 MG","clopidogrel (clopidogrel bisulfate) 75 mg"
"17253","Tapentadol (Tapentadol Hydrochloride)","active",90016,20642,"I","50","MG","","","N","","",FALSE,NA,NA,NA,"50 MG",NA
"17254","Tapentadol (Tapentadol Hydrochloride)","active",90017,20642,"I","100","MG","","","N","","",FALSE,NA,NA,NA,"100 MG",NA
"17255","Tapentadol (Tapentadol Hydrochloride)","active",90018,20642,"I","150","MG","","","N","","",FALSE,NA,NA,NA,"150 MG",NA
"17256","Tapentadol (Tapentadol Hydrochloride)","active",90019,20642,"I","200","MG","","","N","","",FALSE,NA,NA,NA,"200 MG",NA
"17257","Tapentadol (Tapentadol Hydrochloride)","active",90020,20642,"I","250","MG","","","N","","",FALSE,NA,NA,NA,"250 MG",NA
"17258","IBUPROFEN","active",90021,2609,"I","400","MG","","","N","","",FALSE,"Y","IBUPROFEN","IBUPROFEN","400 MG","ibuprofen 400 mg"
"17259","OCTISALATE","active",90023,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17260","OCTOCRYLENE","active",90023,2280,"I","1.85","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","1.85 %","octocrylene 1.85 %"
"17261","AVOBENZONE","active",90023,755,"I","2","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2 %","avobenzone 2 %"
"17262","Afatinib (Afatinib Dimaleate)","active",90026,22160,"I","20","MG","","","N","","",FALSE,"","","Afatinib (Afatinib Dimaleate)","20 MG","afatinib (afatinib dimaleate) 20 mg"
"17263","Afatinib (Afatinib Dimaleate)","active",90027,22160,"I","30","MG","","","N","","",FALSE,"","","Afatinib (Afatinib Dimaleate)","30 MG","afatinib (afatinib dimaleate) 30 mg"
"17264","Afatinib (Afatinib Dimaleate)","active",90028,22160,"I","40","MG","","","N","","",FALSE,"","","Afatinib (Afatinib Dimaleate)","40 MG","afatinib (afatinib dimaleate) 40 mg"
"17265","MACITENTAN","active",90029,22162,"I","10","MG","","","N","","",FALSE,"","","MACITENTAN","10 MG","macitentan 10 mg"
"17266","TRAVOPROST","active",90033,12477,"I","0.004","%","","","N","W/V","",FALSE,"Y","TRAVOPROST","TRAVOPROST","0.004 %","travoprost 0.004 %"
"17267","OCTISALATE","active",90037,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17268","HOMOSALATE","active",90037,1970,"I","15","%","","","N","W/W","",FALSE,"","","HOMOSALATE","15 %","homosalate 15 %"
"17269","OXYBENZONE","active",90037,33,"I","4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","4 %","oxybenzone 4 %"
"17270","AVOBENZONE","active",90037,755,"I","2","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2 %","avobenzone 2 %"
"17271","RIZATRIPTAN (RIZATRIPTAN BENZOATE)","active",90039,11899,"I","5","MG","","","N","","",FALSE,"Y","RIZATRIPTAN","RIZATRIPTAN","5 MG","rizatriptan (rizatriptan benzoate) 5 mg"
"17272","RIZATRIPTAN (RIZATRIPTAN BENZOATE)","active",90040,11899,"I","10","MG","","","N","","",FALSE,"Y","RIZATRIPTAN","RIZATRIPTAN","10 MG","rizatriptan (rizatriptan benzoate) 10 mg"
"17273","LEFLUNOMIDE","active",90041,11980,"I","10","MG","","","N","","",FALSE,"","","LEFLUNOMIDE","10 MG","leflunomide 10 mg"
"17274","LEFLUNOMIDE","active",90042,11980,"I","20","MG","","","N","","",FALSE,"","","LEFLUNOMIDE","20 MG","leflunomide 20 mg"
"17275","FROVATRIPTAN (FROVATRIPTAN SUCCINATE)","active",90043,13350,"I","2.5","MG","","","N","","",FALSE,"","","FROVATRIPTAN (FROVATRIPTAN SUCCINATE)","2.5 MG","frovatriptan (frovatriptan succinate) 2.5 mg"
"17276","RALOXIFENE HYDROCHLORIDE","active",90044,11811,"I","60","MG","","","N","","",FALSE,"","","RALOXIFENE HYDROCHLORIDE","60 MG","raloxifene hydrochloride 60 mg"
"17277","LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE)","active",90046,11705,"I","500","MG","","","N","","SUPPLIED AS LEVOFLOXACIN HEMIHYDRATE",TRUE,"Y","LEVOFLOXACIN","LEVOFLOXACIN","500 MG","levofloxacin (levofloxacin hemihydrate) 500 mg"
"17278","HYDROCHLOROTHIAZIDE","active",90048,10234,"I","12.5","MG","","","N","","",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","12.5 MG","hydrochlorothiazide 12.5 mg"
"17279","RAMIPRIL","active",90048,932,"I","5","MG","","","N","","",FALSE,"Y","RAMIPRIL","RAMIPRIL","5 MG","ramipril 5 mg"
"17280","HYDROCHLOROTHIAZIDE","active",90049,10234,"I","12.5","MG","","","N","","",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","12.5 MG","hydrochlorothiazide 12.5 mg"
"17281","RAMIPRIL","active",90049,932,"I","10","MG","","","N","","",FALSE,"Y","RAMIPRIL","RAMIPRIL","10 MG","ramipril 10 mg"
"17282","HYDROCHLOROTHIAZIDE","active",90050,10234,"I","25","MG","","","N","","",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","25 MG","hydrochlorothiazide 25 mg"
"17283","RAMIPRIL","active",90050,932,"I","10","MG","","","N","","",FALSE,"Y","RAMIPRIL","RAMIPRIL","10 MG","ramipril 10 mg"
"17284","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","active",90051,11161,"I","5","MG","","","N","","",FALSE,"Y","QUINAPRIL","QUINAPRIL","5 MG","quinapril (quinapril hydrochloride) 5 mg"
"17285","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","active",90052,11161,"I","10","MG","","","N","","",FALSE,"Y","QUINAPRIL","QUINAPRIL","10 MG","quinapril (quinapril hydrochloride) 10 mg"
"17286","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","active",90053,11161,"I","20","MG","","","N","","",FALSE,"Y","QUINAPRIL","QUINAPRIL","20 MG","quinapril (quinapril hydrochloride) 20 mg"
"17287","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","active",90054,11161,"I","40","MG","","","N","","",FALSE,"Y","QUINAPRIL","QUINAPRIL","40 MG","quinapril (quinapril hydrochloride) 40 mg"
"17288","Aflibercept","active",90055,22163,"I","40","MG","","","N","ML","",FALSE,"","","Aflibercept","40 MG per ML","aflibercept 40 mg per mL"
"17289","REPAGLINIDE","active",90056,11860,"I","0.5","MG","","","N","","",FALSE,"Y","REPAGLINIDE","REPAGLINIDE","0.5 MG","repaglinide 0.5 mg"
"17290","REPAGLINIDE","active",90057,11860,"I","1","MG","","","N","","",FALSE,"Y","REPAGLINIDE","REPAGLINIDE","1 MG","repaglinide 1 mg"
"17291","REPAGLINIDE","active",90058,11860,"I","2","MG","","","N","","",FALSE,"Y","REPAGLINIDE","REPAGLINIDE","2 MG","repaglinide 2 mg"
"17292","OCTISALATE","active",90061,12048,"I","4.75","%","","","N","","",FALSE,"","","OCTISALATE","4.75 %","octisalate 4.75 %"
"17293","OCTOCRYLENE","active",90061,2280,"I","2.5","%","","","N","","",FALSE,"","","OCTOCRYLENE","2.5 %","octocrylene 2.5 %"
"17294","OXYBENZONE","active",90061,33,"I","4","%","","","N","","",FALSE,"","","OXYBENZONE","4 %","oxybenzone 4 %"
"17295","AVOBENZONE","active",90061,755,"I","2.8","%","","","N","","",FALSE,"","","AVOBENZONE","2.8 %","avobenzone 2.8 %"
"17296","DEXTROMETHORPHAN HYDROBROMIDE","active",90063,10247,"I","5","MG","","5","N","ML","",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","5 MG per 5 ML","dextromethorphan hydrobromide 5 mg per 5 mL"
"17297","DIPHENHYDRAMINE HYDROCHLORIDE","active",90063,182,"I","6.25","MG","","5","N","ML","",FALSE,"","","DIPHENHYDRAMINE HYDROCHLORIDE","6.25 MG per 5 ML","diphenhydramine hydrochloride 6.25 mg per 5 mL"
"17298","ACETAMINOPHEN","active",90063,270,"I","160","MG","","5","N","ML","",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","160 MG per 5 ML","acetaminophen 160 mg per 5 mL"
"17299","OCTOCRYLENE","active",90066,2280,"I","0.85","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","0.85 %","octocrylene 0.85 %"
"17300","OXYBENZONE","active",90066,33,"I","0.5","%","","","N","W/W","",FALSE,"","","OXYBENZONE","0.5 %","oxybenzone 0.5 %"
"17301","AVOBENZONE","active",90066,755,"I","1","%","","","N","W/W","",FALSE,"","","AVOBENZONE","1 %","avobenzone 1 %"
"17302","OCTISALATE","active",90067,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17303","HOMOSALATE","active",90067,1970,"I","15","%","","","N","W/W","",FALSE,"","","HOMOSALATE","15 %","homosalate 15 %"
"17304","OCTOCRYLENE","active",90067,2280,"I","2.75","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","2.75 %","octocrylene 2.75 %"
"17305","AVOBENZONE","active",90067,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"17306","ZIDOVUDINE","active",90068,1185,"I","300","MG","","","N","","",FALSE,"","","ZIDOVUDINE","300 MG","zidovudine 300 mg"
"17307","ABACAVIR (ABACAVIR SULFATE)","active",90068,11893,"I","300","MG","","","N","","",FALSE,"","","ABACAVIR","300 MG","abacavir (abacavir sulfate) 300 mg"
"17308","LAMIVUDINE","active",90068,122,"I","150","MG","","","N","","",FALSE,"","","LAMIVUDINE","150 MG","lamivudine 150 mg"
"17309","OCTISALATE","active",90069,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17310","HOMOSALATE","active",90069,1970,"I","10","%","","","N","W/W","",FALSE,"","","HOMOSALATE","10 %","homosalate 10 %"
"17311","OCTOCRYLENE","active",90069,2280,"I","2.75","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","2.75 %","octocrylene 2.75 %"
"17312","OXYBENZONE","active",90069,33,"I","3","%","","","N","W/W","",FALSE,"","","OXYBENZONE","3 %","oxybenzone 3 %"
"17313","AVOBENZONE","active",90069,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"17314","OCTISALATE","active",90070,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17315","HOMOSALATE","active",90070,1970,"I","10","%","","","N","W/W","",FALSE,"","","HOMOSALATE","10 %","homosalate 10 %"
"17316","OCTOCRYLENE","active",90070,2280,"I","2.75","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","2.75 %","octocrylene 2.75 %"
"17317","OXYBENZONE","active",90070,33,"I","2","%","","","N","W/W","",FALSE,"","","OXYBENZONE","2 %","oxybenzone 2 %"
"17318","AVOBENZONE","active",90070,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"17319","OCTISALATE","active",90071,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17320","HOMOSALATE","active",90071,1970,"I","7.5","%","","","N","W/W","",FALSE,"","","HOMOSALATE","7.5 %","homosalate 7.5 %"
"17321","OCTOCRYLENE","active",90071,2280,"I","2.75","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","2.75 %","octocrylene 2.75 %"
"17322","OXYBENZONE","active",90071,33,"I","2","%","","","N","W/W","",FALSE,"","","OXYBENZONE","2 %","oxybenzone 2 %"
"17323","AVOBENZONE","active",90071,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"17324","DUTASTERIDE","active",90086,12580,"I","0.5","MG","","","N","","",FALSE,"Y","DUTASTERIDE","DUTASTERIDE","0.5 MG","dutasteride 0.5 mg"
"17325","NIFEDIPINE","active",90087,1966,"I","60","MG","","","N","","",FALSE,"Y","NIFEDIPINE","NIFEDIPINE","60 MG","nifedipine 60 mg"
"17326","Teriflunomide","active",90088,22169,"I","14","MG","","","N","","",FALSE,"","","Teriflunomide","14 MG","teriflunomide 14 mg"
"17327","CLOPIDOGREL (CLOPIDOGREL BISULFATE)","active",90094,11795,"I","75","MG","","","N","","",FALSE,"Y","CLOPIDOGREL","CLOPIDOGREL","75 MG","clopidogrel (clopidogrel bisulfate) 75 mg"
"17328","EZETIMIBE","active",90096,12754,"I","10","MG","","","N","","",FALSE,"Y","EZETIMIBE","EZETIMIBE","10 MG","ezetimibe 10 mg"
"17329","DONEPEZIL HYDROCHLORIDE","active",90097,11485,"I","5","MG","","","N","","",FALSE,"Y","DONEPEZIL","DONEPEZIL","5 MG","donepezil hydrochloride 5 mg"
"17330","DONEPEZIL HYDROCHLORIDE","active",90098,11485,"I","10","MG","","","N","","",FALSE,"Y","DONEPEZIL","DONEPEZIL","10 MG","donepezil hydrochloride 10 mg"
"17331","ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)","active",901,8618,"I","125","MG","","5","N","ML","HISTORIC FREEFORM TEXT: ERYTHROMYCIN ESTOLATE ((ERYTHROMYCIN EQ))",FALSE,"Y","ERYTHROMYCIN","ERYTHROMYCIN","125 MG per 5 ML","erythromycin (erythromycin estolate) 125 mg per 5 mL"
"17332","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)","active",90104,93,"I","500","MG","","","N","","THIS IS A COATED BI-LAYER TABLET CONSISTING OF AN IMMEDIATE-RELEASE LAYER AND AN EROSION-MATRIX TYPE",FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN","500 MG","ciprofloxacin (ciprofloxacin hydrochloride, ciprofloxacin) 500 mg"
"17333","simeprevir (Simeprevir sodium)","active",90105,22171,"I","150","MG","","","N","","",FALSE,"","","simeprevir (Simeprevir sodium)","150 MG","simeprevir (simeprevir sodium) 150 mg"
"17334","OXYGEN","active",90106,2333,"I","30","%","","","N","","",FALSE,"","","OXYGEN","30 %","oxygen 30 %"
"17335","HELIUM","active",90106,2334,"I","70","%","","","N","","",FALSE,"","","HELIUM","70 %","helium 70 %"
"17336","BISACODYL","active",9011,10193,"I","10","MG","","","N","SUP","Historic Freeform Text: BISACODYL",FALSE,"","","BISACODYL","10 MG","bisacodyl 10 mg"
"17337","OLANZAPINE (OLANZAPINE TARTRATE)","active",90112,1,"I","10","MG","","","N","","",FALSE,"Y","OLANZAPINE","OLANZAPINE","10 MG","olanzapine (olanzapine tartrate) 10 mg"
"17338","DARUNAVIR (DARUNAVIR ETHANOLATE)","active",90113,19793,"I","100","MG","","","N","ML","",FALSE,"","","DARUNAVIR (DARUNAVIR ETHANOLATE)","100 MG per ML","darunavir (darunavir ethanolate) 100 mg per mL"
"17339","OMEPRAZOLE (OMEPRAZOLE MAGNESIUM)","active",90114,1250,"I","20","MG","","","N","","",FALSE,"Y","OMEPRAZOLE","OMEPRAZOLE","20 MG","omeprazole (omeprazole magnesium) 20 mg"
"17340","PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)","active",90116,11086,"I","40","MG","","","N","","",TRUE,"Y","PANTOPRAZOLE","PANTOPRAZOLE","40 MG","pantoprazole (pantoprazole sodium sesquihydrate) 40 mg"
"17341","GALANTAMINE (GALANTAMINE HYDROBROMIDE)","active",90117,12329,"I","8","MG","","","N","","",FALSE,"Y","GALANTAMINE","GALANTAMINE","8 MG","galantamine (galantamine hydrobromide) 8 mg"
"17342","GALANTAMINE (GALANTAMINE HYDROBROMIDE)","active",90118,12329,"I","16","MG","","","N","","",FALSE,"Y","GALANTAMINE","GALANTAMINE","16 MG","galantamine (galantamine hydrobromide) 16 mg"
"17343","GALANTAMINE (GALANTAMINE HYDROBROMIDE)","active",90119,12329,"I","24","MG","","","Y","","",FALSE,"Y","GALANTAMINE","GALANTAMINE","24 MG","galantamine (galantamine hydrobromide) 24 mg"
"17344","OCTINOXATE","active",90120,12049,"I","6","%","","","N","W/W","",FALSE,"","","OCTINOXATE","6 %","octinoxate 6 %"
"17345","OCTOCRYLENE","active",90120,2280,"I","1.85","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","1.85 %","octocrylene 1.85 %"
"17346","AVOBENZONE","active",90120,755,"I","2.5","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2.5 %","avobenzone 2.5 %"
"17347","Modified Vaccinia Virus (Ankara-Bavarian Nordic)","active",90121,22173,"I","50000000","CCID50","","0.5","N","ML","SMALLPOX VACCINE (LIVE, ATTENUATED, NON-REPLICATING)",FALSE,"","","Modified Vaccinia Virus (Ankara-Bavarian Nordic)","50000000 CCID50 per 0.5 ML","modified vaccinia virus (ankara-bavarian nordic) 50000000 ccid50 per 0.5 mL"
"17348","ABACAVIR (ABACAVIR SULFATE)","active",90124,11893,"I","600","MG","","","N","","",FALSE,"","","ABACAVIR","600 MG","abacavir (abacavir sulfate) 600 mg"
"17349","LAMIVUDINE","active",90124,122,"I","300","MG","","","N","","",FALSE,"","","LAMIVUDINE","300 MG","lamivudine 300 mg"
"17350","EZETIMIBE","active",90134,12754,"I","10","MG","","","N","","",FALSE,"Y","EZETIMIBE","EZETIMIBE","10 MG","ezetimibe 10 mg"
"17351","METFORMIN HYDROCHLORIDE","active",90139,10147,"I","500","MG","","","N","","",FALSE,"Y","METFORMIN","METFORMIN","500 MG","metformin hydrochloride 500 mg"
"17352","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","active",90139,20179,"I","50","MG","","","N","","",TRUE,"Y","SITAGLIPTIN","SITAGLIPTIN","50 MG","sitagliptin (sitagliptin phosphate monohydrate) 50 mg"
"17353","METFORMIN HYDROCHLORIDE","active",90140,10147,"I","1000","MG","","","N","","",FALSE,"Y","METFORMIN","METFORMIN","1000 MG","metformin hydrochloride 1000 mg"
"17354","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","active",90140,20179,"I","50","MG","","","N","","",TRUE,"Y","SITAGLIPTIN","SITAGLIPTIN","50 MG","sitagliptin (sitagliptin phosphate monohydrate) 50 mg"
"17355","METFORMIN HYDROCHLORIDE","active",90141,10147,"I","1000","MG","","","N","","",FALSE,"Y","METFORMIN","METFORMIN","1000 MG","metformin hydrochloride 1000 mg"
"17356","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","active",90141,20179,"I","100","MG","","","N","","",TRUE,"Y","SITAGLIPTIN","SITAGLIPTIN","100 MG","sitagliptin (sitagliptin phosphate monohydrate) 100 mg"
"17357","TACROLIMUS (Tacrolimus Monohydrate)","active",90142,167,"I","0.5","MG","","","N","","HISTORIC FREEFORM TEXT: TACROLIMUS",TRUE,"Y","TACROLIMUS","TACROLIMUS","0.5 MG","tacrolimus (tacrolimus monohydrate) 0.5 mg"
"17358","TACROLIMUS (Tacrolimus Monohydrate)","active",90143,167,"I","1","MG","","","N","","HISTORIC FREEFORM TEXT: TACROLIMUS",TRUE,"Y","TACROLIMUS","TACROLIMUS","1 MG","tacrolimus (tacrolimus monohydrate) 1 mg"
"17359","TACROLIMUS (Tacrolimus Monohydrate)","active",90144,167,"I","5","MG","","","N","","HISTORIC FREEFORM TEXT: TACROLIMUS",TRUE,"Y","TACROLIMUS","TACROLIMUS","5 MG","tacrolimus (tacrolimus monohydrate) 5 mg"
"17360","GABAPENTIN","active",90145,470,"I","100","MG","","","N","","",FALSE,"Y","GABAPENTIN","GABAPENTIN","100 MG","gabapentin 100 mg"
"17361","GABAPENTIN","active",90146,470,"I","300","MG","","","N","","",FALSE,"Y","GABAPENTIN","GABAPENTIN","300 MG","gabapentin 300 mg"
"17362","GABAPENTIN","active",90147,470,"I","400","MG","","","N","","",FALSE,"Y","GABAPENTIN","GABAPENTIN","400 MG","gabapentin 400 mg"
"17363","OCTISALATE","active",90151,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17364","OCTOCRYLENE","active",90151,2280,"I","3","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","3 %","octocrylene 3 %"
"17365","OXYBENZONE","active",90151,33,"I","4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","4 %","oxybenzone 4 %"
"17366","AVOBENZONE","active",90151,755,"I","1.5","%","","","N","W/W","",FALSE,"","","AVOBENZONE","1.5 %","avobenzone 1.5 %"
"17367","OCTISALATE","active",90152,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17368","OCTOCRYLENE","active",90152,2280,"I","3","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","3 %","octocrylene 3 %"
"17369","OXYBENZONE","active",90152,33,"I","4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","4 %","oxybenzone 4 %"
"17370","AVOBENZONE","active",90152,755,"I","1.5","%","","","N","W/W","",FALSE,"","","AVOBENZONE","1.5 %","avobenzone 1.5 %"
"17371","OCTISALATE","active",90154,12048,"I","5","%","","","N","W/W","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"17372","HOMOSALATE","active",90154,1970,"I","15","%","","","N","W/W","",FALSE,"","","HOMOSALATE","15 %","homosalate 15 %"
"17373","OCTOCRYLENE","active",90154,2280,"I","10","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","10 %","octocrylene 10 %"
"17374","OXYBENZONE","active",90154,33,"I","6","%","","","N","W/W","",FALSE,"","","OXYBENZONE","6 %","oxybenzone 6 %"
"17375","AVOBENZONE","active",90154,755,"I","3","%","","","N","W/W","",FALSE,"","","AVOBENZONE","3 %","avobenzone 3 %"
"17376","DONEPEZIL HYDROCHLORIDE","active",90157,11485,"I","5","MG","","","N","","",FALSE,"Y","DONEPEZIL","DONEPEZIL","5 MG","donepezil hydrochloride 5 mg"
"17377","DONEPEZIL HYDROCHLORIDE","active",90158,11485,"I","10","MG","","","N","","",FALSE,"Y","DONEPEZIL","DONEPEZIL","10 MG","donepezil hydrochloride 10 mg"
"17378","OCTISALATE","active",90160,12048,"I","4.5","%","","","N","W/W","",FALSE,"","","OCTISALATE","4.5 %","octisalate 4.5 %"
"17379","OCTINOXATE","active",90160,12049,"I","6.75","%","","","N","W/W","",FALSE,"","","OCTINOXATE","6.75 %","octinoxate 6.75 %"
"17380","OCTOCRYLENE","active",90160,2280,"I","2","%","","","N","W/W","",FALSE,"","","OCTOCRYLENE","2 %","octocrylene 2 %"
"17381","OXYBENZONE","active",90160,33,"I","5.4","%","","","N","W/W","",FALSE,"","","OXYBENZONE","5.4 %","oxybenzone 5.4 %"
"17382","AVOBENZONE","active",90160,755,"I","2.85","%","","","N","W/W","",FALSE,"","","AVOBENZONE","2.85 %","avobenzone 2.85 %"
"17383","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","active",90163,11987,"I","1.5","MG","","","Y","","",FALSE,"","","RIVASTIGMINE","1.5 MG","rivastigmine (rivastigmine hydrogen tartrate) 1.5 mg"
"17384","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","active",90164,11987,"I","3","MG","","","Y","","",FALSE,"","","RIVASTIGMINE","3 MG","rivastigmine (rivastigmine hydrogen tartrate) 3 mg"
"17385","RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","active",90165,11987,"I","4.5","MG","","","Y","","",FALSE,"","","RIVASTIGMINE","4.5 MG","rivastigmine (rivastigmine hydrogen tartrate) 4.5 mg"
