"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"1413","DIPHENOXYLATE HYDROCHLORIDE",20254,"DIPHENOXYLATE HYDROCHLORIDE","DIPHENOXYLATE HYDROCHLORIDE","","","DIPHENOXYLATE HYDROCHLORIDE",FALSE,"diphenoxylate hydrochloride"
"1414","AMPHETAMINE ASPARTATE MONOHYDRATE",8300,"AMPHETAMINE ASPARTATE MONOHYDRATE","AMPHETAMINE ASPARTATE MONOHYDRATE","Y","AMPHETAMINE","AMPHETAMINE",TRUE,"amphetamine aspartate"
"1415","FLUOCINONIDE",7579,"FLUOCINONIDE","FLUOCINONIDE","","","FLUOCINONIDE",FALSE,"fluocinonide"
"1416","TEMOZOLOMIDE",11923,"TEMOZOLOMIDE","TEMOZOLOMIDE","","","TEMOZOLOMIDE",FALSE,"temozolomide"
"1417","ESTRONE",7445,"ESTRONE","ESTRONE","","","ESTRONE",FALSE,"estrone"
"1418","ZOPICLONE",1200,"ZOPICLONE","ZOPICLONE","Y","ZOPICLONE","ZOPICLONE",FALSE,"zopiclone"
"1419","PERINDOPRIL ERBUMINE",232,"PERINDOPRIL ERBUMINE","PERINDOPRIL ERBUMINE","Y","PERINDOPRIL","PERINDOPRIL",FALSE,"perindopril erbumine"
"1420","INACT.JAPANESE ENCEPHAL VIRUS(ATTENUAT. STRAIN SA14-14-2 PRODUCED IN VERO CELLS)",20523,"INACT.JAPANESE ENCEPHAL VIRUS","ATTENUAT. STRAIN SA14-14-2 PRODUCED IN VERO CELLS","","","INACT.JAPANESE ENCEPHAL VIRUS(ATTENUAT. STRAIN SA14-14-2 PRODUCED IN VERO CELLS)",FALSE,"inact.japanese encephal virus(attenuat. strain sa14-14-2 produced in vero cells)"
"1421","LABETALOL HYDROCHLORIDE",1896,"LABETALOL HYDROCHLORIDE","LABETALOL HYDROCHLORIDE","","","LABETALOL HYDROCHLORIDE",FALSE,"labetalol hydrochloride"
"1422","IODIDE (SODIUM IODIDE)",11394,"IODIDE","SODIUM IODIDE","","","IODIDE (SODIUM IODIDE)",FALSE,"iodide (sodium iodide)"
"1423","DIPHTHERIA TOXOID ADSORBED",7940,"DIPHTHERIA TOXOID ADSORBED","DIPHTHERIA TOXOID ADSORBED","","","DIPHTHERIA TOXOID ADSORBED",FALSE,"diphtheria toxoid adsorbed"
"1424","PORFIMER SODIUM",7644,"PORFIMER SODIUM","PORFIMER SODIUM",NA,NA,NA,NA,NA
"1425","Abiraterone acetate",20883,"Abiraterone acetate","Abiraterone acetate","","","Abiraterone acetate",FALSE,"abiraterone acetate"
"1426","DUTASTERIDE",12580,"DUTASTERIDE","DUTASTERIDE","Y","DUTASTERIDE","DUTASTERIDE",FALSE,"dutasteride"
"1427","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A",20654,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A",FALSE,"pneumococcal polysaccharide serotype 19a"
"1428","USTEKINUMAB",20422,"USTEKINUMAB","USTEKINUMAB","","","USTEKINUMAB",FALSE,"ustekinumab"
"1429","FUROSEMIDE",10091,"FUROSEMIDE","FUROSEMIDE","Y","FUROSEMIDE","FUROSEMIDE",FALSE,"furosemide"
"1430","YELLOW HORNET VENOM PROTEIN",2031,"YELLOW HORNET VENOM PROTEIN","YELLOW HORNET VENOM PROTEIN","","","YELLOW HORNET VENOM PROTEIN",FALSE,"yellow hornet venom protein"
"1431","Crizotinib",21291,"Crizotinib","Crizotinib","","","Crizotinib",FALSE,"crizotinib"
"1432","CYTARABINE",2953,"CYTARABINE","CYTARABINE","","","CYTARABINE",FALSE,"cytarabine"
"1433","CEFOTAXIME (CEFOTAXIME SODIUM)",11268,"CEFOTAXIME","CEFOTAXIME SODIUM","","","CEFOTAXIME (CEFOTAXIME SODIUM)",FALSE,"cefotaxime (cefotaxime sodium)"
"1434","ALECTINIB (ALECTINIB HYDROCHLORIDE)",22813,"ALECTINIB","ALECTINIB HYDROCHLORIDE","","","ALECTINIB (ALECTINIB HYDROCHLORIDE)",FALSE,"alectinib (alectinib hydrochloride)"
"1435","MANGANESE (MANGANESE GLUCONATE)",10194,"MANGANESE","MANGANESE GLUCONATE","","","MANGANESE (MANGANESE GLUCONATE)",FALSE,"manganese (manganese gluconate)"
"1436","TOLTERODINE TARTRATE",20821,"TOLTERODINE TARTRATE","TOLTERODINE TARTRATE","Y","TOLTERODINE","TOLTERODINE",FALSE,"tolterodine tartrate"
"1437","TEMAZEPAM",2014,"TEMAZEPAM","TEMAZEPAM","Y","TEMAZEPAM","TEMAZEPAM",FALSE,"temazepam"
"1438","PRAMOXINE HYDROCHLORIDE",6343,"PRAMOXINE HYDROCHLORIDE","PRAMOXINE HYDROCHLORIDE","","","PRAMOXINE HYDROCHLORIDE",FALSE,"pramoxine hydrochloride"
"1439","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN",22652,"STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN","","","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN",FALSE,"standardized kentucky blue/june grass pollen"
"1440","INOSITOL",4959,"INOSITOL","INOSITOL","","","INOSITOL",FALSE,"inositol"
"1441","APROTININ (BOVINE)",11567,"APROTININ","BOVINE","","","APROTININ (BOVINE)",FALSE,"aprotinin (bovine)"
"1442","TETRACOSACTIDE",7516,"TETRACOSACTIDE","TETRACOSACTIDE","","","TETRACOSACTIDE",FALSE,"tetracosactide"
"1443","MERCAPTOPURINE",11804,"MERCAPTOPURINE","MERCAPTOPURINE","","","MERCAPTOPURINE",FALSE,"mercaptopurine"
"1444","TAURINE",1366,"TAURINE","TAURINE","","","TAURINE",FALSE,"taurine"
"1445","YELLOW JACKET VENOM PROTEIN",2030,"YELLOW JACKET VENOM PROTEIN","YELLOW JACKET VENOM PROTEIN","","","YELLOW JACKET VENOM PROTEIN",FALSE,"yellow jacket venom protein"
"1446","Efinaconazole",22151,"Efinaconazole","Efinaconazole","","","Efinaconazole",FALSE,"efinaconazole"
"1447","RIOCIGUAT",22148,"RIOCIGUAT","RIOCIGUAT","","","RIOCIGUAT",FALSE,"riociguat"
"1448","AMMONIUM CHLORIDE",318,"AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","","","AMMONIUM CHLORIDE",FALSE,"ammonium chloride"
"1449","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y",7668,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y",FALSE,"meningococcal polysaccharide antigen group y"
"1450","AMINOPHYLLINE",9963,"AMINOPHYLLINE","AMINOPHYLLINE","","","AMINOPHYLLINE",FALSE,"aminophylline"
"1451","PANTOPRAZOLE (Pantoprazole magnesium hemipentahydrate)",11086,"PANTOPRAZOLE","Pantoprazole magnesium hemipentahydrate","Y","PANTOPRAZOLE","PANTOPRAZOLE",TRUE,"pantoprazole (pantoprazole magnesium)"
"1452","Mirabegron",22029,"Mirabegron","Mirabegron","","","Mirabegron",FALSE,"mirabegron"
"1453","COAGULATION FACTOR IX (HUMAN)",90,"COAGULATION FACTOR IX","HUMAN","","","COAGULATION FACTOR IX (HUMAN)",FALSE,"coagulation factor ix (human)"
"1454","ENTECAVIR (ENTECAVIR MONOHYDRATE)",13030,"ENTECAVIR","ENTECAVIR MONOHYDRATE","","","ENTECAVIR (ENTECAVIR MONOHYDRATE)",TRUE,"entecavir (entecavir monohydrate)"
"1455","ALFACALCIDOL",4892,"ALFACALCIDOL","ALFACALCIDOL","","","ALFACALCIDOL",FALSE,"alfacalcidol"
"1456","BOSENTAN (BOSENTAN MONOHYDRATE)",12538,"BOSENTAN","BOSENTAN MONOHYDRATE","","","BOSENTAN (BOSENTAN MONOHYDRATE)",TRUE,"bosentan (bosentan monohydrate)"
"1457","NINTEDANIB (NINTEDANIB ESILATE)",22614,"NINTEDANIB","NINTEDANIB ESILATE","","","NINTEDANIB (NINTEDANIB ESILATE)",FALSE,"nintedanib (nintedanib esilate)"
"1458","ERYTHROMYCIN (ERYTHROMYCIN STEARATE)",8618,"ERYTHROMYCIN","ERYTHROMYCIN STEARATE","Y","ERYTHROMYCIN","ERYTHROMYCIN",FALSE,"erythromycin (erythromycin stearate)"
"1459","FOSPHENYTOIN SODIUM",11411,"FOSPHENYTOIN SODIUM","FOSPHENYTOIN SODIUM","","","FOSPHENYTOIN SODIUM",FALSE,"fosphenytoin sodium"
"1460","DIPHTHERIA TOXOID",7941,"DIPHTHERIA TOXOID","DIPHTHERIA TOXOID","","","DIPHTHERIA TOXOID",FALSE,"diphtheria toxoid"
"1461","HALOBETASOL PROPIONATE",7555,"HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE","","","HALOBETASOL PROPIONATE",FALSE,"halobetasol propionate"
"1462","CLADRIBINE",1739,"CLADRIBINE","CLADRIBINE","","","CLADRIBINE",FALSE,"cladribine"
"1463","IDARUCIZUMAB",22710,"IDARUCIZUMAB","IDARUCIZUMAB","","","IDARUCIZUMAB",FALSE,"idarucizumab"
"1464","ETHACRYNIC ACID (ETHACRYNATE SODIUM)",10170,"ETHACRYNIC ACID","ETHACRYNATE SODIUM","","","ETHACRYNIC ACID (ETHACRYNATE SODIUM)",FALSE,"ethacrynic acid (ethacrynate sodium)"
"1465","Elosulfase Alfa",22450,"Elosulfase Alfa","Elosulfase Alfa","","","Elosulfase Alfa",FALSE,"elosulfase alfa"
"1466","OXYBENZONE",33,"OXYBENZONE","OXYBENZONE","","","OXYBENZONE",FALSE,"oxybenzone"
"1467","PROPIVERINE HYDROCHLORIDE",22838,"PROPIVERINE HYDROCHLORIDE","PROPIVERINE HYDROCHLORIDE","","","PROPIVERINE HYDROCHLORIDE",FALSE,"propiverine hydrochloride"
"1468","MEBENDAZOLE",2434,"MEBENDAZOLE","MEBENDAZOLE","","","MEBENDAZOLE",FALSE,"mebendazole"
"1469","STORAX",6944,"STORAX","STORAX","","","STORAX",FALSE,"storax"
"1470","Vemurafenib",21189,"Vemurafenib","Vemurafenib","","","Vemurafenib",FALSE,"vemurafenib"
"1471","RIVASTIGMINE",11987,"RIVASTIGMINE","RIVASTIGMINE","Y","RIVASTIGMINE","RIVASTIGMINE",FALSE,"rivastigmine"
"1472","SODIUM HYPOCHLORITE",539,"SODIUM HYPOCHLORITE","SODIUM HYPOCHLORITE","","","SODIUM HYPOCHLORITE",FALSE,"sodium hypochlorite"
"1473","DOXYCYCLINE (DOXYCYCLINE HYCLATE)",8642,"DOXYCYCLINE","DOXYCYCLINE HYCLATE","Y","DOXYCYCLINE","DOXYCYCLINE",FALSE,"doxycycline (doxycycline hyclate)"
"1474","GLUTAMIC ACID",8872,"GLUTAMIC ACID","GLUTAMIC ACID","","","GLUTAMIC ACID",FALSE,"glutamic acid"
"1475","SODIUM GLYCEROPHOSPHATE",4771,"SODIUM GLYCEROPHOSPHATE","SODIUM GLYCEROPHOSPHATE","","","SODIUM GLYCEROPHOSPHATE",FALSE,"sodium glycerophosphate"
"1476","MEPIVACAINE HYDROCHLORIDE",10271,"MEPIVACAINE HYDROCHLORIDE","MEPIVACAINE HYDROCHLORIDE","","","MEPIVACAINE HYDROCHLORIDE",FALSE,"mepivacaine hydrochloride"
"1477","ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)",20167,"ROTAVIRUS VACCINE","RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN","","","ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)",FALSE,"rotavirus vaccine (rix4414 strain), live, oral, attenuated (human)"
"1478","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)",22527,"VORTIOXETINE","VORTIOXETINE HYDROBROMIDE","","","VORTIOXETINE (VORTIOXETINE HYDROBROMIDE)",FALSE,"vortioxetine (vortioxetine hydrobromide)"
"1479","BUTANEDIOL",12774,"BUTANEDIOL","BUTANEDIOL","","","BUTANEDIOL",FALSE,"butanediol"
"1480","L-TYROSINE",897,"L-TYROSINE","L-TYROSINE","","","L-TYROSINE",FALSE,"l-tyrosine"
"1481","FLUPENTIXOL DECANOATE",1997,"FLUPENTIXOL DECANOATE","FLUPENTIXOL DECANOATE","","","FLUPENTIXOL DECANOATE",FALSE,"flupentixol decanoate"
"1482","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5",20541,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5",FALSE,"pneumococcal polysaccharide serotype 5"
"1483","ENALAPRIL SODIUM",20170,"ENALAPRIL SODIUM","ENALAPRIL SODIUM","Y","ENALAPRIL","ENALAPRIL",FALSE,"enalapril sodium"
"1484","SULISOBENZONE",5184,"SULISOBENZONE","SULISOBENZONE","","","SULISOBENZONE",FALSE,"sulisobenzone"
"1485","GENTIAN VIOLET",6820,"GENTIAN VIOLET","GENTIAN VIOLET","","","GENTIAN VIOLET",FALSE,"gentian violet"
"1486","MICONAZOLE NITRATE",2373,"MICONAZOLE NITRATE","MICONAZOLE NITRATE","","","MICONAZOLE NITRATE",FALSE,"miconazole nitrate"
"1487","NALOXONE HYDROCHLORIDE",2474,"NALOXONE HYDROCHLORIDE","NALOXONE HYDROCHLORIDE","Y","NALOXONE","NALOXONE",FALSE,"naloxone hydrochloride"
"1488","LINAGLIPTIN",20882,"LINAGLIPTIN","LINAGLIPTIN","","","LINAGLIPTIN",FALSE,"linagliptin"
"1489","L-PHENYLALANINE",942,"L-PHENYLALANINE","L-PHENYLALANINE","","","L-PHENYLALANINE",FALSE,"l-phenylalanine"
"1490","ALUMINUM HYDROXIDE",721,"ALUMINUM HYDROXIDE","ALUMINUM HYDROXIDE","","","ALUMINUM HYDROXIDE",FALSE,"aluminum hydroxide"
"1491","RECOMBINANT CHOLERA TOXIN B SUBUNIT",12361,"RECOMBINANT CHOLERA TOXIN B SUBUNIT","RECOMBINANT CHOLERA TOXIN B SUBUNIT","","","RECOMBINANT CHOLERA TOXIN B SUBUNIT",FALSE,"recombinant cholera toxin b subunit"
"1492","IMIQUIMOD",11834,"IMIQUIMOD","IMIQUIMOD","","","IMIQUIMOD",FALSE,"imiquimod"
"1493","ZINC SULFATE",8746,"ZINC SULFATE","ZINC SULFATE","","","ZINC SULFATE",FALSE,"zinc sulfate"
"1494","PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)",11086,"PANTOPRAZOLE","PANTOPRAZOLE SODIUM SESQUIHYDRATE","Y","PANTOPRAZOLE","PANTOPRAZOLE",TRUE,"pantoprazole (pantoprazole sodium)"
"1495","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN",19707,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN",FALSE,"recombinant human papillomavirus type 6 l1 protein"
"1496","GUAIACOL CARBONATE",6896,"GUAIACOL CARBONATE","GUAIACOL CARBONATE","","","GUAIACOL CARBONATE",FALSE,"guaiacol carbonate"
"1497","RISPERIDONE",723,"RISPERIDONE","RISPERIDONE","Y","RISPERIDONE","RISPERIDONE",FALSE,"risperidone"
"1498","STANDARDIZED REDTOP GRASS POLLEN",5789,"STANDARDIZED REDTOP GRASS POLLEN","STANDARDIZED REDTOP GRASS POLLEN","","","STANDARDIZED REDTOP GRASS POLLEN",FALSE,"standardized redtop grass pollen"
"1499","TOBRAMYCIN",8565,"TOBRAMYCIN","TOBRAMYCIN","Y","TOBRAMYCIN","TOBRAMYCIN",FALSE,"tobramycin"
"1500","PEGINTERFERON ALFA-2B",12036,"PEGINTERFERON ALFA-2B","PEGINTERFERON ALFA-2B","","","PEGINTERFERON ALFA-2B",FALSE,"peginterferon alfa-2b"
"1501","RALOXIFENE HYDROCHLORIDE",11811,"RALOXIFENE HYDROCHLORIDE","RALOXIFENE HYDROCHLORIDE","","","RALOXIFENE HYDROCHLORIDE",FALSE,"raloxifene hydrochloride"
"1502","IOPROMIDE",521,"IOPROMIDE","IOPROMIDE","","","IOPROMIDE",FALSE,"iopromide"
"1503","REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE)",11311,"REMIFENTANIL","REMIFENTANIL HYDROCHLORIDE","","","REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE)",FALSE,"remifentanil (remifentanil hydrochloride)"
"1504","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F",20657,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F",FALSE,"pneumococcal polysaccharide serotype 33f"
"1505","TETRACAINE",2958,"TETRACAINE","TETRACAINE","","","TETRACAINE",FALSE,"tetracaine"
"1506","CETYLPYRIDINIUM CHLORIDE",7152,"CETYLPYRIDINIUM CHLORIDE","CETYLPYRIDINIUM CHLORIDE","","","CETYLPYRIDINIUM CHLORIDE",FALSE,"cetylpyridinium chloride"
"1507","OMEPRAZOLE (OMEPRAZOLE MAGNESIUM)",1250,"OMEPRAZOLE","OMEPRAZOLE MAGNESIUM","Y","OMEPRAZOLE","OMEPRAZOLE",FALSE,"omeprazole (omeprazole magnesium)"
"1508","FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)",11861,"FOSFOMYCIN","FOSFOMYCIN TROMETHAMINE","","","FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE)",FALSE,"fosfomycin (fosfomycin tromethamine)"
"1509","LIDOCAINE (LIDOCAINE HYDROCHLORIDE)",9471,"LIDOCAINE","LIDOCAINE HYDROCHLORIDE","","","LIDOCAINE (LIDOCAINE HYDROCHLORIDE)",FALSE,"lidocaine (lidocaine hydrochloride)"
"1510","Tesamorelin (Tesamorelin acetate)",22270,"Tesamorelin","Tesamorelin acetate","","","Tesamorelin (Tesamorelin acetate)",FALSE,"tesamorelin (tesamorelin acetate)"
"1511","ALLERGENIC EXTRACTS",3876,"ALLERGENIC EXTRACTS","ALLERGENIC EXTRACTS","","","ALLERGENIC EXTRACTS",FALSE,"allergenic extracts"
"1512","HYOSCINE BUTYLBROMIDE",9008,"HYOSCINE BUTYLBROMIDE","HYOSCINE BUTYLBROMIDE","","","HYOSCINE BUTYLBROMIDE",FALSE,"hyoscine butylbromide"
"1513","SOMATROPIN",7364,"SOMATROPIN","SOMATROPIN","","","SOMATROPIN",FALSE,"somatropin"
"1514","SELEGILINE HYDROCHLORIDE",1294,"SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE","","","SELEGILINE HYDROCHLORIDE",FALSE,"selegiline hydrochloride"
"1515","FLUPHENAZINE DECANOATE",8007,"FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE","","","FLUPHENAZINE DECANOATE",FALSE,"fluphenazine decanoate"
"1516","CALCIUM POLYCARBOPHIL",9921,"CALCIUM POLYCARBOPHIL","CALCIUM POLYCARBOPHIL",NA,NA,NA,NA,NA
"1517","CODEINE PHOSPHATE",9131,"CODEINE PHOSPHATE","CODEINE PHOSPHATE","Y","CODEINE","CODEINE",FALSE,"codeine phosphate"
"1518","SODIUM PICOSULFATE",13334,"SODIUM PICOSULFATE","SODIUM PICOSULFATE","","","SODIUM PICOSULFATE",FALSE,"sodium picosulfate"
"1519","PERINDOPRIL ARGININE",16100,"PERINDOPRIL ARGININE","PERINDOPRIL ARGININE","Y","PERINDOPRIL","PERINDOPRIL",FALSE,"perindopril arginine"
"1520","SILICON DIOXIDE",443,"SILICON DIOXIDE","SILICON DIOXIDE","","","SILICON DIOXIDE",FALSE,"silicon dioxide"
"1521","VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE)",11114,"VALACYCLOVIR","VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE","Y","VALACYCLOVIR","VALACYCLOVIR",TRUE,"valacyclovir (valacyclovir hydrochloride)"
"1522","TRASTUZUMAB",11905,"TRASTUZUMAB","TRASTUZUMAB","","","TRASTUZUMAB",FALSE,"trastuzumab"
"1523","ALBUMIN (HUMAN)",7867,"ALBUMIN","HUMAN","","","ALBUMIN (HUMAN)",FALSE,"albumin (human)"
"1524","DOCUSATE SODIUM",9152,"DOCUSATE SODIUM","DOCUSATE SODIUM","","","DOCUSATE SODIUM",FALSE,"docusate sodium"
"1525","DEXTROSE (DEXTROSE MONOHYDRATE)",42,"DEXTROSE","DEXTROSE MONOHYDRATE","","","DEXTROSE (DEXTROSE MONOHYDRATE)",TRUE,"dextrose (dextrose monohydrate)"
"1526","PACLITAXEL",732,"PACLITAXEL","PACLITAXEL","","","PACLITAXEL",FALSE,"paclitaxel"
"1527","BETAMETHASONE DIPROPIONATE",7603,"BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE","Y","BETAMETHASONE","BETAMETHASONE DIPROPIONATE",FALSE,"betamethasone dipropionate"
"1528","MENTHOL",265,"MENTHOL","MENTHOL","","","MENTHOL",FALSE,"menthol"
"1529","ZINC SULFATE HEPTAHYDRATE",20479,"ZINC SULFATE HEPTAHYDRATE","ZINC SULFATE HEPTAHYDRATE","","","ZINC SULFATE HEPTAHYDRATE",TRUE,"zinc sulfate heptahydrate"
"1530","DESOXIMETASONE",7592,"DESOXIMETASONE","DESOXIMETASONE","","","DESOXIMETASONE",FALSE,"desoximetasone"
"1531","Ofatumumab",21236,"Ofatumumab","Ofatumumab",NA,NA,NA,NA,NA
"1532","LEVONORGESTREL",7490,"LEVONORGESTREL","LEVONORGESTREL","Y","LEVONORGESTREL","LEVONORGESTREL",FALSE,"levonorgestrel"
"1533","IPRATROPIUM BROMIDE (IPRATROPIUM BROMIDE MONOHYDRATE)",1945,"IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE MONOHYDRATE","Y","IPRATROPIUM","IPRATROPIUM",TRUE,"ipratropium bromide"
"1534","OIL OF TURPENTINE",3510,"OIL OF TURPENTINE","OIL OF TURPENTINE","","","OIL OF TURPENTINE",FALSE,"oil of turpentine"
"1535","GATIFLOXACIN",12056,"GATIFLOXACIN","GATIFLOXACIN","","","GATIFLOXACIN",FALSE,"gatifloxacin"
"1536","VITAMIN B12 (CYANOCOBALAMIN)",781,"VITAMIN B12","CYANOCOBALAMIN","","","VITAMIN B12 (CYANOCOBALAMIN)",FALSE,"vitamin b12 (cyanocobalamin)"
"1537","VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM)",11171,"VITAMIN B2","RIBOFLAVIN 5'-PHOSPHATE SODIUM","","","VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM)",FALSE,"vitamin b2 (riboflavin 5'-phosphate sodium)"
"1538","DL-METHIONINE",7216,"DL-METHIONINE","DL-METHIONINE","","","DL-METHIONINE",FALSE,"dl-methionine"
"1539","CAMPHOR",9125,"CAMPHOR","CAMPHOR","","","CAMPHOR",FALSE,"camphor"
"1540","VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE)",8541,"VANCOMYCIN","VANCOMYCIN HYDROCHLORIDE","","","VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE)",FALSE,"vancomycin (vancomycin hydrochloride)"
"1541","AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)",424,"AZITHROMYCIN","AZITHROMYCIN MONOHYDRATE","Y","AZITHROMYCIN","AZITHROMYCIN",TRUE,"azithromycin"
"1542","VITAMIN D3",4922,"VITAMIN D3","VITAMIN D3","Y","VITAMIN D3","VITAMIN D3",FALSE,"vitamin d3"
"1543","DEXRAZOXANE",215,"DEXRAZOXANE","DEXRAZOXANE","","","DEXRAZOXANE",FALSE,"dexrazoxane"
"1544","DOCOSANOL",12720,"DOCOSANOL","DOCOSANOL","","","DOCOSANOL",FALSE,"docosanol"
"1545","PIROXICAM",1996,"PIROXICAM","PIROXICAM","","","PIROXICAM",FALSE,"piroxicam"
"1546","FUSIDATE SODIUM",8505,"FUSIDATE SODIUM","FUSIDATE SODIUM","","","FUSIDATE SODIUM",FALSE,"fusidate sodium"
"1547","CEPHALEXIN",8376,"CEPHALEXIN","CEPHALEXIN","Y","CEPHALEXIN","CEPHALEXIN",FALSE,"cephalexin"
"1548","COAGULATION FACTOR II (HUMAN)",2931,"COAGULATION FACTOR II","HUMAN","","","COAGULATION FACTOR II (HUMAN)",FALSE,"coagulation factor ii (human)"
"1549","LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)",10225,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE MONOHYDRATE","","","LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)",TRUE,"lidocaine hydrochloride (lidocaine hydrochloride monohydrate)"
"1550","TACROLIMUS (Tacrolimus Monohydrate)",167,"TACROLIMUS","Tacrolimus Monohydrate","Y","TACROLIMUS","TACROLIMUS",TRUE,"tacrolimus"
"1551","ALEMTUZUMAB",12491,"ALEMTUZUMAB","ALEMTUZUMAB","","","ALEMTUZUMAB",FALSE,"alemtuzumab"
"1552","TACROLIMUS",167,"TACROLIMUS","TACROLIMUS","Y","TACROLIMUS","TACROLIMUS",FALSE,"tacrolimus"
"1553","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B",20652,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B",FALSE,"pneumococcal polysaccharide serotype 15b"
"1554","TERAZOSIN (TERAZOSIN HYDROCHLORIDE)",11368,"TERAZOSIN","TERAZOSIN HYDROCHLORIDE","Y","TERAZOSIN","TERAZOSIN",FALSE,"terazosin (terazosin hydrochloride)"
"1555","DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)",10247,"DEXTROMETHORPHAN HYDROBROMIDE","DEXTROMETHORPHAN POLISTIREX","","","DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)",FALSE,"dextromethorphan hydrobromide (dextromethorphan polistirex)"
"1556","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C",7669,"MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C",FALSE,"meningococcal polysaccharide antigen group c"
"1557","ADENOSINE",4732,"ADENOSINE","ADENOSINE","","","ADENOSINE",FALSE,"adenosine"
"1558","Triptorelin Acetate",21395,"Triptorelin Acetate","Triptorelin Acetate","","","Triptorelin Acetate",FALSE,"triptorelin acetate"
"1559","HISTAMINE PHOSPHATE",6216,"HISTAMINE PHOSPHATE","HISTAMINE PHOSPHATE","","","HISTAMINE PHOSPHATE",FALSE,"histamine phosphate"
