"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"1286","PROCYCLIDINE HYDROCHLORIDE","6030",1,"PROCYCLIDINE HYDROCHLORIDE","PROCYCLIDINE HYDROCHLORIDE","PROCYCLIDINE HYDROCHLORIDE","CQC932Z7YW","C6QE1Q1TKR","PROCYCLIDINE","","",""
"1287","PROGESTERONE","7554",1,"PROGESTERONE","PROGESTERONE","PROGESTERONE","4G7DS2Q64Y","4G7DS2Q64Y","PROGESTERONE","Active Ingredient","",""
"1288","PROGUANIL HYDROCHLORIDE","11782",1,"PROGUANIL HYDROCHLORIDE","PROGUANIL HYDROCHLORIDE","PROGUANIL HYDROCHLORIDE","R71Y86M0WT","S61K3P7B2V","PROGUANIL","Active Ingredient","",""
"1289","PROLINE","9396",1,"PROLINE","PROLINE","PROLINE","9DLQ4CIU6V","9DLQ4CIU6V","PROLINE","Active Ingredient","",""
"1290","PROMETHAZINE","7954",1,"PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE)","PROMETHAZINE","PROMETHAZINE HYDROCHLORIDE","FF28EJQ494","FF28EJQ494","PROMETHAZINE","Active Ingredient","",""
"1291","PROMETHAZINE HYDROCHLORIDE","7952",1,"PROMETHAZINE HYDROCHLORIDE","PROMETHAZINE HYDROCHLORIDE","PROMETHAZINE HYDROCHLORIDE","R61ZEH7I1I","FF28EJQ494","PROMETHAZINE","Active Ingredient","",""
"1292","PROPAFENONE HYDROCHLORIDE","1893",1,"PROPAFENONE HYDROCHLORIDE","PROPAFENONE HYDROCHLORIDE","PROPAFENONE HYDROCHLORIDE","33XCH0HOCD","68IQX3T69U","PROPAFENONE","Active Ingredient","",""
"1293","PROPOFOL","8209",1,"PROPOFOL","PROPOFOL","PROPOFOL","YI7VU623SF","YI7VU623SF","PROPOFOL","Active Ingredient","",""
"1294","PROPRANOLOL HYDROCHLORIDE","10127",1,"PROPRANOLOL HYDROCHLORIDE","PROPRANOLOL HYDROCHLORIDE","PROPRANOLOL HYDROCHLORIDE","F8A3652H1V","9Y8NXQ24VQ","PROPRANOLOL","Active Ingredient","",""
"1295","PROPYL ALCOHOL","8887",1,"PROPYL ALCOHOL","PROPYL ALCOHOL","PROPYL ALCOHOL",NA,NA,NA,NA,NA,NA
"1296","PROPYLENE GLYCOL","10219",1,"PROPYLENE GLYCOL","PROPYLENE GLYCOL","PROPYLENE GLYCOL","6DC9Q167V3","6DC9Q167V3","PROPYLENE GLYCOL","Active Ingredient","",""
"1297","PROPYLTHIOURACIL","9439",1,"PROPYLTHIOURACIL","PROPYLTHIOURACIL","PROPYLTHIOURACIL","721M9407IY","721M9407IY","PROPYLTHIOURACIL","Active Ingredient","",""
"1298","PROTAMINE SULFATE","5881",1,"PROTAMINE SULFATE","PROTAMINE SULFATE","PROTAMINE SULFATE","0DE9724IHC","72G3UY6T4N","PROTAMINE","Active Ingredient","",""
"1299","PROTEASE","648",1,"PROTEASE","PROTEASE","PROTEASE",NA,NA,NA,NA,NA,NA
"1300","PROTEIN C","20131",1,"PROTEIN C","PROTEIN C","PROTEIN C","3Z6S89TXPW","3Z6S89TXPW","PROTEIN C","Active Ingredient","",""
"1301","PROTEIN S","20132",1,"PROTEIN S","PROTEIN S","PROTEIN S",NA,NA,NA,NA,NA,NA
"1302","PROTIRELIN","2198",1,"PROTIRELIN","PROTIRELIN","PROTIRELIN","5Y5F15120W","5Y5F15120W","PROTIRELIN","Active Ingredient","",""
"1303","PROXYMETACAINE HYDROCHLORIDE","20365",1,"PROXYMETACAINE HYDROCHLORIDE","PROXYMETACAINE HYDROCHLORIDE","PROXYMETACAINE HYDROCHLORIDE",NA,NA,NA,NA,NA,NA
"1304","PRUCALOPRIDE","21066",1,"Prucalopride (Prucalopride Succinate)","Prucalopride","Prucalopride Succinate","0A09IUW5TP","0A09IUW5TP","PRUCALOPRIDE","Active Ingredient","",""
"1305","PSEUDOEPHEDRINE HYDROCHLORIDE","6492",1,"PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE","6V9V2RYJ8N","7CUC9DDI9F","PSEUDOEPHEDRINE","Active Ingredient","",""
"1306","PSEUDOEPHEDRINE SULFATE","773",1,"PSEUDOEPHEDRINE SULFATE","PSEUDOEPHEDRINE SULFATE","PSEUDOEPHEDRINE SULFATE","Y9DL7QPE6B","7CUC9DDI9F","PSEUDOEPHEDRINE","Active Ingredient","",""
"1307","PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN","7783",1,"PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN","PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN","PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN",NA,NA,NA,NA,NA,NA
"1308","PYRANTEL","11253",1,"PYRANTEL (PYRANTEL PAMOATE)","PYRANTEL","PYRANTEL PAMOATE","4QIH0N49E7","4QIH0N49E7","PYRANTEL","Active Ingredient","",""
"1309","PYRAZINAMIDE","5937",1,"PYRAZINAMIDE","PYRAZINAMIDE","PYRAZINAMIDE","2KNI5N06TI","2KNI5N06TI","PYRAZINAMIDE","Active Ingredient","",""
"1310","PYRETHRINS","6441",1,"PYRETHRINS","PYRETHRINS","PYRETHRINS",NA,NA,NA,NA,NA,NA
"1311","PYRIDOSTIGMINE BROMIDE","6296",1,"PYRIDOSTIGMINE BROMIDE","PYRIDOSTIGMINE BROMIDE","PYRIDOSTIGMINE BROMIDE","KVI301NA53","19QM69HH21","PYRIDOSTIGMINE","Active Ingredient","",""
"1312","PYRIDOXINE HYDROCHLORIDE","5008",1,"PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","68Y4CF58BV","KV2JZ1BI6Z","PYRIDOXINE","Active Moiety","",""
"1313","PYRIDOXINE HYDROCHLORIDE","5008",1,"PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","68Y4CF58BV","KV2JZ1BI6Z","PYRIDOXINE","Active Ingredient","",""
"1314","PYRILAMINE MALEATE","7155",1,"PYRILAMINE MALEATE","PYRILAMINE MALEATE","PYRILAMINE MALEATE","R35D29L3ZA","HPE317O9TL","PYRILAMINE","Active Ingredient","",""
"1315","PYRITHIONE ZINC","662",1,"PYRITHIONE ZINC","PYRITHIONE ZINC","PYRITHIONE ZINC","R953O2RHZ5","R953O2RHZ5","PYRITHIONE ZINC","Active Ingredient","",""
"1316","QUETIAPINE","11718",1,"QUETIAPINE (QUETIAPINE FUMARATE)","QUETIAPINE","QUETIAPINE FUMARATE","BGL0JSY5SI","BGL0JSY5SI","QUETIAPINE","Active Ingredient","",""
"1317","QUINAGOLIDE","13315",1,"QUINAGOLIDE (QUINAGOLIDE HYDROCHLORIDE)","QUINAGOLIDE","QUINAGOLIDE HYDROCHLORIDE","80Q9QWN15M","80Q9QWN15M","QUINAGOLIDE","Active Ingredient","",""
"1318","QUINAPRIL","11161",1,"QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","QUINAPRIL","QUINAPRIL HYDROCHLORIDE","RJ84Y44811","34SSX5LDE5","QUINAPRILAT","","",""
"1319","QUINIDINE SULFATE","6714",1,"QUINIDINE SULFATE","QUINIDINE SULFATE","QUINIDINE SULFATE","J13S2394HE","ITX08688JL","QUINIDINE","Active Ingredient","",""
"1320","QUININE SULFATE","7234",1,"QUININE SULFATE","QUININE SULFATE","QUININE SULFATE","KF7Z0E0Q2B","A7V27PHC7A","QUININE","Active Ingredient","",""
"1321","RABEPRAZOLE SODIUM","12149",1,"RABEPRAZOLE SODIUM","RABEPRAZOLE SODIUM","RABEPRAZOLE SODIUM","3L36P16U4R","32828355LL","RABEPRAZOLE","Active Ingredient","",""
"1322","RABIES IMMUNE GLOBULIN HUMAN","7918",1,"RABIES IMMUNE GLOBULIN HUMAN","RABIES IMMUNE GLOBULIN HUMAN","RABIES IMMUNE GLOBULIN HUMAN",NA,NA,NA,NA,NA,NA
"1323","RABIES VACCINE INACTIVATED","16202",1,"RABIES VACCINE INACTIVATED (HUMAN DIPLOID-CELL CULTURE)","RABIES VACCINE INACTIVATED","HUMAN DIPLOID-CELL CULTURE",NA,NA,NA,NA,NA,NA
"1324","RABIES VACCINE INACTIVATED","15082",1,"RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE)","RABIES VACCINE INACTIVATED","PURIFIED CHICK EMBRYO CELL CULTURE",NA,NA,NA,NA,NA,NA
"1325","RALOXIFENE HYDROCHLORIDE","11811",1,"RALOXIFENE HYDROCHLORIDE","RALOXIFENE HYDROCHLORIDE","RALOXIFENE HYDROCHLORIDE","4F86W47BR6","YX9162EO3I","RALOXIFENE","Active Ingredient","",""
"1326","RALTEGRAVIR","20173",1,"RALTEGRAVIR (RALTEGRAVIR POTASSIUM)","RALTEGRAVIR","RALTEGRAVIR POTASSIUM","22VKV8053U","22VKV8053U","RALTEGRAVIR","Active Ingredient","",""
"1327","RALTITREXED","11098",1,"RALTITREXED (RALTITREXED DISODIUM)","RALTITREXED","RALTITREXED DISODIUM","FCB9EGG971","FCB9EGG971","RALTITREXED","Active Ingredient","",""
"1328","RAMIPRIL","932",1,"RAMIPRIL","RAMIPRIL","RAMIPRIL","L35JN3I7SJ","6N5U4QFC3G","RAMIPRILAT","Active Ingredient","",""
"1329","RAMUCIRUMAB","22627",1,"RAMUCIRUMAB","RAMUCIRUMAB","RAMUCIRUMAB","D99YVK4L0X","D99YVK4L0X","RAMUCIRUMAB","Active Ingredient","",""
"1330","RANIBIZUMAB","20146",1,"RANIBIZUMAB","RANIBIZUMAB","RANIBIZUMAB","ZL1R02VT79","ZL1R02VT79","RANIBIZUMAB","Active Ingredient","",""
"1331","RANITIDINE","11096",1,"RANITIDINE (RANITIDINE HYDROCHLORIDE)","RANITIDINE","RANITIDINE HYDROCHLORIDE","884KT10YB7","884KT10YB7","RANITIDINE","Active Ingredient","",""
"1332","RASAGILINE","19840",1,"RASAGILINE (RASAGILINE MESYLATE)","RASAGILINE","RASAGILINE MESYLATE","003N66TS6T","003N66TS6T","RASAGILINE","Active Ingredient","",""
"1333","RASBURICASE","13268",1,"RASBURICASE","RASBURICASE","RASBURICASE","08GY9K1EUO","08GY9K1EUO","RASBURICASE","Active Ingredient","",""
"1334","RECOMBINANT CHOLERA TOXIN B SUBUNIT","12361",1,"RECOMBINANT CHOLERA TOXIN B SUBUNIT","RECOMBINANT CHOLERA TOXIN B SUBUNIT","RECOMBINANT CHOLERA TOXIN B SUBUNIT",NA,NA,NA,NA,NA,NA
"1335","RECOMBINANT HUMAN COAGULATION FACTOR IX, FC FUSION PROTEIN","22263",1,"Recombinant human coagulation factor IX, FC Fusion protein","Recombinant human coagulation factor IX, FC Fusion protein","Recombinant human coagulation factor IX, FC Fusion protein",NA,NA,NA,NA,NA,NA
"1336","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","19708",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1337","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN","19709",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1338","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN","19710",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1339","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN","22570",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1340","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN","22571",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1341","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN","22572",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1342","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN","22573",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1343","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN","22574",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1344","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","19707",1,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN",NA,NA,NA,NA,NA,NA
"1345","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B FHBP FUSION PROTEIN","22178",1,"Recombinant Neisseria meningitidis group B fHBP fusion protein","Recombinant Neisseria meningitidis group B fHBP fusion protein","Recombinant Neisseria meningitidis group B fHBP fusion protein",NA,NA,NA,NA,NA,NA
"1346","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B NADA PROTEIN","22177",1,"Recombinant Neisseria meningitidis group B NadA protein","Recombinant Neisseria meningitidis group B NadA protein","Recombinant Neisseria meningitidis group B NadA protein",NA,NA,NA,NA,NA,NA
"1347","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B NHBA FUSION PROTEIN","22176",1,"Recombinant Neisseria meningitidis group B NHBA fusion protein","Recombinant Neisseria meningitidis group B NHBA fusion protein","Recombinant Neisseria meningitidis group B NHBA fusion protein",NA,NA,NA,NA,NA,NA
"1348","REGORAFENIB","22042",1,"Regorafenib","Regorafenib","Regorafenib","24T2A1DOYB","24T2A1DOYB","REGORAFENIB","Active Ingredient","",""
"1349","REMIFENTANIL","11311",1,"REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE)","REMIFENTANIL","REMIFENTANIL HYDROCHLORIDE","P10582JYYK","P10582JYYK","REMIFENTANIL","Active Ingredient","",""
"1350","REPAGLINIDE","11860",1,"REPAGLINIDE","REPAGLINIDE","REPAGLINIDE","668Z8C33LU","668Z8C33LU","REPAGLINIDE","Active Ingredient","",""
"1351","RHO D IMMUNE GLOBULIN HUMAN","7768",1,"RHO D IMMUNE GLOBULIN HUMAN","RHO D IMMUNE GLOBULIN HUMAN","RHO D IMMUNE GLOBULIN HUMAN",NA,NA,NA,NA,NA,NA
"1352","RIBAVIRIN","2184",1,"RIBAVIRIN","RIBAVIRIN","RIBAVIRIN","49717AWG6K","49717AWG6K","RIBAVIRIN","Active Ingredient","",""
"1353","RIFABUTIN","8316",1,"RIFABUTIN","RIFABUTIN","RIFABUTIN","1W306TDA6S","1W306TDA6S","RIFABUTIN","Active Ingredient","",""
"1354","RIFAMPIN","8566",1,"RIFAMPIN","RIFAMPIN","RIFAMPIN","VJT6J7R4TR","VJT6J7R4TR","RIFAMPIN","Active Ingredient","",""
"1355","RIFAXIMIN","22137",1,"RIFAXIMIN","RIFAXIMIN","RIFAXIMIN","L36O5T016N","L36O5T016N","RIFAXIMIN","Active Ingredient","",""
"1356","RILPIVIRINE","20874",1,"RILPIVIRINE (RILPIVIRINE HYDROCHLORIDE)","RILPIVIRINE","RILPIVIRINE HYDROCHLORIDE","FI96A8X663","FI96A8X663","RILPIVIRINE","Active Ingredient","",""
"1357","RILUZOLE","12026",1,"RILUZOLE","RILUZOLE","RILUZOLE","7LJ087RS6F","7LJ087RS6F","RILUZOLE","Active Ingredient","",""
"1358","RIOCIGUAT","22148",1,"RIOCIGUAT","RIOCIGUAT","RIOCIGUAT","RU3FE2Y4XI","RU3FE2Y4XI","RIOCIGUAT","Active Ingredient","",""
"1359","RISEDRONATE SODIUM","11819",2,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMI-PENTAHYDRATE)|RISEDRONATE SODIUM (RISEDRONATE SODIUM MONOHYDRATE)","RISEDRONATE SODIUM","RISEDRONATE SODIUM HEMI-PENTAHYDRATE|RISEDRONATE SODIUM MONOHYDRATE",NA,NA,NA,NA,NA,NA
"1360","RISPERIDONE","723",2,"RISPERIDONE|RISPERIDONE (RISPERIDONE TARTRATE)","RISPERIDONE","RISPERIDONE TARTRATE","L6UH7ZF8HC","L6UH7ZF8HC","RISPERIDONE","Active Ingredient","",""
"1361","RITONAVIR","4",1,"RITONAVIR","RITONAVIR","RITONAVIR","O3J8G9O825","O3J8G9O825","RITONAVIR","Active Ingredient","",""
"1362","RITUXIMAB","11982",1,"RITUXIMAB","RITUXIMAB","RITUXIMAB","4F4X42SYQ6","4F4X42SYQ6","RITUXIMAB","Active Ingredient","",""
"1363","RIVAROXABAN","20387",1,"RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","9NDF7JZ4M3","9NDF7JZ4M3","RIVAROXABAN","Active Ingredient","",""
"1364","RIVASTIGMINE","11987",2,"RIVASTIGMINE|RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","RIVASTIGMINE","RIVASTIGMINE HYDROGEN TARTRATE","PKI06M3IW0","PKI06M3IW0","RIVASTIGMINE","Active Ingredient","",""
"1365","RIZATRIPTAN","11899",1,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","RIZATRIPTAN","RIZATRIPTAN BENZOATE","51086HBW8G","51086HBW8G","RIZATRIPTAN","Active Ingredient","",""
"1366","ROCURONIUM BROMIDE","349",1,"ROCURONIUM BROMIDE","ROCURONIUM BROMIDE","ROCURONIUM BROMIDE","I65MW4OFHZ","WRE554RFEZ","ROCURONIUM","Active Ingredient","",""
"1367","ROFLUMILAST","20639",1,"Roflumilast","Roflumilast","Roflumilast","0P6C6ZOP5U","0P6C6ZOP5U","ROFLUMILAST","Active Ingredient","",""
"1368","ROMIDEPSIN","21095",1,"Romidepsin","Romidepsin","Romidepsin","CX3T89XQBK","CX3T89XQBK","ROMIDEPSIN","Active Ingredient","",""
"1369","ROMIPLOSTIM","20436",1,"ROMIPLOSTIM","ROMIPLOSTIM","ROMIPLOSTIM","GN5XU2DXKV","GN5XU2DXKV","ROMIPLOSTIM","Active Ingredient","",""
"1370","ROPINIROLE","11516",1,"ROPINIROLE (ROPINIROLE HYDROCHLORIDE)","ROPINIROLE","ROPINIROLE HYDROCHLORIDE","030PYR8953","030PYR8953","ROPINIROLE","Active Ingredient","",""
"1371","ROPIVACAINE HYDROCHLORIDE","11081",1,"ROPIVACAINE HYDROCHLORIDE","ROPIVACAINE HYDROCHLORIDE","ROPIVACAINE HYDROCHLORIDE","V910P86109","7IO5LYA57N","ROPIVACAINE","Active Ingredient","",""
"1372","ROSE BENGAL","4300",1,"ROSE BENGAL","ROSE BENGAL","ROSE BENGAL",NA,NA,NA,NA,NA,NA
"1373","ROSIGLITAZONE","11925",1,"ROSIGLITAZONE (ROSIGLITAZONE MALEATE)","ROSIGLITAZONE","ROSIGLITAZONE MALEATE","05V02F2KDG","05V02F2KDG","ROSIGLITAZONE","Active Ingredient","",""
"1374","ROSUVASTATIN","13123",1,"ROSUVASTATIN (ROSUVASTATIN CALCIUM)","ROSUVASTATIN","ROSUVASTATIN CALCIUM","413KH5ZJ73","413KH5ZJ73","ROSUVASTATIN","Active Ingredient","",""
"1375","ROTAVIRUS VACCINE","20167",1,"ROTAVIRUS VACCINE (RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN)","ROTAVIRUS VACCINE","RIX4414 STRAIN), LIVE, ORAL, ATTENUATED (HUMAN",NA,NA,NA,NA,NA,NA
"1376","ROTIGOTINE","12548",1,"ROTIGOTINE","ROTIGOTINE","ROTIGOTINE","87T4T8BO2E","87T4T8BO2E","ROTIGOTINE","Active Ingredient","",""
"1377","RUBELLA VIRUS VACCINE LIVE ATTENUATED","7897",1,"RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)","RUBELLA VIRUS VACCINE LIVE ATTENUATED","WISTAR RA27/3 STRAIN",NA,NA,NA,NA,NA,NA
"1378","RUFINAMIDE","20811",1,"RUFINAMIDE","RUFINAMIDE","RUFINAMIDE","WFW942PR79","WFW942PR79","RUFINAMIDE","Active Ingredient","",""
"1379","RUXOLITINIB","21376",1,"Ruxolitinib (Ruxolitinib Phosphate)","Ruxolitinib","Ruxolitinib Phosphate","82S8X8XX8H","82S8X8XX8H","RUXOLITINIB","Active Ingredient","",""
"1380","SACUBITRIL","22647",1,"SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","SACUBITRIL","SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX","17ERJ0MKGI","SPI5PBF81S","SACUBITRILAT","Active Ingredient","",""
"1381","SALBUTAMOL","2585",2,"SALBUTAMOL|SALBUTAMOL (SALBUTAMOL SULFATE)","SALBUTAMOL","SALBUTAMOL SULFATE",NA,NA,NA,NA,NA,NA
"1382","SALICYLIC ACID","9766",1,"SALICYLIC ACID","SALICYLIC ACID","SALICYLIC ACID","O414PZ4LPZ","O414PZ4LPZ","SALICYLIC ACID","Active Ingredient","",""
"1383","SALMETEROL","11282",1,"SALMETEROL (SALMETEROL XINAFOATE)","SALMETEROL","SALMETEROL XINAFOATE","2I4BC502BT","2I4BC502BT","SALMETEROL","Active Ingredient","",""
"1384","SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE","12267",1,"SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE","SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE","SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE",NA,NA,NA,NA,NA,NA
"1385","SAPROPTERIN DIHYDROCHLORIDE","20591",1,"SAPROPTERIN DIHYDROCHLORIDE","SAPROPTERIN DIHYDROCHLORIDE","SAPROPTERIN DIHYDROCHLORIDE","RG277LF5B3","EGX657432I","SAPROPTERIN","Active Ingredient","",""
"1386","SAQUINAVIR","11371",1,"SAQUINAVIR (SAQUINAVIR MESYLATE)","SAQUINAVIR","SAQUINAVIR MESYLATE","L3JE09KZ2F","L3JE09KZ2F","SAQUINAVIR","Active Ingredient","",""
"1387","SAXAGLIPTIN","20524",1,"SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)","SAXAGLIPTIN","SAXAGLIPTIN HYDROCHLORIDE","9GB927LAJW","8I7IO46IVQ","SAXAGLIPTIN ANHYDROUS","","",""
"1388","SCOPOLAMINE HYDROBROMIDE","9011",1,"SCOPOLAMINE HYDROBROMIDE","SCOPOLAMINE HYDROBROMIDE","SCOPOLAMINE HYDROBROMIDE","451IFR0GXB","DL48G20X8X","SCOPOLAMINE","Active Ingredient","",""
"1389","SEALER PROTEIN","20462",1,"SEALER PROTEIN (HUMAN)","SEALER PROTEIN","HUMAN",NA,NA,NA,NA,NA,NA
"1390","SECUKINUMAB","22582",1,"Secukinumab","Secukinumab","Secukinumab","DLG4EML025","DLG4EML025","SECUKINUMAB","Active Ingredient","",""
"1391","SELEGILINE HYDROCHLORIDE","1294",1,"SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE","6W731X367Q","2K1V7GP655","SELEGILINE","Active Ingredient","",""
"1392","SELENIUM","2295",2,"SELENIUM (SELENIOUS ACID)|SELENIUM (SELENIUM HVP CHELATE)","SELENIUM","SELENIOUS ACID|SELENIUM HVP CHELATE","H6241UJ22B","H6241UJ22B","SELENIUM","Active Ingredient","",""
"1393","SELEXIPAG","22681",1,"SELEXIPAG","SELEXIPAG","SELEXIPAG","5EXC0E384L","5EXC0E384L","SELEXIPAG","Active Ingredient","",""
"1394","SENEGA","7182",1,"SENEGA","SENEGA","SENEGA",NA,NA,NA,NA,NA,NA
"1395","SENNOSIDES","5190",2,"SENNOSIDES|SENNOSIDES (SENNA)","SENNOSIDES","SENNA","3FYP5M0IJX","3FYP5M0IJX","SENNOSIDES","Active Ingredient","",""
"1396","SERINE","9927",1,"SERINE","SERINE","SERINE","452VLY9402","452VLY9402","SERINE","Active Ingredient","",""
"1397","SERTRALINE","11168",1,"SERTRALINE (SERTRALINE HYDROCHLORIDE)","SERTRALINE","SERTRALINE HYDROCHLORIDE","QUC7NX6WMB","QUC7NX6WMB","SERTRALINE","Active Ingredient","",""
"1398","SEVELAMER CARBONATE","20603",1,"Sevelamer Carbonate","Sevelamer Carbonate","Sevelamer Carbonate","9YCX42I8IU","941N5DUU5C","SEVELAMER","Active Ingredient","",""
"1399","SEVELAMER HYDROCHLORIDE","11777",1,"SEVELAMER HYDROCHLORIDE","SEVELAMER HYDROCHLORIDE","SEVELAMER HYDROCHLORIDE","GLS2PGI8QG","941N5DUU5C","SEVELAMER","Active Ingredient","",""
"1400","SEVOFLURANE","169",1,"SEVOFLURANE","SEVOFLURANE","SEVOFLURANE","38LVP0K73A","38LVP0K73A","SEVOFLURANE","Active Ingredient","",""
"1401","SILDENAFIL","11854",1,"SILDENAFIL (SILDENAFIL CITRATE)","SILDENAFIL","SILDENAFIL CITRATE","3M7OB98Y7H","3M7OB98Y7H","SILDENAFIL","Active Ingredient","",""
"1402","SILICON DIOXIDE","443",1,"SILICON DIOXIDE","SILICON DIOXIDE","SILICON DIOXIDE","ETJ7Z6XBU4","ETJ7Z6XBU4","SILICON DIOXIDE","Active Ingredient","",""
"1403","SILICONE","6410",1,"SILICONE","SILICONE","SILICONE",NA,NA,NA,NA,NA,NA
"1404","SILODOSIN","20659",1,"SILODOSIN","SILODOSIN","SILODOSIN","CUZ39LUY82","CUZ39LUY82","SILODOSIN","Active Ingredient","",""
"1405","SILTUXIMAB","22547",1,"SILTUXIMAB","SILTUXIMAB","SILTUXIMAB","T4H8FMA7IM","T4H8FMA7IM","SILTUXIMAB","Active Ingredient","",""
